,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,1,0,,0021500536,24:53,8,8,13,32,3,4,203145,Kent Bazemore,0,10,7,10,F,ATL,Atlanta,1610612737
1,0,1,,0021500536,24:54,10,8,9,34,2,3,200794,Paul Millsap,2,2,8,14,F,ATL,Atlanta,1610612737
2,3,0,,0021500536,24:28,10,4,5,26,2,2,201143,Al Horford,6,7,6,10,C,ATL,Atlanta,1610612737
3,0,0,,0021500536,20:49,8,8,7,28,1,0,2594,Kyle Korver,0,2,0,2,G,ATL,Atlanta,1610612737
4,0,0,,0021500536,21:44,10,8,7,30,1,0,201952,Jeff Teague,0,0,2,4,G,ATL,Atlanta,1610612737
5,1,0,,0021500536,22:21,10,6,12,26,1,1,200757,Thabo Sefolosha,0,2,4,6,,ATL,Atlanta,1610612737
6,0,1,,0021500536,14:18,4,8,12,22,4,1,201168,Tiago Splitter,2,0,0,2,,ATL,Atlanta,1610612737
7,0,0,,0021500536,18:55,4,4,10,20,4,2,203471,Dennis Schroder,0,0,0,4,,ATL,Atlanta,1610612737
8,1,1,,0021500536,23:06,8,7,15,20,0,2,203118,Mike Scott,0,4,0,4,,ATL,Atlanta,1610612737
9,0,1,,0021500536,18:43,6,5,9,16,1,0,203501,Tim Hardaway Jr.,0,3,0,0,,ATL,Atlanta,1610612737
10,0,0,,0021500536,9:14,4,3,7,6,0,2,203200,Justin Holiday,0,0,0,0,,ATL,Atlanta,1610612737
11,0,0,,0021500536,9:14,4,3,7,6,3,0,203488,Mike Muscala,0,0,2,2,,ATL,Atlanta,1610612737
12,0,0,,0021500536,7:21,4,3,7,4,1,0,202714,Shelvin Mack,0,3,0,0,,ATL,Atlanta,1610612737
13,0,1,,0021500536,24:13,0,15,6,22,2,3,203960,JaKarr Sampson,2,0,2,0,F,PHI,Philadelphia,1610612755
14,1,0,,0021500536,23:54,6,17,13,34,3,3,203457,Nerlens Noel,4,4,2,8,F,PHI,Philadelphia,1610612755
15,1,1,,0021500536,26:31,4,17,10,30,2,3,1626143,Jahlil Okafor,6,2,2,14,C,PHI,Philadelphia,1610612755
16,1,1,,0021500536,23:51,6,12,10,32,1,1,203917,Nik Stauskas,0,2,0,2,G,PHI,Philadelphia,1610612755
17,0,0,,0021500536,27:20,6,17,17,38,1,0,202397,Ish Smith,0,2,2,6,G,PHI,Philadelphia,1610612755
18,0,0,,0021500536,14:43,2,9,4,8,2,2,1626158,Richaun Holmes,0,0,0,4,,PHI,Philadelphia,1610612755
19,0,0,,0021500536,21:52,10,16,21,26,0,0,203138,Hollis Thompson,2,0,7,4,,PHI,Philadelphia,1610612755
20,1,1,,0021500536,21:12,4,18,21,28,0,4,203924,Jerami Grant,0,0,2,8,,PHI,Philadelphia,1610612755
21,0,0,,0021500536,9:16,4,13,10,14,0,0,204456,TJ McConnell,0,0,0,0,,PHI,Philadelphia,1610612755
22,0,0,,0021500536,16:03,4,18,19,26,2,4,203477,Isaiah Canaan,0,2,2,2,,PHI,Philadelphia,1610612755
23,0,2,,0021500536,13:18,0,8,2,10,3,0,203496,Robert Covington,2,3,5,0,,PHI,Philadelphia,1610612755
24,0,0,,0021500536,6:23,4,2,10,16,1,2,201171,Carl Landry,2,0,0,6,,PHI,Philadelphia,1610612755
25,0,0,,0021500536,11:24,0,3,2,6,0,1,203088,Kendall Marshall,0,0,0,0,,PHI,Philadelphia,1610612755
