,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,1,8,3,0.375,,8,6,0.75,2.72,14,0.471,0,0021500551,38:17,4,43,202703,Nikola Mirotic,18,0,4.23,F,63,CHI,Chicago,1610612741,9,5,0.556
1,0,3,3,1.0,,3,2,0.667,1.81,5,0.8,0,0021500551,26:07,3,20,201959,Taj Gibson,8,0,4.12,F,26,CHI,Chicago,1610612741,2,1,0.5
2,5,7,3,0.429,,13,5,0.385,2.07,14,0.4,2,0021500551,32:26,5,50,2200,Pau Gasol,19,0,3.8,C,69,CHI,Chicago,1610612741,3,1,0.333
3,2,10,4,0.4,,8,4,0.5,2.88,6,0.471,0,0021500551,39:26,4,40,202710,Jimmy Butler,10,0,4.35,G,71,CHI,Chicago,1610612741,7,4,0.571
4,5,11,2,0.182,,3,2,0.667,2.53,2,0.333,0,0021500551,35:29,3,52,201565,Derrick Rose,5,1,4.24,G,79,CHI,Chicago,1610612741,4,3,0.75
5,0,1,0,0.0,,1,1,1.0,0.69,6,0.0,0,0021500551,9:00,2,14,1626171,Bobby Portis,8,1,4.58,,21,CHI,Chicago,1610612741,2,0,0.0
6,2,3,2,0.667,,2,1,0.5,1.34,3,0.5,0,0021500551,19:16,0,14,203503,Tony Snell,3,0,4.13,,21,CHI,Chicago,1610612741,3,1,0.333
7,1,2,0,0.0,,0,0,0.0,0.35,1,0.0,0,0021500551,4:50,1,10,201166,Aaron Brooks,2,0,4.33,,13,CHI,Chicago,1610612741,0,0,0.0
8,0,3,2,0.667,,4,2,0.5,1.78,4,0.6,0,0021500551,24:23,2,11,203926,Doug McDermott,6,0,4.36,,18,CHI,Chicago,1610612741,2,1,0.5
9,0,1,0,0.0,,0,0,0.0,0.59,2,0.0,0,0021500551,7:41,1,10,202734,E'Twaun Moore,3,0,4.58,,14,CHI,Chicago,1610612741,1,0,0.0
10,0,0,0,0.0,,0,0,0.0,0.22,1,1.0,0,0021500551,3:05,1,2,203946,Cameron Bairstow,2,0,4.25,,3,CHI,Chicago,1610612741,1,1,1.0
11,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500551,0:00,0,0,2550,Kirk Hinrich,0,0,0.0,,0,CHI,Chicago,1610612741,0,0,0.0
12,0,0,0,0.0,NWT - Left Shoulder Sprain              ,0,0,0.0,0.0,0,0.0,0,0021500551,0:00,0,0,201149,Joakim Noah,0,0,0.0,,0,CHI,Chicago,1610612741,0,0,0.0
13,3,6,2,0.333,,4,2,0.5,2.06,6,0.333,0,0021500551,27:13,1,42,203145,Kent Bazemore,7,0,4.52,F,55,ATL,Atlanta,1610612737,3,1,0.333
14,3,8,4,0.5,,10,4,0.4,2.24,15,0.5,0,0021500551,31:58,6,38,200794,Paul Millsap,21,0,4.18,F,60,ATL,Atlanta,1610612737,8,4,0.5
15,6,12,11,0.917,,8,3,0.375,2.44,12,0.714,0,0021500551,36:18,4,61,201143,Al Horford,16,0,4.0,C,83,ATL,Atlanta,1610612737,9,4,0.444
16,1,2,1,0.5,,5,2,0.4,2.18,6,0.625,0,0021500551,31:08,0,20,2594,Kyle Korver,6,0,4.17,G,32,ATL,Atlanta,1610612737,6,4,0.667
17,6,6,4,0.667,,1,1,1.0,1.68,2,0.556,0,0021500551,25:29,1,53,201952,Jeff Teague,3,3,3.93,G,67,ATL,Atlanta,1610612737,3,1,0.333
18,8,5,1,0.2,,1,0,0.0,1.64,5,0.455,0,0021500551,21:27,0,43,203471,Dennis Schroder,5,3,4.56,,57,ATL,Atlanta,1610612737,6,4,0.667
19,2,5,1,0.2,,4,2,0.5,1.13,1,0.167,0,0021500551,15:22,4,20,201168,Tiago Splitter,5,0,4.38,,28,ATL,Atlanta,1610612737,1,0,0.0
20,1,1,0,0.0,,1,1,1.0,1.2,3,0.25,2,0021500551,16:22,1,8,203501,Tim Hardaway Jr.,4,0,4.37,,13,ATL,Atlanta,1610612737,3,1,0.333
21,3,3,3,1.0,,3,3,1.0,1.38,6,0.857,0,0021500551,17:39,2,23,203118,Mike Scott,8,0,4.65,,32,ATL,Atlanta,1610612737,4,3,0.75
22,0,1,0,0.0,,1,1,1.0,0.81,3,0.0,0,0021500551,11:48,0,8,203200,Justin Holiday,3,1,4.08,,12,ATL,Atlanta,1610612737,0,0,0.0
23,0,0,0,0.0,,0,0,0.0,0.22,1,0.0,0,0021500551,2:38,0,3,203488,Mike Muscala,1,0,4.96,,4,ATL,Atlanta,1610612737,0,0,0.0
24,0,1,0,0.0,,0,0,0.0,0.2,0,0.0,0,0021500551,2:38,0,5,202714,Shelvin Mack,0,0,4.51,,8,ATL,Atlanta,1610612737,1,0,0.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500551,0:00,0,0,203934,Lamar Patterson,0,0,0.0,,0,ATL,Atlanta,1610612737,0,0,0.0
