,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,4,1,,6,8,3,0.375,15,8,0.533,3,3,1.0,0021500536,24:53,0,3,203145,Kent Bazemore,17.0,22,6,F,2,ATL,Atlanta,1610612737,3
1,4,0,,4,1,0,0.0,11,7,0.636,4,4,1.0,0021500536,24:54,2,2,200794,Paul Millsap,5.0,18,6,F,2,ATL,Atlanta,1610612737,1
2,3,3,,4,2,1,0.5,12,7,0.583,3,3,1.0,0021500536,24:28,5,2,201143,Al Horford,31.0,18,9,C,3,ATL,Atlanta,1610612737,0
3,2,0,,4,3,1,0.333,5,2,0.4,0,0,0.0,0021500536,20:49,0,1,2594,Kyle Korver,-2.0,5,4,G,2,ATL,Atlanta,1610612737,1
4,4,0,,1,1,1,1.0,7,3,0.429,0,0,0.0,0021500536,21:44,0,1,201952,Jeff Teague,-3.0,7,1,G,1,ATL,Atlanta,1610612737,3
5,4,1,,5,1,0,0.0,4,3,0.75,1,0,0.0,0021500536,22:21,0,1,200757,Thabo Sefolosha,25.0,6,5,,3,ATL,Atlanta,1610612737,0
6,0,0,,0,0,0,0.0,4,1,0.25,2,2,1.0,0021500536,14:18,4,4,201168,Tiago Splitter,-1.0,4,4,,1,ATL,Atlanta,1610612737,0
7,6,0,,3,3,2,0.667,7,5,0.714,2,2,1.0,0021500536,18:55,1,4,203471,Dennis Schroder,33.0,14,4,,2,ATL,Atlanta,1610612737,4
8,2,1,,3,5,1,0.2,11,5,0.455,2,0,0.0,0021500536,23:06,0,0,203118,Mike Scott,23.0,11,3,,0,ATL,Atlanta,1610612737,0
9,3,0,,2,3,2,0.667,6,3,0.5,0,0,0.0,0021500536,18:43,0,1,203501,Tim Hardaway Jr.,18.0,8,2,,1,ATL,Atlanta,1610612737,1
10,1,0,,0,2,0,0.0,2,0,0.0,2,1,0.5,0021500536,9:14,0,0,203200,Justin Holiday,-2.0,1,0,,1,ATL,Atlanta,1610612737,1
11,1,0,,1,0,0,0.0,3,2,0.667,0,0,0.0,0021500536,9:14,2,3,203488,Mike Muscala,-2.0,4,3,,0,ATL,Atlanta,1610612737,2
12,2,0,,1,3,2,0.667,5,3,0.6,0,0,0.0,0021500536,7:21,0,1,202714,Shelvin Mack,-2.0,8,1,,0,ATL,Atlanta,1610612737,0
13,3,0,,3,1,0,0.0,4,0,0.0,6,4,0.667,0021500536,24:13,3,2,203960,JaKarr Sampson,6.0,4,6,F,1,PHI,Philadelphia,1610612755,2
14,2,1,,7,0,0,0.0,8,4,0.5,2,1,0.5,0021500536,23:54,6,3,203457,Nerlens Noel,-3.0,9,13,F,2,PHI,Philadelphia,1610612755,4
15,0,1,,4,0,0,0.0,16,9,0.563,4,3,0.75,0021500536,26:31,3,2,1626143,Jahlil Okafor,-15.0,21,7,C,1,PHI,Philadelphia,1610612755,3
16,2,1,,1,4,2,0.5,7,3,0.429,2,1,0.5,0021500536,23:51,0,1,203917,Nik Stauskas,-11.0,9,1,G,0,PHI,Philadelphia,1610612755,0
17,7,0,,1,0,0,0.0,10,6,0.6,0,0,0.0,0021500536,27:20,0,1,202397,Ish Smith,-5.0,12,1,G,1,PHI,Philadelphia,1610612755,4
18,0,0,,4,1,0,0.0,5,2,0.4,0,0,0.0,0021500536,14:43,1,2,1626158,Richaun Holmes,-3.0,4,5,,1,PHI,Philadelphia,1610612755,0
19,1,0,,0,3,1,0.333,7,4,0.571,0,0,0.0,0021500536,21:52,0,0,203138,Hollis Thompson,-4.0,9,0,,0,PHI,Philadelphia,1610612755,2
20,1,1,,2,1,0,0.0,7,4,0.571,6,3,0.5,0021500536,21:12,0,0,203924,Jerami Grant,-28.0,11,2,,1,PHI,Philadelphia,1610612755,2
21,2,0,,1,0,0,0.0,1,0,0.0,0,0,0.0,0021500536,9:16,0,0,204456,TJ McConnell,-20.0,0,1,,1,PHI,Philadelphia,1610612755,3
22,1,0,,1,3,0,0.0,4,1,0.25,4,3,0.75,0021500536,16:03,0,2,203477,Isaiah Canaan,-33.0,5,1,,1,PHI,Philadelphia,1610612755,1
23,0,0,,3,5,2,0.4,9,3,0.333,0,0,0.0,0021500536,13:18,0,3,203496,Robert Covington,-13.0,8,3,,0,PHI,Philadelphia,1610612755,0
24,0,0,,2,0,0,0.0,5,3,0.6,1,0,0.0,0021500536,6:23,1,1,201171,Carl Landry,-8.0,6,3,,0,PHI,Philadelphia,1610612755,1
25,2,0,,0,0,0,0.0,3,0,0.0,0,0,0.0,0021500536,11:24,0,0,203088,Kendall Marshall,-3.0,0,0,,0,PHI,Philadelphia,1610612755,0
