,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.111,16.7,0.0,,126.0,0.125,0.3,0021500179,18:19,-50.1,75.9,0.0,102.71,0.025,2207,Joe Johnson,0.065,F,BKN,Brooklyn,1610612751,0.0,0.3,0.118
1,0.091,5.3,0.0,,118.7,0.32,0.412,0021500179,28:48,-37.1,81.6,0.074,102.6,0.115,201152,Thaddeus Young,0.192,F,BKN,Brooklyn,1610612751,0.0,0.391,0.25
2,0.133,13.6,1.0,,123.6,0.174,0.556,0021500179,26:54,-28.8,94.8,0.115,102.32,0.118,201572,Brook Lopez,0.143,C,BKN,Brooklyn,1610612751,13.6,0.651,0.193
3,0.125,9.8,0.4,,111.6,0.241,0.458,0021500179,31:23,-25.6,86.0,0.118,104.77,0.098,1626178,Rondae Hollis-Jefferson,0.175,G,BKN,Brooklyn,1610612751,24.6,0.488,0.224
4,0.417,23.0,0.71,,114.0,0.091,0.438,0021500179,23:57,-30.3,83.7,0.0,104.59,0.051,101127,Jarrett Jack,0.044,G,BKN,Brooklyn,1610612751,32.2,0.564,0.277
5,0.0,0.0,0.0,,118.0,0.273,0.286,0021500179,16:58,-44.4,73.5,0.158,103.03,0.027,203080,Thomas Robinson,0.2,,BKN,Brooklyn,1610612751,0.0,0.342,0.199
6,0.143,21.6,1.5,,115.4,0.095,0.563,0021500179,29:41,-17.0,98.4,0.03,103.15,0.105,203499,Shane Larkin,0.056,,BKN,Brooklyn,1610612751,14.4,0.563,0.141
7,0.056,16.7,1.0,,125.4,0.0,0.625,0021500179,24:03,-29.1,96.3,0.0,101.38,0.01,203508,Sergey Karasev,0.0,,BKN,Brooklyn,1610612751,16.7,0.625,0.085
8,0.0,0.0,0.0,,135.5,0.125,0.571,0021500179,16:37,-37.7,97.9,0.0,99.59,0.026,202711,Bojan Bogdanovic,0.045,,BKN,Brooklyn,1610612751,20.2,0.571,0.262
9,0.091,10.6,0.0,,119.4,0.111,0.25,0021500179,14:42,-14.2,105.2,0.077,100.64,0.007,200745,Andrea Bargnani,0.091,,BKN,Brooklyn,1610612751,0.0,0.296,0.246
10,0.0,0.0,0.0,,114.3,0.0,1.5,0021500179,3:07,0.0,114.3,0.0,107.81,0.188,201961,Wayne Ellington,0.0,,BKN,Brooklyn,1610612751,0.0,1.5,0.143
11,0.2,20.5,0.0,,112.5,0.0,0.0,0021500179,5:31,-6.5,106.1,0.0,111.55,-0.042,203900,Markel Brown,0.0,,BKN,Brooklyn,1610612751,0.0,0.258,0.24
12,,0.0,,DNP - Coach's Decision                  ,,,,0021500179,,,,,,,202388,Donald Sloan,,,BKN,Brooklyn,1610612751,,,0.0
13,0.095,13.3,2.0,,83.0,0.111,0.792,0021500179,28:14,36.2,119.1,0.08,102.22,0.194,203109,Jae Crowder,0.096,F,BOS,Boston,1610612738,6.7,0.792,0.207
14,0.222,36.4,4.0,,81.3,0.105,0.667,0021500179,20:28,39.8,121.1,0.0,103.22,0.128,101161,Amir Johnson,0.051,F,BOS,Boston,1610612738,9.1,0.667,0.153
15,0.167,30.4,0.0,,77.8,0.25,0.5,0021500179,19:16,58.0,135.8,0.0,102.34,0.144,203096,Jared Sullinger,0.129,C,BOS,Boston,1610612738,0.0,0.581,0.169
16,0.222,33.7,2.0,,94.9,0.118,0.5,0021500179,21:04,17.0,111.9,0.0,102.87,0.045,203935,Marcus Smart,0.057,G,BOS,Boston,1610612738,16.8,0.595,0.176
17,0.36,32.8,3.0,,79.6,0.042,0.6,0021500179,27:51,44.6,124.2,0.0,104.69,0.139,202738,Isaiah Thomas,0.021,G,BOS,Boston,1610612738,10.9,0.583,0.292
18,0.0,0.0,0.0,,84.2,0.111,0.808,0021500179,25:14,43.1,127.3,0.0,101.69,0.229,202340,Avery Bradley,0.07,,BOS,Boston,1610612738,0.0,0.808,0.24
19,0.25,38.5,1.67,,96.9,0.32,0.4,0021500179,20:49,13.9,110.9,0.125,103.3,0.065,203482,Kelly Olynyk,0.244,,BOS,Boston,1610612738,23.1,0.4,0.163
20,0.05,18.4,1.0,,90.3,0.05,0.0,0021500179,18:51,28.7,119.0,0.083,102.76,-0.007,201973,Jonas Jerebko,0.063,,BOS,Boston,1610612738,18.4,0.145,0.104
21,0.333,41.5,3.5,,101.3,0.133,0.714,0021500179,25:37,8.9,110.2,0.053,102.05,0.196,202323,Evan Turner,0.102,,BOS,Boston,1610612738,11.8,0.761,0.168
22,0.231,25.3,1.0,,100.1,0.2,1.0,0021500179,16:57,31.1,131.3,0.0,98.72,0.155,101135,David Lee,0.125,,BOS,Boston,1610612738,25.3,0.935,0.255
23,0.125,16.7,0.0,,103.8,0.25,0.6,0021500179,9:26,5.9,109.7,0.143,109.6,0.213,203092,Tyler Zeller,0.211,,BOS,Boston,1610612738,0.0,0.6,0.209
24,0.0,0.0,0.0,,119.7,0.0,0.5,0021500179,6:13,-22.8,97.0,0.0,110.57,0.038,1626154,RJ Hunter,0.0,,BOS,Boston,1610612738,0.0,0.5,0.304
