,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.393,0.286,0021500179,18:19,0.635,0.054,0.063,0.051,0.2,2207,Joe Johnson,F,BKN,Brooklyn,1610612751,0.278
1,,0.398,0.347,0021500179,28:48,0.611,0.111,0.16,0.132,0.333,201152,Thaddeus Young,F,BKN,Brooklyn,1610612751,0.24
2,,0.458,0.333,0021500179,26:54,0.637,0.118,0.13,0.106,0.308,201572,Brook Lopez,C,BKN,Brooklyn,1610612751,0.19
3,,0.404,0.351,0021500179,31:23,0.574,0.082,0.207,0.149,0.353,1626178,Rondae Hollis-Jefferson,G,BKN,Brooklyn,1610612751,0.229
4,,0.402,0.366,0021500179,23:57,0.585,0.085,0.091,0.097,0.348,101127,Jarrett Jack,G,BKN,Brooklyn,1610612751,0.247
5,,0.338,0.206,0021500179,16:58,0.672,0.138,0.364,0.23,0.316,203080,Thomas Robinson,,BKN,Brooklyn,1610612751,0.184
6,,0.459,0.262,0021500179,29:41,0.65,0.16,0.286,0.228,0.333,203499,Shane Larkin,,BKN,Brooklyn,1610612751,0.136
7,,0.469,0.188,0021500179,24:03,0.713,0.15,0.333,0.226,0.24,203508,Sergey Karasev,,BKN,Brooklyn,1610612751,0.132
8,,0.5,0.125,0021500179,16:37,0.808,0.192,0.125,0.181,0.143,202711,Bojan Bogdanovic,,BKN,Brooklyn,1610612751,0.112
9,,0.534,0.103,0021500179,14:42,0.688,0.125,0.111,0.171,0.154,200745,Andrea Bargnani,,BKN,Brooklyn,1610612751,0.124
10,,0.667,0.0,0021500179,3:07,0.667,0.0,0.0,0.143,0.0,201961,Wayne Ellington,,BKN,Brooklyn,1610612751,0.143
11,,0.458,0.417,0021500179,5:31,0.65,0.1,0.5,0.322,0.375,203900,Markel Brown,,BKN,Brooklyn,1610612751,0.152
12,DNP - Coach's Decision                  ,,,0021500179,,,,,,,202388,Donald Sloan,,BKN,Brooklyn,1610612751,
13,,0.611,0.074,0021500179,28:14,0.406,0.354,0.333,0.244,0.16,203109,Jae Crowder,F,BOS,Boston,1610612738,0.119
14,,0.583,0.095,0021500179,20:28,0.394,0.364,0.316,0.271,0.1,101161,Amir Johnson,F,BOS,Boston,1610612738,0.046
15,,0.694,0.111,0021500179,19:16,0.387,0.323,0.25,0.259,0.067,203096,Jared Sullinger,C,BOS,Boston,1610612738,0.075
16,,0.605,0.053,0021500179,21:04,0.474,0.263,0.176,0.169,0.111,203935,Marcus Smart,G,BOS,Boston,1610612738,0.14
17,,0.655,0.091,0021500179,27:51,0.422,0.267,0.167,0.232,0.087,202738,Isaiah Thomas,G,BOS,Boston,1610612738,0.098
18,,0.698,0.163,0021500179,25:14,0.4,0.22,0.37,0.197,0.188,202340,Avery Bradley,,BOS,Boston,1610612738,0.157
19,,0.608,0.135,0021500179,20:49,0.465,0.233,0.32,0.132,0.313,203482,Kelly Olynyk,,BOS,Boston,1610612738,0.226
20,,0.677,0.194,0021500179,18:51,0.434,0.184,0.25,0.143,0.333,201973,Jonas Jerebko,,BOS,Boston,1610612738,0.233
21,,0.614,0.136,0021500179,25:37,0.463,0.222,0.333,0.124,0.316,202323,Evan Turner,,BOS,Boston,1610612738,0.228
22,,0.769,0.154,0021500179,16:57,0.47,0.273,0.333,0.135,0.222,101135,David Lee,,BOS,Boston,1610612738,0.214
23,,0.639,0.111,0021500179,9:26,0.5,0.263,0.25,0.142,0.286,203092,Tyler Zeller,,BOS,Boston,1610612738,0.229
24,,0.591,0.091,0021500179,6:13,0.538,0.385,0.375,0.141,0.4,1626154,RJ Hunter,,BOS,Boston,1610612738,0.346
