,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,2.0,0.0,,0021500773,17:45,14.0,3.0,8.0,26.0,0.0,0.0,202341,James Anderson,0.0,0.0,0.0,2.0,F,SAC,Sacramento,1610612758
1,0.0,1.0,,0021500773,35:59,19.0,11.0,13.0,48.0,4.0,7.0,202326,DeMarcus Cousins,10.0,2.0,10.0,14.0,F,SAC,Sacramento,1610612758
2,1.0,1.0,,0021500773,23:20,11.0,6.0,8.0,30.0,4.0,1.0,1626161,Willie Cauley-Stein,5.0,0.0,4.0,12.0,C,SAC,Sacramento,1610612758
3,0.0,0.0,,0021500773,37:41,21.0,13.0,15.0,52.0,3.0,0.0,201158,Marco Belinelli,2.0,0.0,2.0,0.0,G,SAC,Sacramento,1610612758
4,0.0,0.0,,0021500773,39:02,21.0,13.0,15.0,54.0,3.0,4.0,200765,Rajon Rondo,0.0,0.0,0.0,6.0,G,SAC,Sacramento,1610612758
5,1.0,0.0,,0021500773,21:09,12.0,5.0,7.0,24.0,1.0,2.0,201585,Kosta Koufos,2.0,0.0,4.0,6.0,,SAC,Sacramento,1610612758
6,0.0,2.0,,0021500773,29:24,9.0,10.0,7.0,36.0,2.0,1.0,201956,Omri Casspi,0.0,2.0,4.0,10.0,,SAC,Sacramento,1610612758
7,0.0,1.0,,0021500773,28:29,6.0,4.0,2.0,30.0,0.0,3.0,201954,Darren Collison,0.0,7.0,2.0,6.0,,SAC,Sacramento,1610612758
8,0.0,0.0,,0021500773,3:14,0.0,0.0,0.0,4.0,0.0,1.0,203112,Quincy Acy,0.0,0.0,0.0,0.0,,SAC,Sacramento,1610612758
9,1.0,0.0,,0021500773,3:57,2.0,0.0,0.0,6.0,1.0,0.0,203552,Seth Curry,0.0,0.0,0.0,0.0,,SAC,Sacramento,1610612758
10,,,DNP - Coach's Decision                  ,0021500773,,,,,,,,2406,Caron Butler,,,,,,SAC,Sacramento,1610612758
11,,,DND - Left Ankle Sprain                 ,0021500773,,,,,,,,200752,Rudy Gay,,,,,,SAC,Sacramento,1610612758
12,,,DND - Sprained Right Wrist              ,0021500773,,,,,,,,203463,Ben McLemore,,,,,,SAC,Sacramento,1610612758
13,0.0,0.0,,0021500773,31:16,12.0,6.0,13.0,40.0,1.0,1.0,203109,Jae Crowder,0.0,2.0,2.0,6.0,F,BOS,Boston,1610612738
14,0.0,0.0,,0021500773,19:24,7.0,4.0,4.0,22.0,2.0,0.0,101161,Amir Johnson,4.0,0.0,0.0,8.0,F,BOS,Boston,1610612738
15,0.0,0.0,,0021500773,23:14,15.0,4.0,14.0,22.0,3.0,3.0,203096,Jared Sullinger,7.0,0.0,2.0,12.0,C,BOS,Boston,1610612738
16,0.0,2.0,,0021500773,34:08,14.0,6.0,15.0,38.0,0.0,1.0,202340,Avery Bradley,6.0,3.0,8.0,6.0,G,BOS,Boston,1610612738
17,1.0,2.0,,0021500773,28:25,13.0,4.0,12.0,24.0,4.0,4.0,202738,Isaiah Thomas,3.0,5.0,0.0,12.0,G,BOS,Boston,1610612738
18,0.0,0.0,,0021500773,28:33,12.0,7.0,20.0,38.0,3.0,0.0,203935,Marcus Smart,3.0,0.0,3.0,2.0,,BOS,Boston,1610612738
19,1.0,0.0,,0021500773,26:53,9.0,7.0,17.0,36.0,2.0,4.0,202323,Evan Turner,0.0,3.0,0.0,6.0,,BOS,Boston,1610612738
20,0.0,0.0,,0021500773,16:31,9.0,7.0,17.0,22.0,0.0,1.0,203482,Kelly Olynyk,0.0,0.0,0.0,4.0,,BOS,Boston,1610612738
21,1.0,0.0,,0021500773,10:01,0.0,5.0,8.0,16.0,1.0,0.0,201973,Jonas Jerebko,0.0,0.0,0.0,0.0,,BOS,Boston,1610612738
22,2.0,1.0,,0021500773,21:35,4.0,5.0,10.0,22.0,3.0,4.0,203092,Tyler Zeller,0.0,0.0,0.0,6.0,,BOS,Boston,1610612738
23,,,DNP - Coach's Decision                  ,0021500773,,,,,,,,1626154,RJ Hunter,,,,,,BOS,Boston,1610612738
24,,,DNP - Coach's Decision                  ,0021500773,,,,,,,,101135,David Lee,,,,,,BOS,Boston,1610612738
25,,,DNP - Coach's Decision                  ,0021500773,,,,,,,,1626179,Terry Rozier,,,,,,BOS,Boston,1610612738
