,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,0,1,1,1.0,,2,0,0.0,1.38,3,0.5,0,0021500773,17:45,0,16,202341,James Anderson,3,2,4.65,F,20,SAC,Sacramento,1610612758,1,0,0.0
1,6,13,6,0.462,,8,6,0.75,2.21,10,0.44,0,0021500773,35:59,2,50,202326,DeMarcus Cousins,12,1,3.67,F,85,SAC,Sacramento,1610612758,12,5,0.417
2,0,6,4,0.667,,2,1,0.5,1.74,2,0.778,0,0021500773,23:20,7,16,1626161,Willie Cauley-Stein,9,0,4.46,C,26,SAC,Sacramento,1610612758,3,3,1.0
3,2,7,2,0.286,,2,1,0.5,2.71,6,0.412,0,0021500773,37:41,0,33,201158,Marco Belinelli,6,0,4.3,G,53,SAC,Sacramento,1610612758,10,5,0.5
4,15,6,2,0.333,,4,4,1.0,2.7,5,0.5,2,0021500773,39:02,3,99,200765,Rajon Rondo,8,5,4.13,G,120,SAC,Sacramento,1610612758,4,3,0.75
5,2,3,2,0.667,,7,5,0.714,1.59,2,0.75,0,0021500773,21:09,7,16,201585,Kosta Koufos,9,0,4.49,,22,SAC,Sacramento,1610612758,1,1,1.0
6,3,9,3,0.333,,5,5,1.0,2.13,5,0.375,0,0021500773,29:24,2,44,201956,Omri Casspi,7,0,4.33,,63,SAC,Sacramento,1610612758,7,3,0.429
7,4,4,2,0.5,,1,1,1.0,2.01,2,0.545,0,0021500773,28:29,2,42,201954,Darren Collison,4,1,4.22,,57,SAC,Sacramento,1610612758,7,4,0.571
8,0,0,0,0.0,,1,1,1.0,0.25,0,0.0,0,0021500773,3:14,1,4,203112,Quincy Acy,1,0,4.64,,5,SAC,Sacramento,1610612758,0,0,0.0
9,0,0,0,0.0,,2,1,0.5,0.3,2,1.0,0,0021500773,3:57,0,2,203552,Seth Curry,2,0,4.55,,4,SAC,Sacramento,1610612758,1,1,1.0
10,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500773,0:00,0,0,2406,Caron Butler,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
11,0,0,0,0.0,DND - Left Ankle Sprain                 ,0,0,0.0,0.0,0,0.0,0,0021500773,0:00,0,0,200752,Rudy Gay,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
12,0,0,0,0.0,DND - Sprained Right Wrist              ,0,0,0.0,0.0,0,0.0,0,0021500773,0:00,0,0,203463,Ben McLemore,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
13,3,3,1,0.333,,3,0,0.0,2.2,5,0.429,1,0021500773,31:16,1,29,203109,Jae Crowder,6,2,4.2,F,39,BOS,Boston,1610612738,4,2,0.5
14,4,3,2,0.667,,9,5,0.556,1.4,6,0.667,0,0021500773,19:24,6,38,101161,Amir Johnson,12,2,4.32,F,48,BOS,Boston,1610612738,3,2,0.667
15,1,3,3,1.0,,6,4,0.667,1.6,6,0.769,0,0021500773,23:14,5,24,203096,Jared Sullinger,11,0,4.1,C,41,BOS,Boston,1610612738,10,7,0.7
16,3,5,2,0.4,,2,1,0.5,2.45,3,0.563,1,0021500773,34:08,1,24,202340,Avery Bradley,4,0,4.29,G,43,BOS,Boston,1610612738,11,7,0.636
17,9,10,5,0.5,,3,1,0.333,2.06,6,0.444,1,0021500773,28:25,4,52,202738,Isaiah Thomas,10,2,4.33,G,75,BOS,Boston,1610612738,8,3,0.375
18,4,2,1,0.5,,1,1,1.0,1.93,6,0.333,1,0021500773,28:33,0,39,203935,Marcus Smart,6,0,4.04,,51,BOS,Boston,1610612738,7,2,0.286
19,9,5,3,0.6,,1,1,1.0,1.92,7,0.5,0,0021500773,26:53,0,50,202323,Evan Turner,7,0,4.28,,66,BOS,Boston,1610612738,3,1,0.333
20,0,2,2,1.0,,3,2,0.667,1.25,5,0.667,0,0021500773,16:31,1,28,203482,Kelly Olynyk,6,0,4.52,,36,BOS,Boston,1610612738,4,2,0.5
21,0,0,0,0.0,,1,0,0.0,0.75,3,0.0,0,0021500773,10:01,2,14,201973,Jonas Jerebko,5,0,4.46,,18,BOS,Boston,1610612738,0,0,0.0
22,1,5,3,0.6,,4,3,0.75,1.48,8,0.75,0,0021500773,21:35,1,24,203092,Tyler Zeller,9,1,4.11,,38,BOS,Boston,1610612738,3,3,1.0
23,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500773,0:00,0,0,1626154,RJ Hunter,0,0,0.0,,0,BOS,Boston,1610612738,0,0,0.0
24,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500773,0:00,0,0,101135,David Lee,0,0,0.0,,0,BOS,Boston,1610612738,0,0,0.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500773,0:00,0,0,1626179,Terry Rozier,0,0,0.0,,0,BOS,Boston,1610612738,0,0,0.0
