,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.063,10.1,0.5,,82.9,0.048,0.667,0021500202,19:28,26.2,109.1,0.0,108.15,0.057,203463,Ben McLemore,0.029,F,SAC,Sacramento,1610612758,20.2,0.727,0.201
1,0.059,3.6,0.25,,114.2,0.4,0.667,0021500202,30:53,-11.9,102.3,0.042,106.2,0.182,202326,DeMarcus Cousins,0.224,F,SAC,Sacramento,1610612758,14.4,0.659,0.38
2,0.111,100.0,0.0,,124.4,0.143,0.0,0021500202,8:21,-7.1,117.3,0.0,102.5,0.043,1626161,Willie Cauley-Stein,0.077,C,SAC,Sacramento,1610612758,0.0,0.0,0.0
3,0.0,0.0,0.0,,96.9,0.22,0.667,0021500202,42:02,-4.3,92.6,0.024,109.66,0.146,200752,Rudy Gay,0.12,G,SAC,Sacramento,1610612758,12.3,0.653,0.235
4,0.541,51.4,3.33,,105.0,0.125,0.542,0021500202,46:22,-12.2,92.8,0.068,109.49,0.161,200765,Rajon Rondo,0.095,G,SAC,Sacramento,1610612758,15.4,0.543,0.166
5,0.154,24.3,4.0,,118.1,0.136,0.273,0021500202,29:08,-19.7,98.4,0.0,111.31,0.024,201954,Darren Collison,0.06,,SAC,Sacramento,1610612758,6.1,0.306,0.164
6,0.111,14.0,3.0,,118.8,0.0,0.471,0021500202,38:18,-27.6,91.2,0.0,110.54,0.051,201158,Marco Belinelli,0.0,,SAC,Sacramento,1610612758,4.7,0.487,0.192
7,0.088,24.1,1.5,,99.9,0.182,0.357,0021500202,26:46,20.8,120.8,0.059,116.66,0.026,201956,Omri Casspi,0.128,,SAC,Sacramento,1610612758,16.1,0.403,0.137
8,0.059,7.8,1.0,,92.8,0.227,0.444,0021500202,23:42,-0.1,92.7,0.077,113.58,0.076,201585,Kosta Koufos,0.146,,SAC,Sacramento,1610612758,7.8,0.465,0.189
9,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,203112,Quincy Acy,,,SAC,Sacramento,1610612758,,,0.0
10,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,202341,James Anderson,,,SAC,Sacramento,1610612758,,,0.0
11,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,2406,Caron Butler,,,SAC,Sacramento,1610612758,,,0.0
12,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,203552,Seth Curry,,,SAC,Sacramento,1610612758,,,0.0
13,0.059,14.3,1.0,,103.2,0.375,0.5,0021500202,19:27,-5.2,97.9,0.0,110.31,0.073,203798,PJ Hairston,0.182,F,CHA,Charlotte,1610612766,14.3,0.5,0.134
14,0.0,0.0,0.0,,114.4,0.077,0.75,0021500202,19:26,-27.8,86.6,0.048,113.53,0.052,101107,Marvin Williams,0.059,F,CHA,Charlotte,1610612766,14.3,0.75,0.153
15,0.176,16.9,1.0,,106.5,0.176,0.4,0021500202,22:57,-9.7,96.8,0.0,108.93,0.054,2744,Al Jefferson,0.077,C,CHA,Charlotte,1610612766,16.9,0.425,0.28
16,0.25,24.9,1.6,,94.4,0.214,0.344,0021500202,43:18,6.2,100.6,0.024,112.05,0.125,201587,Nicolas Batum,0.12,G,CHA,Charlotte,1610612766,15.6,0.472,0.222
17,0.185,15.7,2.5,,92.8,0.091,0.783,0021500202,46:43,11.2,104.0,0.049,109.18,0.237,202689,Kemba Walker,0.071,G,CHA,Charlotte,1610612766,6.3,0.788,0.235
18,0.111,15.5,2.0,,113.8,0.278,0.556,0021500202,25:54,-15.0,98.8,0.0,110.6,0.07,203087,Jeremy Lamb,0.135,,CHA,Charlotte,1610612766,7.8,0.557,0.185
19,0.286,50.0,2.0,,129.4,0.4,0.0,0021500202,7:39,-21.7,107.7,0.0,115.95,0.024,201150,Spencer Hawes,0.2,,CHA,Charlotte,1610612766,25.0,0.0,0.113
20,0.0,0.0,0.0,,90.2,0.172,0.5,0021500202,28:02,20.9,111.1,0.045,108.65,0.089,203469,Cody Zeller,0.118,,CHA,Charlotte,1610612766,9.3,0.615,0.154
21,0.111,14.2,0.75,,98.0,0.065,0.458,0021500202,30:41,25.8,123.9,0.04,110.01,0.059,202391,Jeremy Lin,0.054,,CHA,Charlotte,1610612766,18.9,0.493,0.236
22,0.0,0.0,0.0,,77.9,0.12,0.563,0021500202,20:53,47.2,125.1,0.118,107.29,0.122,1626163,Frank Kaminsky,0.119,,CHA,Charlotte,1610612766,0.0,0.563,0.15
23,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,201946,Tyler Hansbrough,,,CHA,Charlotte,1610612766,,,0.0
24,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,1626151,Aaron Harrison,,,CHA,Charlotte,1610612766,,,0.0
25,,0.0,,DNP - Coach's Decision                  ,,,,0021500202,,,,,,,203148,Brian Roberts,,,CHA,Charlotte,1610612766,,,0.0
