,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.632,0.206,0021500202,19:28,0.432,0.162,0.095,0.157,0.071,203463,Ben McLemore,F,SAC,Sacramento,1610612758,0.162
1,,0.582,0.182,0021500202,30:53,0.588,0.211,0.12,0.132,0.083,202326,DeMarcus Cousins,F,SAC,Sacramento,1610612758,0.161
2,,0.633,0.267,0021500202,8:21,0.667,0.133,0.0,0.059,0.167,1626161,Willie Cauley-Stein,C,SAC,Sacramento,1610612758,0.16
3,,0.494,0.169,0021500202,42:02,0.488,0.222,0.195,0.147,0.167,200752,Rudy Gay,G,SAC,Sacramento,1610612758,0.154
4,,0.511,0.144,0021500202,46:22,0.546,0.23,0.2,0.162,0.159,200765,Rajon Rondo,G,SAC,Sacramento,1610612758,0.169
5,,0.508,0.115,0021500202,29:08,0.611,0.296,0.273,0.167,0.25,201954,Darren Collison,,SAC,Sacramento,1610612758,0.174
6,,0.481,0.143,0021500202,38:18,0.59,0.333,0.267,0.148,0.179,201158,Marco Belinelli,,SAC,Sacramento,1610612758,0.158
7,,0.688,0.125,0021500202,26:46,0.567,0.356,0.045,0.19,0.118,201956,Omri Casspi,,SAC,Sacramento,1610612758,0.149
8,,0.48,0.143,0021500202,23:42,0.476,0.381,0.182,0.196,0.231,201585,Kosta Koufos,,SAC,Sacramento,1610612758,0.178
9,DNP - Coach's Decision                  ,,,0021500202,,,,,,,203112,Quincy Acy,,SAC,Sacramento,1610612758,
10,DNP - Coach's Decision                  ,,,0021500202,,,,,,,202341,James Anderson,,SAC,Sacramento,1610612758,
11,DNP - Coach's Decision                  ,,,0021500202,,,,,,,2406,Caron Butler,,SAC,Sacramento,1610612758,
12,DNP - Coach's Decision                  ,,,0021500202,,,,,,,203552,Seth Curry,,SAC,Sacramento,1610612758,
13,,0.569,0.056,0021500202,19:27,0.597,0.222,0.188,0.215,0.118,203798,PJ Hairston,F,CHA,Charlotte,1610612766,0.187
14,,0.487,0.053,0021500202,19:26,0.654,0.179,0.154,0.166,0.095,101107,Marvin Williams,F,CHA,Charlotte,1610612766,0.16
15,,0.535,0.14,0021500202,22:57,0.643,0.19,0.118,0.187,0.091,2744,Al Jefferson,C,CHA,Charlotte,1610612766,0.138
16,,0.5,0.321,0021500202,43:18,0.511,0.149,0.143,0.147,0.195,201587,Nicolas Batum,G,CHA,Charlotte,1610612766,0.159
17,,0.54,0.227,0021500202,46:43,0.511,0.144,0.159,0.169,0.195,202689,Kemba Walker,G,CHA,Charlotte,1610612766,0.161
18,,0.583,0.31,0021500202,25:54,0.65,0.12,0.111,0.165,0.0,203087,Jeremy Lamb,,CHA,Charlotte,1610612766,0.187
19,,0.636,0.545,0021500202,7:39,0.688,0.188,0.2,0.155,0.0,201150,Spencer Hawes,,CHA,Charlotte,1610612766,0.227
20,,0.55,0.4,0021500202,28:02,0.455,0.127,0.172,0.145,0.227,203469,Cody Zeller,,CHA,Charlotte,1610612766,0.17
21,,0.593,0.356,0021500202,30:41,0.5,0.161,0.226,0.156,0.28,202391,Jeremy Lin,,CHA,Charlotte,1610612766,0.128
22,,0.56,0.333,0021500202,20:53,0.372,0.116,0.2,0.13,0.353,1626163,Frank Kaminsky,,CHA,Charlotte,1610612766,0.106
23,DNP - Coach's Decision                  ,,,0021500202,,,,,,,201946,Tyler Hansbrough,,CHA,Charlotte,1610612766,
24,DNP - Coach's Decision                  ,,,0021500202,,,,,,,1626151,Aaron Harrison,,CHA,Charlotte,1610612766,
25,DNP - Coach's Decision                  ,,,0021500202,,,,,,,203148,Brian Roberts,,CHA,Charlotte,1610612766,
