,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,1.0,0.0,,0021500202,19:28,4.0,7.0,9.0,16.0,5.0,2.0,203463,Ben McLemore,2.0,2.0,0.0,4.0,F,SAC,Sacramento,1610612758
1,3.0,1.0,,0021500202,30:53,6.0,8.0,17.0,34.0,5.0,5.0,202326,DeMarcus Cousins,2.0,0.0,3.0,12.0,F,SAC,Sacramento,1610612758
2,0.0,0.0,,0021500202,8:21,0.0,6.0,5.0,12.0,0.0,0.0,1626161,Willie Cauley-Stein,0.0,0.0,0.0,0.0,C,SAC,Sacramento,1610612758
3,0.0,2.0,,0021500202,42:02,8.0,15.0,14.0,44.0,4.0,1.0,200752,Rudy Gay,2.0,2.0,5.0,16.0,G,SAC,Sacramento,1610612758
4,1.0,0.0,,0021500202,46:22,8.0,15.0,24.0,50.0,3.0,5.0,200765,Rajon Rondo,3.0,3.0,0.0,8.0,G,SAC,Sacramento,1610612758
5,0.0,3.0,,0021500202,29:08,4.0,11.0,14.0,40.0,2.0,1.0,201954,Darren Collison,0.0,2.0,2.0,2.0,,SAC,Sacramento,1610612758
6,0.0,0.0,,0021500202,38:18,8.0,17.0,19.0,50.0,3.0,2.0,201158,Marco Belinelli,0.0,3.0,0.0,0.0,,SAC,Sacramento,1610612758
7,0.0,1.0,,0021500202,26:46,2.0,7.0,19.0,38.0,3.0,1.0,201956,Omri Casspi,3.0,0.0,3.0,2.0,,SAC,Sacramento,1610612758
8,3.0,0.0,,0021500202,23:42,0.0,9.0,9.0,26.0,5.0,2.0,201585,Kosta Koufos,2.0,0.0,0.0,6.0,,SAC,Sacramento,1610612758
9,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,203112,Quincy Acy,,,,,,SAC,Sacramento,1610612758
10,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,202341,James Anderson,,,,,,SAC,Sacramento,1610612758
11,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,2406,Caron Butler,,,,,,SAC,Sacramento,1610612758
12,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,203552,Seth Curry,,,,,,SAC,Sacramento,1610612758
13,1.0,0.0,,0021500202,19:27,10.0,7.0,7.0,20.0,2.0,2.0,203798,PJ Hairston,0.0,2.0,0.0,2.0,F,CHA,Charlotte,1610612766
14,0.0,0.0,,0021500202,19:26,7.0,7.0,5.0,26.0,4.0,1.0,101107,Marvin Williams,2.0,0.0,3.0,6.0,F,CHA,Charlotte,1610612766
15,1.0,2.0,,0021500202,22:57,7.0,7.0,4.0,24.0,1.0,2.0,2744,Al Jefferson,0.0,3.0,2.0,6.0,C,CHA,Charlotte,1610612766
16,1.0,3.0,,0021500202,43:18,9.0,12.0,10.0,42.0,1.0,5.0,201587,Nicolas Batum,0.0,2.0,7.0,4.0,G,CHA,Charlotte,1610612766
17,3.0,0.0,,0021500202,46:43,11.0,9.0,10.0,44.0,0.0,6.0,202689,Kemba Walker,4.0,7.0,9.0,16.0,G,CHA,Charlotte,1610612766
18,0.0,0.0,,0021500202,25:54,5.0,3.0,6.0,24.0,5.0,1.0,203087,Jeremy Lamb,0.0,3.0,2.0,8.0,,CHA,Charlotte,1610612766
19,0.0,0.0,,0021500202,7:39,3.0,3.0,3.0,8.0,1.0,0.0,201150,Spencer Hawes,0.0,0.0,0.0,0.0,,CHA,Charlotte,1610612766
20,0.0,2.0,,0021500202,28:02,4.0,3.0,6.0,18.0,4.0,7.0,203469,Cody Zeller,2.0,0.0,0.0,8.0,,CHA,Charlotte,1610612766
21,1.0,0.0,,0021500202,30:41,10.0,7.0,8.0,30.0,1.0,5.0,202391,Jeremy Lin,0.0,0.0,3.0,6.0,,CHA,Charlotte,1610612766
22,0.0,1.0,,0021500202,20:53,4.0,2.0,6.0,14.0,0.0,1.0,1626163,Frank Kaminsky,0.0,2.0,0.0,6.0,,CHA,Charlotte,1610612766
23,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,201946,Tyler Hansbrough,,,,,,CHA,Charlotte,1610612766
24,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,1626151,Aaron Harrison,,,,,,CHA,Charlotte,1610612766
25,,,DNP - Coach's Decision                  ,0021500202,,,,,,,,203148,Brian Roberts,,,,,,CHA,Charlotte,1610612766
