,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,1,2,2,1.0,,2,0,0.0,1.52,4,0.667,0,0021500202,19:23,1,9,203463,Ben McLemore,5,0,4.73,F,18,SAC,Sacramento,1610612758,4,2,0.5
1,1,8,6,0.75,,7,4,0.571,1.87,10,0.619,0,0021500202,30:53,1,39,202326,DeMarcus Cousins,11,1,3.63,F,65,SAC,Sacramento,1610612758,13,7,0.538
2,1,0,0,0.0,,0,0,0.0,0.68,3,0.0,0,0021500202,8:21,0,2,1626161,Willie Cauley-Stein,3,0,4.89,C,3,SAC,Sacramento,1610612758,0,0,0.0
3,0,13,8,0.615,,2,2,1.0,3.07,11,0.619,0,0021500202,42:02,7,39,200752,Rudy Gay,18,1,4.37,G,69,SAC,Sacramento,1610612758,8,5,0.625
4,20,5,3,0.6,,0,0,0.0,3.19,11,0.5,1,0021500202,46:22,7,109,200765,Rajon Rondo,18,4,4.12,G,137,SAC,Sacramento,1610612758,7,3,0.429
5,4,5,2,0.4,,1,1,1.0,2.05,4,0.273,0,0021500202,29:08,0,37,201954,Darren Collison,4,2,4.21,,51,SAC,Sacramento,1610612758,6,1,0.167
6,3,6,3,0.5,,0,0,0.0,2.69,0,0.412,0,0021500202,38:23,0,30,201158,Marco Belinelli,0,1,4.18,,47,SAC,Sacramento,1610612758,11,4,0.364
7,3,3,1,0.333,,3,1,0.333,1.92,7,0.286,0,0021500202,26:46,3,46,201956,Omri Casspi,10,0,4.3,,55,SAC,Sacramento,1610612758,4,1,0.25
8,1,7,3,0.429,,8,3,0.375,1.74,8,0.444,0,0021500202,23:42,4,18,201585,Kosta Koufos,12,0,4.4,,30,SAC,Sacramento,1610612758,2,1,0.5
9,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,203112,Quincy Acy,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
10,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,202341,James Anderson,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
11,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,2406,Caron Butler,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
12,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,203552,Seth Curry,0,0,0.0,,0,SAC,Sacramento,1610612758,0,0,0.0
13,1,2,2,1.0,,2,1,0.5,1.52,7,0.4,0,0021500202,19:27,0,16,203798,PJ Hairston,7,0,4.68,F,24,CHA,Charlotte,1610612766,3,0,0.0
14,0,3,3,1.0,,1,1,1.0,1.44,5,0.667,0,0021500202,19:26,1,40,101107,Marvin Williams,6,2,4.48,F,49,CHA,Charlotte,1610612766,3,1,0.333
15,3,5,1,0.2,,3,1,0.333,1.57,6,0.4,0,0021500202,22:57,1,20,2744,Al Jefferson,7,0,4.1,C,35,CHA,Charlotte,1610612766,5,3,0.6
16,8,10,2,0.2,,5,2,0.4,3.19,15,0.313,0,0021500202,43:18,2,61,201587,Nicolas Batum,17,3,4.41,G,89,CHA,Charlotte,1610612766,6,3,0.5
17,5,9,7,0.778,,5,3,0.6,3.36,6,0.696,2,0021500202,46:43,2,87,202689,Kemba Walker,8,4,4.31,G,117,CHA,Charlotte,1610612766,14,9,0.643
18,2,4,3,0.75,,3,3,1.0,1.85,9,0.556,0,0021500202,25:54,1,20,203087,Jeremy Lamb,10,0,4.29,,32,CHA,Charlotte,1610612766,5,2,0.4
19,2,0,0,0.0,,1,1,1.0,0.52,2,0.0,0,0021500202,7:39,0,10,201150,Spencer Hawes,2,0,4.06,,12,CHA,Charlotte,1610612766,1,0,0.0
20,0,8,4,0.5,,7,3,0.429,2.05,7,0.5,1,0021500202,28:02,8,26,203469,Cody Zeller,15,0,4.38,,35,CHA,Charlotte,1610612766,0,0,0.0
21,3,7,3,0.429,,2,1,0.5,2.25,5,0.417,0,0021500202,30:41,2,30,202391,Jeremy Lin,7,0,4.39,,53,CHA,Charlotte,1610612766,5,2,0.4
22,0,4,3,0.75,,1,0,0.0,1.55,6,0.5,1,0021500202,20:53,2,30,1626163,Frank Kaminsky,8,0,4.41,,38,CHA,Charlotte,1610612766,4,1,0.25
23,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,201946,Tyler Hansbrough,0,0,0.0,,0,CHA,Charlotte,1610612766,0,0,0.0
24,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,1626151,Aaron Harrison,0,0,0.0,,0,CHA,Charlotte,1610612766,0,0,0.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500202,0:00,0,0,203148,Brian Roberts,0,0,0.0,,0,CHA,Charlotte,1610612766,0,0,0.0
