,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,1.0,0.0,,4.0,6.0,1.0,0.167,13.0,4.0,0.308,0.0,0.0,0.0,0021500975,31:03,1.0,2.0,2772,Trevor Ariza,-22.0,9.0,5.0,F,2.0,HOU,Houston,1610612745,1.0
1,0.0,0.0,,1.0,1.0,0.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,0021500975,4:58,1.0,0.0,202700,Donatas Motiejunas,-3.0,4.0,2.0,F,0.0,HOU,Houston,1610612745,0.0
2,4.0,0.0,,9.0,0.0,0.0,0.0,10.0,8.0,0.8,2.0,0.0,0.0,0021500975,33:54,4.0,2.0,2730,Dwight Howard,-14.0,16.0,13.0,C,0.0,HOU,Houston,1610612745,4.0
3,10.0,0.0,,2.0,5.0,0.0,0.0,14.0,2.0,0.143,9.0,8.0,0.889,0021500975,33:42,1.0,3.0,201935,James Harden,-23.0,12.0,3.0,G,2.0,HOU,Houston,1610612745,1.0
4,1.0,2.0,,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0021500975,29:12,0.0,5.0,201976,Patrick Beverley,-13.0,0.0,2.0,G,0.0,HOU,Houston,1610612745,1.0
5,0.0,1.0,,1.0,1.0,0.0,0.0,9.0,6.0,0.667,3.0,3.0,1.0,0021500975,15:00,1.0,0.0,201563,Michael Beasley,-28.0,15.0,2.0,,0.0,HOU,Houston,1610612745,2.0
6,1.0,1.0,,1.0,0.0,0.0,0.0,7.0,4.0,0.571,5.0,1.0,0.2,0021500975,14:06,3.0,0.0,203991,Clint Capela,-2.0,9.0,4.0,,0.0,HOU,Houston,1610612745,0.0
7,2.0,0.0,,0.0,3.0,2.0,0.667,9.0,4.0,0.444,1.0,1.0,1.0,0021500975,19:52,2.0,4.0,1891,Jason Terry,-4.0,11.0,2.0,,2.0,HOU,Houston,1610612745,0.0
8,0.0,1.0,,3.0,4.0,1.0,0.25,15.0,9.0,0.6,4.0,2.0,0.5,0021500975,27:25,0.0,1.0,201147,Corey Brewer,7.0,21.0,3.0,,1.0,HOU,Houston,1610612745,0.0
9,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,2.0,0.667,2.0,1.0,0.5,0021500975,12:21,0.0,1.0,1626149,Montrezl Harrell,15.0,5.0,1.0,,0.0,HOU,Houston,1610612745,0.0
10,1.0,0.0,,2.0,2.0,1.0,0.5,3.0,1.0,0.333,2.0,2.0,1.0,0021500975,13:47,1.0,2.0,203909,KJ McDaniels,1.0,5.0,3.0,,0.0,HOU,Houston,1610612745,0.0
11,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0021500975,4:40,0.0,0.0,202726,Andrew Goudelock,6.0,2.0,0.0,,1.0,HOU,Houston,1610612745,0.0
12,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500975,,,,2746,Josh Smith,,,,,,HOU,Houston,1610612745,
13,8.0,1.0,,8.0,4.0,2.0,0.5,10.0,5.0,0.5,2.0,2.0,1.0,0021500975,33:31,0.0,1.0,201587,Nicolas Batum,1.0,14.0,8.0,F,1.0,CHA,Charlotte,1610612766,1.0
14,0.0,0.0,,1.0,5.0,3.0,0.6,16.0,9.0,0.563,4.0,4.0,1.0,0021500975,27:24,3.0,2.0,101107,Marvin Williams,15.0,25.0,4.0,F,2.0,CHA,Charlotte,1610612766,1.0
15,3.0,0.0,,2.0,0.0,0.0,0.0,4.0,3.0,0.75,2.0,1.0,0.5,0021500975,15:10,2.0,3.0,203469,Cody Zeller,2.0,7.0,4.0,C,0.0,CHA,Charlotte,1610612766,2.0
16,1.0,0.0,,2.0,4.0,2.0,0.5,9.0,5.0,0.556,0.0,0.0,0.0,0021500975,25:47,0.0,0.0,201584,Courtney Lee,9.0,12.0,2.0,G,0.0,CHA,Charlotte,1610612766,0.0
17,6.0,0.0,,5.0,7.0,4.0,0.571,16.0,11.0,0.688,0.0,0.0,0.0,0021500975,33:10,0.0,2.0,202689,Kemba Walker,32.0,26.0,5.0,G,0.0,CHA,Charlotte,1610612766,2.0
18,3.0,2.0,,8.0,0.0,0.0,0.0,11.0,5.0,0.455,0.0,0.0,0.0,0021500975,30:04,2.0,5.0,2744,Al Jefferson,18.0,10.0,10.0,,0.0,CHA,Charlotte,1610612766,1.0
19,4.0,0.0,,3.0,2.0,1.0,0.5,9.0,4.0,0.444,8.0,7.0,0.875,0021500975,25:36,1.0,5.0,202391,Jeremy Lin,9.0,16.0,4.0,,1.0,CHA,Charlotte,1610612766,0.0
20,0.0,2.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0021500975,7:48,0.0,1.0,203087,Jeremy Lamb,-5.0,2.0,1.0,,1.0,CHA,Charlotte,1610612766,1.0
21,1.0,0.0,,1.0,5.0,1.0,0.2,6.0,2.0,0.333,0.0,0.0,0.0,0021500975,20:36,1.0,4.0,1626163,Frank Kaminsky,1.0,5.0,2.0,,0.0,CHA,Charlotte,1610612766,3.0
22,1.0,0.0,,1.0,3.0,2.0,0.667,4.0,2.0,0.5,0.0,0.0,0.0,0021500975,12:36,1.0,1.0,203584,Troy Daniels,10.0,6.0,2.0,,1.0,CHA,Charlotte,1610612766,0.0
23,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0021500975,2:46,0.0,0.0,203268,Jorge Gutierrez,-4.0,0.0,1.0,,0.0,CHA,Charlotte,1610612766,0.0
24,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0021500975,2:46,0.0,0.0,201946,Tyler Hansbrough,-4.0,2.0,1.0,,0.0,CHA,Charlotte,1610612766,0.0
25,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0021500975,2:46,0.0,1.0,1626151,Aaron Harrison,-4.0,0.0,0.0,,0.0,CHA,Charlotte,1610612766,0.0
