,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.0,0.0,0.0,,148.5,0.0,0.333,0021501044,10:09,-79.2,69.3,0.091,92.12,-0.013,203960,JaKarr Sampson,0.056,F,DEN,Denver,1610612743,0.0,0.333,0.145
1,0.158,30.7,3.0,,140.1,0.15,0.25,0021501044,27:01,-31.6,108.5,0.1,93.17,0.016,201589,Darrell Arthur,0.125,F,DEN,Denver,1610612743,10.2,0.347,0.116
2,0.3,16.4,1.5,,135.7,0.188,0.333,0021501044,22:36,-55.9,79.9,0.045,94.81,0.085,203999,Nikola Jokic,0.105,C,DEN,Denver,1610612743,10.9,0.413,0.312
3,0.063,7.2,0.0,,143.2,0.091,0.375,0021501044,34:19,-66.6,76.7,0.0,94.81,0.04,203914,Gary Harris,0.035,G,DEN,Denver,1610612743,0.0,0.427,0.172
4,0.2,17.8,1.5,,132.5,0.125,0.136,0021501044,26:21,-44.3,88.2,0.037,98.7,-0.013,1626144,Emmanuel Mudiay,0.07,G,DEN,Denver,1610612743,11.8,0.21,0.242
5,0.231,19.0,0.75,,125.2,0.238,0.714,0021501044,25:40,-26.9,98.3,0.091,99.72,0.096,203994,Jusuf Nurkic,0.163,,DEN,Denver,1610612743,25.4,0.628,0.217
6,0.333,30.4,5.0,,112.8,0.111,0.35,0021501044,24:49,-12.9,99.9,0.0,100.04,0.082,201571,D.J. Augustin,0.051,,DEN,Denver,1610612743,6.1,0.383,0.197
7,0.0,0.0,0.0,,103.6,0.231,0.429,0021501044,18:35,3.3,106.9,0.063,106.78,0.103,203530,Joffrey Lauvergne,0.138,,DEN,Denver,1610612743,10.7,0.541,0.202
8,0.1,5.1,0.25,,111.2,0.176,0.917,0021501044,25:42,-7.6,103.6,0.045,101.79,0.227,203115,Will Barton,0.103,,DEN,Denver,1610612743,20.4,0.922,0.3
9,0.0,0.0,0.0,,106.5,0.167,0.0,0021501044,19:30,-28.9,77.6,0.048,105.5,0.0,1626253,Axel Toupane,0.091,,DEN,Denver,1610612743,0.0,0.0,0.021
10,0.0,0.0,0.0,,136.4,0.0,0.75,0021501044,5:18,-52.2,84.2,0.0,103.61,0.034,2034,Mike Miller,0.0,,DEN,Denver,1610612743,33.3,0.75,0.233
11,,0.0,,DND - Low Back Soreness                 ,,,,0021501044,,,,,,,202702,Kenneth Faried,,,DEN,Denver,1610612743,,,0.0
12,,0.0,,DNP - Coach's Decision                  ,,,,0021501044,,,,,,,2749,Jameer Nelson,,,DEN,Denver,1610612743,,,0.0
13,0.44,29.1,3.67,,87.6,0.296,0.658,0021501044,33:26,56.2,143.7,0.13,96.79,0.264,2544,LeBron James,0.22,F,CLE,Cleveland,1610612739,7.9,0.692,0.356
14,0.105,16.8,0.0,,89.3,0.143,0.722,0021501044,25:06,40.6,129.9,0.0,94.24,0.126,101112,Channing Frye,0.077,F,CLE,Cleveland,1610612739,0.0,0.709,0.182
15,0.0,0.0,0.0,,72.8,0.1,0.75,0021501044,21:12,65.4,138.2,0.143,97.27,0.121,202389,Timofey Mozgov,0.118,C,CLE,Cleveland,1610612739,27.3,0.846,0.156
16,0.217,27.8,5.0,,86.8,0.125,0.625,0021501044,28:47,37.8,124.6,0.043,100.42,0.149,2747,J.R. Smith,0.085,G,CLE,Cleveland,1610612739,5.6,0.625,0.199
17,0.176,17.6,1.5,,96.5,0.048,0.333,0021501044,23:56,12.2,108.7,0.059,97.75,0.017,202681,Kyrie Irving,0.053,G,CLE,Cleveland,1610612739,11.8,0.333,0.26
18,0.063,16.7,0.0,,113.5,0.353,0.8,0021501044,21:30,-1.5,112.0,0.063,98.99,0.154,202684,Tristan Thompson,0.212,,CLE,Cleveland,1610612739,0.0,0.8,0.103
19,0.368,48.5,0.0,,86.1,0.15,0.643,0021501044,22:31,40.2,126.3,0.0,98.07,0.16,203521,Matthew Dellavedova,0.086,,CLE,Cleveland,1610612739,0.0,0.672,0.15
20,0.0,0.0,0.0,,100.2,0.083,1.5,0021501044,8:15,55.1,155.3,0.0,114.27,0.147,2592,James Jones,0.053,,CLE,Cleveland,1610612739,0.0,1.5,0.094
21,0.19,44.4,4.0,,100.3,0.16,0.625,0021501044,23:08,19.9,120.2,0.0,101.59,0.081,202697,Iman Shumpert,0.105,,CLE,Cleveland,1610612739,11.1,0.625,0.098
22,0.133,15.4,1.0,,98.5,0.091,0.5,0021501044,21:33,6.4,104.9,0.0,96.35,0.045,2210,Richard Jefferson,0.057,,CLE,Cleveland,1610612739,15.4,0.5,0.251
23,0.4,50.0,2.0,,84.2,0.0,1.5,0021501044,5:18,52.2,136.4,0.0,103.61,0.136,203895,Jordan McRae,0.0,,CLE,Cleveland,1610612739,25.0,1.5,0.182
24,0.25,33.3,0.0,,84.2,0.25,1.0,0021501044,5:18,52.2,136.4,0.0,103.61,0.271,201619,Sasha Kaun,0.182,,CLE,Cleveland,1610612739,0.0,1.0,0.182
25,,0.0,,DND - Illness                           ,,,,0021501044,,,,,,,201567,Kevin Love,,,CLE,Cleveland,1610612739,,,0.0
