,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.382,0.235,0021501044,10:09,0.722,0.278,0.714,0.248,0.182,203960,JaKarr Sampson,F,DEN,Denver,1610612743,0.107
1,,0.523,0.395,0021501044,27:01,0.667,0.208,0.35,0.117,0.25,201589,Darrell Arthur,F,DEN,Denver,1610612743,0.15
2,,0.397,0.179,0021501044,22:36,0.7,0.125,0.313,0.158,0.182,203999,Nikola Jokic,C,DEN,Denver,1610612743,0.155
3,,0.388,0.19,0021501044,34:19,0.713,0.213,0.364,0.133,0.2,203914,Gary Harris,G,DEN,Denver,1610612743,0.177
4,,0.411,0.267,0021501044,26:21,0.694,0.143,0.313,0.145,0.148,1626144,Emmanuel Mudiay,G,DEN,Denver,1610612743,0.131
5,,0.464,0.429,0021501044,25:40,0.609,0.283,0.19,0.095,0.227,203994,Jusuf Nurkic,,DEN,Denver,1610612743,0.167
6,,0.488,0.39,0021501044,24:49,0.568,0.227,0.167,0.117,0.286,201571,D.J. Augustin,,DEN,Denver,1610612743,0.192
7,,0.516,0.452,0021501044,18:35,0.544,0.235,0.077,0.12,0.313,203530,Joffrey Lauvergne,,DEN,Denver,1610612743,0.219
8,,0.489,0.364,0021501044,25:42,0.576,0.196,0.118,0.111,0.318,203115,Will Barton,,DEN,Denver,1610612743,0.2
9,,0.397,0.235,0021501044,19:30,0.614,0.143,0.0,0.139,0.19,1626253,Axel Toupane,,DEN,Denver,1610612743,0.212
10,,0.364,0.182,0021501044,5:18,0.833,0.0,0.0,0.182,0.125,2034,Mike Miller,,DEN,Denver,1610612743,0.084
11,DND - Low Back Soreness                 ,,,0021501044,,,,,,,202702,Kenneth Faried,,DEN,Denver,1610612743,
12,DNP - Coach's Decision                  ,,,0021501044,,,,,,,2749,Jameer Nelson,,DEN,Denver,1610612743,
13,,0.689,0.279,0021501044,33:26,0.441,0.373,0.222,0.208,0.348,2544,LeBron James,F,CLE,Cleveland,1610612739,0.104
14,,0.64,0.279,0021501044,25:06,0.427,0.293,0.286,0.183,0.278,101112,Channing Frye,F,CLE,Cleveland,1610612739,0.122
15,,0.689,0.243,0021501044,21:12,0.361,0.25,0.25,0.205,0.357,202389,Timofey Mozgov,C,CLE,Cleveland,1610612739,0.143
16,,0.632,0.189,0021501044,28:47,0.447,0.34,0.167,0.18,0.261,2747,J.R. Smith,G,CLE,Cleveland,1610612739,0.135
17,,0.581,0.093,0021501044,23:56,0.463,0.325,0.238,0.164,0.294,202681,Kyrie Irving,G,CLE,Cleveland,1610612739,0.185
18,,0.563,0.2,0021501044,21:30,0.559,0.412,0.235,0.162,0.188,202684,Tristan Thompson,,CLE,Cleveland,1610612739,0.11
19,,0.613,0.325,0021501044,22:31,0.431,0.333,0.2,0.177,0.2,203521,Matthew Dellavedova,,CLE,Cleveland,1610612739,0.086
20,,0.794,0.176,0021501044,8:15,0.382,0.529,0.167,0.05,0.286,2592,James Jones,,CLE,Cleveland,1610612739,0.155
21,,0.646,0.171,0021501044,23:08,0.464,0.262,0.24,0.164,0.154,202697,Iman Shumpert,,CLE,Cleveland,1610612739,0.143
22,,0.595,0.054,0021501044,21:33,0.487,0.154,0.273,0.183,0.077,2210,Richard Jefferson,,CLE,Cleveland,1610612739,0.14
23,,0.833,0.0,0021501044,5:18,0.364,0.182,0.125,0.084,0.0,203895,Jordan McRae,,CLE,Cleveland,1610612739,0.182
24,,0.833,0.0,0021501044,5:18,0.364,0.182,0.125,0.084,0.0,201619,Sasha Kaun,,CLE,Cleveland,1610612739,0.182
25,DND - Illness                           ,,,0021501044,,,,,,,201567,Kevin Love,,CLE,Cleveland,1610612739,
