,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,1.0,,0021501044,10:09,7.0,0.0,5.0,12.0,1.0,1.0,203960,JaKarr Sampson,0.0,0.0,2.0,0.0,F,DEN,Denver,1610612743
1,0.0,0.0,,0021501044,27:01,10.0,7.0,17.0,34.0,3.0,2.0,201589,Darrell Arthur,0.0,0.0,0.0,0.0,F,DEN,Denver,1610612743
2,0.0,0.0,,0021501044,22:36,5.0,7.0,16.0,24.0,2.0,2.0,203999,Nikola Jokic,2.0,0.0,0.0,8.0,C,DEN,Denver,1610612743
3,0.0,1.0,,0021501044,34:19,12.0,12.0,24.0,46.0,2.0,1.0,203914,Gary Harris,0.0,4.0,2.0,6.0,G,DEN,Denver,1610612743
4,0.0,0.0,,0021501044,26:21,5.0,9.0,17.0,34.0,1.0,1.0,1626144,Emmanuel Mudiay,0.0,2.0,2.0,0.0,G,DEN,Denver,1610612743
5,3.0,0.0,,0021501044,25:40,8.0,14.0,16.0,34.0,3.0,3.0,203994,Jusuf Nurkic,3.0,0.0,0.0,8.0,,DEN,Denver,1610612743
6,0.0,1.0,,0021501044,24:49,7.0,11.0,18.0,28.0,0.0,2.0,201571,D.J. Augustin,3.0,0.0,0.0,4.0,,DEN,Denver,1610612743
7,0.0,1.0,,0021501044,18:35,2.0,9.0,16.0,20.0,0.0,2.0,203530,Joffrey Lauvergne,0.0,0.0,0.0,4.0,,DEN,Denver,1610612743
8,0.0,0.0,,0021501044,25:42,4.0,16.0,18.0,32.0,2.0,5.0,203115,Will Barton,5.0,2.0,2.0,8.0,,DEN,Denver,1610612743
9,1.0,0.0,,0021501044,19:30,0.0,13.0,16.0,20.0,2.0,0.0,1626253,Axel Toupane,0.0,0.0,0.0,0.0,,DEN,Denver,1610612743
10,0.0,0.0,,0021501044,5:18,0.0,2.0,2.0,6.0,0.0,0.0,2034,Mike Miller,0.0,0.0,0.0,0.0,,DEN,Denver,1610612743
11,,,DND - Low Back Soreness                 ,0021501044,,,,,,,,202702,Kenneth Faried,,,,,,DEN,Denver,1610612743
12,,,DNP - Coach's Decision                  ,0021501044,,,,,,,,2749,Jameer Nelson,,,,,,DEN,Denver,1610612743
13,0.0,1.0,,0021501044,33:26,8.0,4.0,6.0,22.0,2.0,8.0,2544,LeBron James,6.0,9.0,12.0,22.0,F,CLE,Cleveland,1610612739
14,1.0,0.0,,0021501044,25:06,7.0,4.0,6.0,20.0,2.0,2.0,101112,Channing Frye,1.0,0.0,6.0,4.0,F,CLE,Cleveland,1610612739
15,0.0,0.0,,0021501044,21:12,5.0,4.0,6.0,14.0,1.0,2.0,202389,Timofey Mozgov,0.0,0.0,0.0,6.0,C,CLE,Cleveland,1610612739
16,0.0,0.0,,0021501044,28:47,5.0,6.0,6.0,24.0,3.0,2.0,2747,J.R. Smith,2.0,2.0,3.0,6.0,G,CLE,Cleveland,1610612739
17,0.0,2.0,,0021501044,23:56,4.0,6.0,8.0,22.0,1.0,1.0,202681,Kyrie Irving,0.0,0.0,2.0,4.0,G,CLE,Cleveland,1610612739
18,1.0,1.0,,0021501044,21:30,6.0,2.0,2.0,22.0,3.0,0.0,202684,Tristan Thompson,0.0,2.0,0.0,8.0,,CLE,Cleveland,1610612739
19,0.0,0.0,,0021501044,22:31,6.0,0.0,2.0,16.0,2.0,0.0,203521,Matthew Dellavedova,3.0,3.0,6.0,0.0,,CLE,Cleveland,1610612739
20,1.0,0.0,,0021501044,8:15,5.0,2.0,0.0,4.0,0.0,0.0,2592,James Jones,0.0,0.0,0.0,0.0,,CLE,Cleveland,1610612739
21,1.0,0.0,,0021501044,23:08,8.0,4.0,2.0,20.0,3.0,0.0,202697,Iman Shumpert,0.0,2.0,2.0,2.0,,CLE,Cleveland,1610612739
22,0.0,0.0,,0021501044,21:33,7.0,4.0,2.0,22.0,2.0,1.0,2210,Richard Jefferson,0.0,2.0,2.0,2.0,,CLE,Cleveland,1610612739
23,0.0,0.0,,0021501044,5:18,2.0,2.0,0.0,2.0,0.0,0.0,203895,Jordan McRae,0.0,0.0,0.0,0.0,,CLE,Cleveland,1610612739
24,0.0,0.0,,0021501044,5:18,2.0,2.0,0.0,2.0,0.0,0.0,201619,Sasha Kaun,0.0,0.0,0.0,4.0,,CLE,Cleveland,1610612739
25,,,DND - Illness                           ,0021501044,,,,,,,,201567,Kevin Love,,,,,,CLE,Cleveland,1610612739
