,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,0,2,0,0.0,,2,1,0.5,0.69,1,0.333,0,0021501044,10:09,2,6,203960,JaKarr Sampson,3,0,4.09,F,10,DEN,Denver,1610612743,1,1,1.0
1,3,0,0,0.0,,4,3,0.75,1.7,5,0.25,0,0021501044,26:55,2,36,201589,Darrell Arthur,7,1,3.79,F,44,DEN,Denver,1610612743,4,1,0.25
2,3,8,3,0.375,,6,4,0.667,1.59,6,0.333,1,0021501044,22:36,2,35,203999,Nikola Jokic,8,1,4.22,C,51,DEN,Denver,1610612743,4,1,0.25
3,1,7,3,0.429,,3,3,1.0,2.36,2,0.333,0,0021501044,34:19,1,18,203914,Gary Harris,3,0,4.13,G,31,DEN,Denver,1610612743,5,1,0.2
4,3,5,0,0.0,,0,0,0.0,1.88,3,0.091,0,0021501044,26:27,1,59,1626144,Emmanuel Mudiay,4,2,4.26,G,74,DEN,Denver,1610612743,6,1,0.167
5,3,4,4,1.0,,9,6,0.667,1.75,7,0.714,1,0021501044,25:40,4,41,203994,Jusuf Nurkic,11,0,4.09,,57,DEN,Denver,1610612743,3,1,0.333
6,5,6,3,0.5,,0,0,0.0,1.64,3,0.3,2,0021501044,24:43,0,33,201571,D.J. Augustin,3,3,3.98,,47,DEN,Denver,1610612743,4,0,0.0
7,0,5,3,0.6,,2,1,0.5,1.3,3,0.429,0,0021501044,18:35,1,15,203530,Joffrey Lauvergne,4,0,4.19,,24,DEN,Denver,1610612743,2,0,0.0
8,1,7,6,0.857,,2,2,1.0,1.86,5,0.75,0,0021501044,25:42,1,35,203115,Will Barton,6,0,4.34,,57,DEN,Denver,1610612743,5,3,0.6
9,0,0,0,0.0,,0,0,0.0,1.42,3,0.0,1,0021501044,19:36,1,16,1626253,Axel Toupane,4,0,4.34,,17,DEN,Denver,1610612743,1,0,0.0
10,0,0,0,0.0,,0,0,0.0,0.39,0,0.5,0,0021501044,5:18,0,6,2034,Mike Miller,0,0,4.41,,9,DEN,Denver,1610612743,2,1,0.5
11,0,0,0,0.0,DND - Low Back Soreness                 ,0,0,0.0,0.0,0,0.0,0,0021501044,0:00,0,0,202702,Kenneth Faried,0,0,0.0,,0,DEN,Denver,1610612743,0,0,0.0
12,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501044,0:00,0,0,2749,Jameer Nelson,0,0,0.0,,0,DEN,Denver,1610612743,0,0,0.0
13,11,9,7,0.778,,1,1,1.0,2.14,11,0.632,0,0021501044,33:26,3,57,2544,LeBron James,14,2,3.85,F,86,CLE,Cleveland,1610612739,10,5,0.5
14,2,3,3,1.0,,3,2,0.667,1.56,4,0.556,0,0021501044,25:06,0,37,101112,Channing Frye,4,1,3.73,F,47,CLE,Cleveland,1610612739,6,2,0.333
15,0,3,2,0.667,,4,2,0.5,1.52,2,0.75,0,0021501044,21:12,4,11,202389,Timofey Mozgov,6,0,4.3,C,18,CLE,Cleveland,1610612739,1,1,1.0
16,5,5,2,0.4,,0,0,0.0,2.08,4,0.5,0,0021501044,28:47,1,34,2747,J.R. Smith,5,1,4.32,G,49,CLE,Cleveland,1610612739,7,4,0.571
17,3,7,2,0.286,,1,0,0.0,1.51,3,0.333,0,0021501044,23:56,1,37,202681,Kyrie Irving,4,1,3.79,G,53,CLE,Cleveland,1610612739,5,2,0.4
18,1,3,2,0.667,,10,7,0.7,1.56,9,0.8,0,0021501044,21:30,3,28,202684,Tristan Thompson,12,0,4.35,,34,CLE,Cleveland,1610612739,2,2,1.0
19,7,1,1,1.0,,0,0,0.0,1.54,3,0.429,2,0021501044,22:31,0,45,203521,Matthew Dellavedova,3,3,4.1,,53,CLE,Cleveland,1610612739,6,2,0.333
20,0,1,1,1.0,,0,0,0.0,0.6,1,1.0,0,0021501044,8:15,0,11,2592,James Jones,1,0,4.36,,14,CLE,Cleveland,1610612739,1,1,1.0
21,4,1,0,0.0,,3,1,0.333,1.67,5,0.5,0,0021501044,23:08,0,22,202697,Iman Shumpert,5,0,4.33,,28,CLE,Cleveland,1610612739,3,2,0.667
22,2,6,2,0.333,,2,2,1.0,1.39,2,0.444,0,0021501044,21:33,0,19,2210,Richard Jefferson,2,1,3.87,,32,CLE,Cleveland,1610612739,3,2,0.667
23,2,0,0,0.0,,1,0,0.0,0.4,1,1.0,0,0021501044,5:18,0,6,203895,Jordan McRae,1,0,4.53,,8,CLE,Cleveland,1610612739,1,1,1.0
24,1,1,1,1.0,,2,1,0.5,0.41,2,1.0,0,0021501044,5:18,1,6,201619,Sasha Kaun,3,0,4.64,,8,CLE,Cleveland,1610612739,1,1,1.0
25,0,0,0,0.0,DND - Illness                           ,0,0,0.0,0.0,0,0.0,0,0021501044,0:00,0,0,201567,Kevin Love,0,0,0.0,,0,CLE,Cleveland,1610612739,0,0,0.0
