,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021501044,10:09,1.0,1.0,203960,JaKarr Sampson,-17.0,2.0,1.0,F,0.0,DEN,Denver,1610612743,0.0
1,3.0,0.0,,3.0,1.0,0.0,0.0,4.0,1.0,0.25,4.0,2.0,0.5,0021501044,27:01,2.0,3.0,201589,Darrell Arthur,-14.0,4.0,5.0,F,0.0,DEN,Denver,1610612743,1.0
2,3.0,0.0,,3.0,1.0,0.0,0.0,12.0,4.0,0.333,3.0,3.0,1.0,0021501044,22:36,1.0,2.0,203999,Nikola Jokic,-24.0,11.0,4.0,C,3.0,DEN,Denver,1610612743,2.0
3,1.0,0.0,,2.0,6.0,1.0,0.167,12.0,4.0,0.333,2.0,2.0,1.0,0021501044,34:19,0.0,2.0,203914,Gary Harris,-45.0,11.0,2.0,G,2.0,DEN,Denver,1610612743,0.0
4,3.0,0.0,,2.0,3.0,1.0,0.333,11.0,1.0,0.091,2.0,2.0,1.0,0021501044,26:21,1.0,1.0,1626144,Emmanuel Mudiay,-26.0,5.0,3.0,G,1.0,DEN,Denver,1610612743,2.0
5,3.0,3.0,,5.0,0.0,0.0,0.0,7.0,5.0,0.714,4.0,1.0,0.25,0021501044,25:40,2.0,3.0,203994,Jusuf Nurkic,-13.0,11.0,7.0,,1.0,DEN,Denver,1610612743,4.0
6,5.0,0.0,,2.0,2.0,1.0,0.5,10.0,3.0,0.3,1.0,1.0,1.0,0021501044,24:49,0.0,0.0,201571,D.J. Augustin,-6.0,8.0,2.0,,1.0,DEN,Denver,1610612743,1.0
7,0.0,0.0,,3.0,1.0,0.0,0.0,7.0,3.0,0.429,3.0,3.0,1.0,0021501044,18:35,1.0,0.0,203530,Joffrey Lauvergne,1.0,9.0,4.0,,0.0,DEN,Denver,1610612743,1.0
8,1.0,0.0,,3.0,5.0,4.0,0.8,12.0,9.0,0.75,6.0,5.0,0.833,0021501044,25:42,1.0,2.0,203115,Will Barton,-3.0,27.0,4.0,,2.0,DEN,Denver,1610612743,4.0
9,0.0,1.0,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0021501044,19:30,1.0,2.0,1626253,Axel Toupane,-13.0,0.0,3.0,,0.0,DEN,Denver,1610612743,0.0
