,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.217,27.8,5.0,,132.9,0.182,0.5,0021501037,34:43,-14.4,118.6,0.024,92.92,0.065,202329,Al-Farouq Aminu,0.079,F,POR,Portland,1610612757,5.6,0.5,0.158
1,0.0,0.0,0.0,,130.2,0.125,0.0,0021501037,14:05,-1.6,128.7,0.143,93.46,-0.015,203943,Noah Vonleh,0.136,F,POR,Portland,1610612757,0.0,0.0,0.033
2,0.118,12.5,2.0,,138.1,0.474,0.556,0021501037,31:44,-34.6,103.4,0.227,95.35,0.116,203486,Mason Plumlee,0.302,C,POR,Portland,1610612757,6.3,0.54,0.182
3,0.308,22.9,2.0,,138.1,0.038,0.477,0021501037,43:04,-28.7,109.3,0.0,97.36,0.066,203468,CJ McCollum,0.013,G,POR,Portland,1610612757,11.5,0.481,0.259
4,0.296,19.2,1.6,,120.9,0.063,0.385,0021501037,44:05,-8.4,112.5,0.035,98.5,0.068,203081,Damian Lillard,0.045,G,POR,Portland,1610612757,12.0,0.454,0.307
5,0.0,0.0,0.0,,111.2,0.095,0.318,0021501037,25:01,-10.0,101.2,0.067,100.39,0.038,201945,Gerald Henderson,0.078,,POR,Portland,1610612757,7.8,0.337,0.2
6,0.0,0.0,0.0,,103.3,0.231,0.667,0021501037,15:10,9.7,113.0,0.0,103.81,0.124,203090,Maurice Harkless,0.107,,POR,Portland,1610612757,0.0,0.667,0.148
7,0.125,25.8,2.0,,98.0,0.2,0.667,0021501037,20:02,20.0,118.0,0.176,101.09,0.132,202334,Ed Davis,0.189,,POR,Portland,1610612757,12.9,0.63,0.116
8,0.0,0.0,0.0,,114.1,0.138,0.769,0021501037,36:25,-12.0,102.1,0.022,100.05,0.118,203459,Allen Crabbe,0.067,,POR,Portland,1610612757,6.2,0.789,0.17
9,0.0,0.0,0.0,,212.8,0.0,0.0,0021501037,0:40,-212.8,0.0,0.25,169.66,-0.333,203148,Brian Roberts,0.25,,POR,Portland,1610612757,0.0,0.0,0.258
10,,0.0,,DNP - Coach's Decision                  ,,,,0021501037,,,,,,,1626192,Pat Connaughton,,,POR,Portland,1610612757,,,0.0
11,,0.0,,DNP - Coach's Decision                  ,,,,0021501037,,,,,,,2549,Chris Kaman,,,POR,Portland,1610612757,,,0.0
12,,0.0,,NWT - Left Dislocated Shoulder          ,,,,0021501037,,,,,,,203086,Meyers Leonard,,,POR,Portland,1610612757,,,0.0
13,0.083,21.4,3.0,,110.8,0.1,0.75,0021501037,41:33,23.6,134.4,0.0,92.9,0.074,202083,Wesley Matthews,0.066,F,DAL,Dallas,1610612742,7.1,0.75,0.13
14,0.211,11.7,2.0,,113.9,0.174,0.673,0021501037,39:11,3.7,117.7,0.0,94.63,0.228,1717,Dirk Nowitzki,0.107,F,DAL,Dallas,1610612742,5.8,0.709,0.351
15,0.0,0.0,0.0,,141.7,0.333,0.0,0021501037,4:51,-49.5,92.2,0.25,97.19,-0.028,2585,Zaza Pachulia,0.286,C,DAL,Dallas,1610612742,0.0,0.0,0.186
16,0.571,38.8,3.2,,99.5,0.055,0.722,0021501037,42:39,24.9,124.4,0.0,98.61,0.237,101114,Deron Williams,0.035,G,DAL,Dallas,1610612742,12.1,0.767,0.272
17,0.05,10.1,1.0,,105.8,0.067,0.643,0021501037,25:25,30.2,136.0,0.0,96.09,0.085,101109,Raymond Felton,0.042,G,DAL,Dallas,1610612742,10.1,0.698,0.162
18,0.0,0.0,0.0,,92.6,0.0,0.0,0021501037,5:38,6.0,98.6,0.0,129.51,-0.04,1626147,Justin Anderson,0.0,,DAL,Dallas,1610612742,0.0,0.0,0.062
19,0.182,33.3,1.0,,122.0,0.263,0.5,0021501037,15:30,-29.8,92.2,0.214,107.99,0.085,101135,David Lee,0.242,,DAL,Dallas,1610612742,33.3,0.5,0.109
20,0.118,40.0,2.0,,120.7,0.125,1.25,0021501037,21:02,-11.7,109.0,0.0,108.06,0.08,2734,Devin Harris,0.075,,DAL,Dallas,1610612742,20.0,1.25,0.063
21,0.0,0.0,0.0,,100.9,0.077,0.333,0021501037,12:32,35.8,136.6,0.125,105.01,0.032,101111,Charlie Villanueva,0.095,,DAL,Dallas,1610612742,0.0,0.436,0.245
22,0.118,15.4,1.0,,124.5,0.097,0.5,0021501037,24:00,-13.8,110.7,0.0,93.48,0.068,200826,Jose Juan Barea,0.064,,DAL,Dallas,1610612742,15.4,0.5,0.22
23,0.032,7.7,0.5,,97.9,0.262,0.667,0021501037,32:39,46.5,144.4,0.15,93.4,0.126,1626257,Salah Mejri,0.226,,DAL,Dallas,1610612742,15.4,0.653,0.177
24,,0.0,,DNP - Coach's Decision                  ,,,,0021501037,,,,,,,201580,JaVale McGee,,,DAL,Dallas,1610612742,,,0.0
25,,0.0,,DNP - Coach's Decision                  ,,,,0021501037,,,,,,,203939,Dwight Powell,,,DAL,Dallas,1610612742,,,0.0
