,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.056,4.6,0.33,,148.5,0.087,0.357,0021500882,30:23,-52.6,95.9,0.051,96.18,0.014,203952,Andrew Wiggins,0.065,F,MIN,Minnesota,1610612750,13.9,0.428,0.261
1,0.0,0.0,0.0,,142.7,0.158,0.273,0021500882,25:20,-41.9,100.8,0.219,95.46,0.014,203476,Gorgui Dieng,0.196,F,MIN,Minnesota,1610612750,13.2,0.341,0.232
2,0.231,17.8,0.75,,144.7,0.318,0.667,0021500882,25:54,-49.6,95.1,0.125,96.77,0.103,1626157,Karl-Anthony Towns,0.204,C,MIN,Minnesota,1610612750,23.7,0.607,0.208
3,0.174,20.2,4.0,,128.7,0.2,0.269,0021500882,41:25,-29.0,99.7,0.02,98.95,0.043,203897,Zach LaVine,0.093,G,MIN,Minnesota,1610612750,5.1,0.339,0.154
4,0.385,28.9,0.0,,153.6,0.048,0.5,0021500882,24:53,-58.8,94.8,0.032,94.95,0.128,201937,Ricky Rubio,0.038,G,MIN,Minnesota,1610612750,0.0,0.568,0.191
5,0.0,0.0,0.0,,117.8,0.0,0.615,0021500882,34:29,-7.8,110.0,0.128,100.86,0.096,203498,Shabazz Muhammad,0.076,,MIN,Minnesota,1610612750,14.7,0.69,0.235
6,0.429,38.9,0.0,,107.3,0.176,0.333,0021500882,23:07,3.6,110.9,0.0,101.83,0.119,1626145,Tyus Jones,0.068,,MIN,Minnesota,1610612750,0.0,0.371,0.167
7,0.0,0.0,0.0,,109.4,0.313,0.333,0021500882,20:49,7.0,116.4,0.13,100.03,0.086,203940,Adreian Payne,0.205,,MIN,Minnesota,1610612750,11.4,0.451,0.169
8,0.0,0.0,0.0,,110.4,0.2,0.375,0021500882,13:40,-5.5,104.9,0.0,99.54,-0.02,204014,Damjan Rudez,0.077,,MIN,Minnesota,1610612750,20.0,0.375,0.149
9,,0.0,,DND - Right Foot Strain                 ,,,,0021500882,,,,,,,202357,Nemanja Bjelica,,,MIN,Minnesota,1610612750,,,0.0
10,,0.0,,DNP - Coach's Decision                  ,,,,0021500882,,,,,,,2755,Kevin Martin,,,MIN,Minnesota,1610612750,,,0.0
11,,0.0,,DNP - Coach's Decision                  ,,,,0021500882,,,,,,,2419,Tayshaun Prince,,,MIN,Minnesota,1610612750,,,0.0
12,0.211,18.9,0.0,,93.5,0.139,0.8,0021500882,26:58,54.5,147.9,0.045,93.24,0.298,202718,Chandler Parsons,0.103,F,DAL,Dallas,1610612742,0.0,0.843,0.29
13,0.091,10.0,1.0,,103.0,0.182,0.625,0021500882,17:13,21.3,124.3,0.0,98.09,0.096,1717,Dirk Nowitzki,0.111,F,DAL,Dallas,1610612742,10.0,0.625,0.241
14,0.158,38.1,0.0,,103.5,0.167,0.5,0021500882,20:08,44.2,147.6,0.167,91.41,0.129,2585,Zaza Pachulia,0.167,C,DAL,Dallas,1610612742,0.0,0.615,0.106
15,0.1,15.5,0.0,,86.8,0.0,0.65,0021500882,24:14,60.2,147.1,0.0,95.71,0.111,202083,Wesley Matthews,0.0,G,DAL,Dallas,1610612742,0.0,0.689,0.204
16,0.429,45.3,0.0,,100.8,0.065,0.4,0021500882,24:38,42.5,143.3,0.095,94.93,0.114,101114,Deron Williams,0.077,G,DAL,Dallas,1610612742,0.0,0.46,0.202
17,0.12,30.0,0.0,,100.3,0.1,0.5,0021500882,26:44,26.3,126.7,0.0,103.81,0.083,101109,Raymond Felton,0.058,,DAL,Dallas,1610612742,0.0,0.5,0.113
18,0.063,8.0,0.5,,96.2,0.286,0.667,0021500882,22:04,21.6,117.8,0.063,107.06,0.176,101135,David Lee,0.205,,DAL,Dallas,1610612742,16.1,0.689,0.231
19,0.412,33.5,2.33,,118.2,0.038,0.5,0021500882,23:46,-4.1,114.1,0.059,100.86,0.104,200826,Jose Juan Barea,0.047,,DAL,Dallas,1610612742,14.4,0.551,0.262
20,0.176,42.9,0.0,,102.9,0.0,0.625,0021500882,17:28,28.1,131.0,0.0,99.76,0.06,2734,Devin Harris,0.0,,DAL,Dallas,1610612742,0.0,0.625,0.104
21,0.0,0.0,0.0,,108.7,0.267,0.5,0021500882,13:16,5.8,114.5,0.0,98.92,0.139,101111,Charlie Villanueva,0.16,,DAL,Dallas,1610612742,0.0,0.658,0.183
22,0.0,0.0,0.0,,116.6,0.2,0.75,0021500882,9:06,-10.0,106.6,0.0,101.49,0.216,1626147,Justin Anderson,0.118,,DAL,Dallas,1610612742,25.8,0.868,0.393
23,0.167,25.0,0.0,,117.7,0.111,0.333,0021500882,8:37,-5.1,112.6,0.0,99.16,0.083,203939,Dwight Powell,0.063,,DAL,Dallas,1610612742,0.0,0.333,0.16
24,0.0,0.0,0.0,,131.6,0.167,1.0,0021500882,5:48,-10.8,120.8,0.0,88.55,0.063,1626257,Salah Mejri,0.1,,DAL,Dallas,1610612742,0.0,1.0,0.093
