,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.387,0.274,0021500882,30:23,0.658,0.2,0.217,0.016,0.462,203952,Andrew Wiggins,F,MIN,Minnesota,1610612750,0.149
1,,0.402,0.294,0021500882,25:20,0.615,0.292,0.211,0.02,0.5,203476,Gorgui Dieng,F,MIN,Minnesota,1610612750,0.161
2,,0.385,0.288,0021500882,25:54,0.627,0.216,0.227,0.019,0.438,1626157,Karl-Anthony Towns,C,MIN,Minnesota,1610612750,0.152
3,,0.404,0.507,0021500882,41:25,0.596,0.218,0.229,0.094,0.333,203897,Zach LaVine,G,MIN,Minnesota,1610612750,0.152
4,,0.37,0.3,0021500882,24:53,0.653,0.224,0.238,0.0,0.484,201937,Ricky Rubio,G,MIN,Minnesota,1610612750,0.161
5,,0.469,0.453,0021500882,34:29,0.563,0.222,0.185,0.111,0.359,203498,Shabazz Muhammad,,MIN,Minnesota,1610612750,0.137
6,,0.475,0.55,0021500882,23:07,0.538,0.25,0.176,0.162,0.296,1626145,Tyus Jones,,MIN,Minnesota,1610612750,0.144
7,,0.486,0.556,0021500882,20:49,0.543,0.257,0.188,0.163,0.348,203940,Adreian Payne,,MIN,Minnesota,1610612750,0.16
8,,0.386,0.682,0021500882,13:40,0.571,0.333,0.2,0.214,0.313,204014,Damjan Rudez,,MIN,Minnesota,1610612750,0.175
9,DND - Right Foot Strain                 ,,,0021500882,,,,,,,202357,Nemanja Bjelica,,MIN,Minnesota,1610612750,
10,DNP - Coach's Decision                  ,,,0021500882,,,,,,,2755,Kevin Martin,,MIN,Minnesota,1610612750,
11,DNP - Coach's Decision                  ,,,0021500882,,,,,,,2419,Tayshaun Prince,,MIN,Minnesota,1610612750,
12,,0.639,0.185,0021500882,26:58,0.349,0.358,0.472,0.136,0.273,202718,Chandler Parsons,F,DAL,Dallas,1610612742,0.019
13,,0.548,0.323,0021500882,17:13,0.429,0.257,0.455,0.172,0.143,1717,Dirk Nowitzki,F,DAL,Dallas,1610612742,0.056
14,,0.595,0.214,0021500882,20:08,0.382,0.342,0.542,0.163,0.333,2585,Zaza Pachulia,C,DAL,Dallas,1610612742,0.0
15,,0.628,0.255,0021500882,24:14,0.33,0.404,0.438,0.145,0.238,202083,Wesley Matthews,G,DAL,Dallas,1610612742,0.021
16,,0.615,0.229,0021500882,24:38,0.382,0.294,0.516,0.144,0.238,101114,Deron Williams,G,DAL,Dallas,1610612742,0.02
17,,0.587,0.212,0021500882,26:44,0.479,0.417,0.267,0.17,0.227,101109,Raymond Felton,,DAL,Dallas,1610612742,0.088
18,,0.615,0.205,0021500882,22:04,0.44,0.429,0.25,0.157,0.125,101135,David Lee,,DAL,Dallas,1610612742,0.147
19,,0.571,0.214,0021500882,23:46,0.512,0.419,0.346,0.16,0.176,200826,Jose Juan Barea,,DAL,Dallas,1610612742,0.14
20,,0.636,0.182,0021500882,17:28,0.5,0.281,0.333,0.195,0.182,2734,Devin Harris,,DAL,Dallas,1610612742,0.082
21,,0.571,0.333,0021500882,13:16,0.386,0.682,0.333,0.145,0.2,101111,Charlie Villanueva,,DAL,Dallas,1610612742,0.185
22,,0.571,0.286,0021500882,9:06,0.4,0.867,0.3,0.101,0.143,1626147,Justin Anderson,,DAL,Dallas,1610612742,0.213
23,,0.571,0.286,0021500882,8:37,0.429,0.786,0.333,0.112,0.143,203939,Dwight Powell,,DAL,Dallas,1610612742,0.169
24,,0.563,0.5,0021500882,5:48,0.45,0.6,0.5,0.094,0.0,1626257,Salah Mejri,,DAL,Dallas,1610612742,0.093
