,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.485,0.25,0021501037,34:43,0.695,0.153,0.227,0.134,0.366,202329,Al-Farouq Aminu,F,POR,Portland,1610612757,0.104
1,,0.615,0.192,0021501037,14:05,0.714,0.286,0.375,0.253,0.214,203943,Noah Vonleh,F,POR,Portland,1610612757,0.074
2,,0.413,0.317,0021501037,31:44,0.745,0.235,0.158,0.145,0.295,203486,Mason Plumlee,C,POR,Portland,1610612757,0.078
3,,0.494,0.235,0021501037,43:04,0.712,0.247,0.231,0.138,0.308,203468,CJ McCollum,G,POR,Portland,1610612757,0.114
4,,0.489,0.27,0021501037,44:05,0.637,0.26,0.188,0.157,0.316,203081,Damian Lillard,G,POR,Portland,1610612757,0.109
5,,0.467,0.413,0021501037,25:01,0.56,0.286,0.19,0.156,0.367,201945,Gerald Henderson,,POR,Portland,1610612757,0.187
6,,0.583,0.2,0021501037,15:10,0.5,0.346,0.231,0.156,0.467,203090,Maurice Harkless,,POR,Portland,1610612757,0.238
7,,0.625,0.222,0021501037,20:02,0.458,0.306,0.25,0.163,0.471,202334,Ed Davis,,POR,Portland,1610612757,0.241
8,,0.446,0.257,0021501037,36:25,0.571,0.27,0.172,0.121,0.391,203459,Allen Crabbe,,POR,Portland,1610612757,0.168
9,,0.0,0.667,0021501037,0:40,1.0,2.0,0.0,0.0,0.25,203148,Brian Roberts,,POR,Portland,1610612757,0.0
10,DNP - Coach's Decision                  ,,,0021501037,,,,,,,1626192,Pat Connaughton,,POR,Portland,1610612757,
11,DNP - Coach's Decision                  ,,,0021501037,,,,,,,2549,Chris Kaman,,POR,Portland,1610612757,
12,NWT - Left Dislocated Shoulder          ,,,0021501037,,,,,,,203086,Meyers Leonard,,POR,Portland,1610612757,
13,,0.716,0.224,0021501037,41:33,0.469,0.263,0.34,0.111,0.192,202083,Wesley Matthews,F,DAL,Dallas,1610612742,0.138
14,,0.59,0.239,0021501037,39:11,0.487,0.227,0.37,0.132,0.241,1717,Dirk Nowitzki,F,DAL,Dallas,1610612742,0.152
15,,0.417,0.667,0021501037,4:51,0.813,0.25,0.0,0.101,0.25,2585,Zaza Pachulia,C,DAL,Dallas,1610612742,0.307
16,,0.648,0.282,0021501037,42:39,0.428,0.313,0.327,0.136,0.194,101114,Deron Williams,G,DAL,Dallas,1610612742,0.15
17,,0.69,0.31,0021501037,25:25,0.457,0.34,0.267,0.098,0.222,101109,Raymond Felton,G,DAL,Dallas,1610612742,0.138
18,,0.375,0.417,0021501037,5:38,0.636,0.455,0.143,0.247,0.25,1626147,Justin Anderson,,DAL,Dallas,1610612742,0.141
19,,0.446,0.214,0021501037,15:30,0.603,0.206,0.421,0.194,0.214,101135,David Lee,,DAL,Dallas,1610612742,0.178
20,,0.541,0.243,0021501037,21:02,0.576,0.283,0.458,0.181,0.188,2734,Devin Harris,,DAL,Dallas,1610612742,0.156
21,,0.762,0.333,0021501037,12:32,0.587,0.174,0.154,0.18,0.125,101111,Charlie Villanueva,,DAL,Dallas,1610612742,0.148
22,,0.59,0.179,0021501037,24:00,0.51,0.196,0.452,0.127,0.25,200826,Jose Juan Barea,,DAL,Dallas,1610612742,0.174
23,,0.755,0.236,0021501037,32:39,0.387,0.306,0.333,0.11,0.2,1626257,Salah Mejri,,DAL,Dallas,1610612742,0.11
24,DNP - Coach's Decision                  ,,,0021501037,,,,,,,201580,JaVale McGee,,DAL,Dallas,1610612742,
25,DNP - Coach's Decision                  ,,,0021501037,,,,,,,203939,Dwight Powell,,DAL,Dallas,1610612742,
