,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,13.17147,-57.75183,57.75183,-107.39814,174.26868,63.83097,0.002,-71.93649,-81.0552,-0.007,-42.55398,72.94968,0.056,82,,,Overall,2015-16,40,4001.0,-118.54323,-164.13678,164.13678,-25.32975,-25.32975,-225.94137,-57.75183,DAL,1610612742.0,Dallas Mavericks,-96.25305,42,0.512
0,23.30337,-5.06595,5.06595,-5.06595,47.61993,18.23742,0.005,-16.21104,-14.18466,-0.01,17.22423,23.30337,0.063,40,202083 - 1717 - 2585 - 202718 - 101114,"Matthews,Wesley - Nowitzki,Dirk - Pachulia,Zaza - Parsons,Chandler - Williams,Deron",Lineups,,22,418.528333333,-16.21104,-47.61993,47.61993,13.17147,13.17147,-21.27699,-1.01319,,,,8.10552,18,0.45
1,10.1319,-13.17147,13.17147,-1.01319,8.10552,10.1319,0.047,22.29018,21.27699,0.023,24.31656,34.44846,0.143,37,101109 - 202083 - 1717 - 2585 - 101114,"Felton,Raymond - Matthews,Wesley - Nowitzki,Dirk - Pachulia,Zaza - Williams,Deron",Lineups,,18,271.505,2.02638,-41.54079,41.54079,87.13434,87.13434,1.01319,12.15828,,,,-22.29018,19,0.514
2,-11.14509,-8.10552,8.10552,3.03957,-2.02638,1.01319,0.027,-25.32975,-11.14509,0.002,9.11871,12.15828,0.097,22,101109 - 202083 - 2585 - 202718 - 101114,"Felton,Raymond - Matthews,Wesley - Pachulia,Zaza - Parsons,Chandler - Williams,Deron",Lineups,,12,103.048333333,-3.03957,-12.15828,12.15828,-9.11871,-9.11871,0.0,-3.03957,,,,-1.01319,10,0.455
3,7.09233,0.0,0.0,-9.11871,36.47484,22.29018,0.148,8.10552,-1.01319,-0.027,4.05276,3.03957,-0.003,8,200826 - 202083 - 1717 - 2585 - 202718,"Barea,J.J. - Matthews,Wesley - Nowitzki,Dirk - Pachulia,Zaza - Parsons,Chandler",Lineups,,4,101.541666667,-2.02638,-11.14509,11.14509,23.30337,23.30337,-11.14509,2.02638,,,,-12.15828,4,0.5
4,11.14509,-1.01319,1.01319,7.09233,12.15828,9.11871,0.083,-5.06595,10.1319,0.113,8.10552,11.14509,0.221,8,101109 - 202083 - 1717 - 202718 - 101114,"Felton,Raymond - Matthews,Wesley - Nowitzki,Dirk - Parsons,Chandler - Williams,Deron",Lineups,,5,61.3366666667,-11.14509,-4.05276,4.05276,40.5276,40.5276,-4.05276,-1.01319,,,,-5.06595,3,0.375
5,-10.1319,-1.01319,1.01319,7.09233,1.01319,-2.02638,-0.081,-5.06595,-9.11871,-0.073,-4.05276,-1.01319,0.098,23,101109 - 202083 - 2585 - 203939 - 101114,"Felton,Raymond - Matthews,Wesley - Pachulia,Zaza - Powell,Dwight - Williams,Deron",Lineups,,10,55.7316666667,4.05276,12.15828,-12.15828,-21.27699,-21.27699,11.14509,1.01319,,,,4.05276,13,0.565
6,-1.01319,4.05276,-4.05276,4.05276,-7.09233,-8.10552,-0.238,-8.10552,-5.06595,-0.01,-3.03957,-3.03957,-0.014,10,200826 - 101109 - 2734 - 101135 - 1717,"Barea,J.J. - Felton,Raymond - Harris,Devin - Lee,David - Nowitzki,Dirk",Lineups,,7,55.565,-1.01319,-4.05276,4.05276,-21.27699,-21.27699,3.03957,-8.10552,,,,5.06595,3,0.3
7,6.07914,-3.03957,3.03957,6.07914,0.0,3.03957,0.103,0.0,7.09233,0.077,-20.2638,-17.22423,-0.021,10,101109 - 101135 - 202083 - 202718 - 101114,"Felton,Raymond - Lee,David - Matthews,Wesley - Parsons,Chandler - Williams,Deron",Lineups,,6,53.2383333333,1.01319,12.15828,-12.15828,0.0,0.0,7.09233,-5.06595,,,,3.03957,4,0.4
8,-3.03957,-2.02638,2.02638,3.03957,7.09233,9.11871,0.227,10.1319,6.07914,0.018,2.02638,3.03957,0.077,11,200826 - 202083 - 1717 - 2585 - 101114,"Barea,J.J. - Matthews,Wesley - Nowitzki,Dirk - Pachulia,Zaza - Williams,Deron",Lineups,,3,46.075,7.09233,-3.03957,3.03957,24.31656,24.31656,10.1319,-1.01319,,,,-1.01319,8,0.727
