,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,13.17147,-57.75183,57.75183,,-107.39814,174.26868,63.83097,0.002,-71.93649,-81.0552,-0.007,-42.55398,72.94968,0.056,82,Overall,2015-16,40,4001.0,-118.54323,-164.13678,164.13678,-25.32975,-25.32975,-225.94137,-57.75183,DAL,1610612742,Dallas Mavericks,-96.25305,,,42,0.512
0,-14.18466,9.11871,-9.11871,On,-14.18466,8.10552,-9.11871,-0.031,12.15828,-1.01319,-0.005,1.01319,19.25061,0.053,55,On/Off Court,,27,646.876666667,7.09233,-21.27699,21.27699,8.10552,8.10552,-7.09233,4.05276,DAL,1610612742,Dallas Mavericks,-26.34294,1626147.0,"Anderson, Justin",28,0.509
1,-17.22423,-11.14509,11.14509,On,-113.47728,39.51441,-17.22423,-0.033,34.44846,-21.27699,-0.013,-62.81778,-31.40889,0.022,73,On/Off Court,,36,1625.46166667,-48.63312,-71.93649,71.93649,-91.1871,-91.1871,-162.1104,-43.56717,DAL,1610612742,Dallas Mavericks,-68.89692,200826.0,"Barea, Jose Juan",37,0.507
2,1.01319,6.07914,-6.07914,On,11.14509,-21.27699,-16.21104,-0.063,-37.48803,-18.23742,-0.005,11.14509,10.1319,0.013,29,On/Off Court,,14,251.27,-11.14509,-25.32975,25.32975,-42.55398,-42.55398,0.0,-9.11871,DAL,1610612742,Dallas Mavericks,2.02638,202379.0,"Evans, Jeremy",15,0.517
3,-22.29018,-32.42208,32.42208,On,-17.22423,20.2638,10.1319,0.003,-68.89692,-48.63312,-0.005,-37.48803,40.5276,0.064,79,On/Off Court,,40,2167.74,-41.54079,-59.77821,59.77821,-46.60674,-46.60674,-58.76502,-28.36932,DAL,1610612742,Dallas Mavericks,-52.68588,101109.0,"Felton, Raymond",39,0.494
4,-24.31656,-5.06595,5.06595,On,-58.76502,-14.18466,-35.46165,-0.042,-62.81778,-54.71226,-0.012,46.60674,51.67269,0.025,64,On/Off Court,,29,1280.45,-59.77821,-85.10796,85.10796,-93.21348,-93.21348,-118.54323,-1.01319,DAL,1610612742,Dallas Mavericks,-66.87054,2734.0,"Harris, Devin",35,0.547
5,3.03957,7.09233,-7.09233,On,2.02638,12.15828,-2.02638,-0.051,11.14509,4.05276,-0.003,-18.23742,-5.06595,0.096,20,On/Off Court,,11,180.151666667,0.0,-5.06595,5.06595,1.01319,1.01319,2.02638,3.03957,DAL,1610612742,Dallas Mavericks,-10.1319,203098.0,"Jenkins, John",9,0.45
6,0.0,-2.02638,2.02638,On,23.30337,-36.47484,-27.35613,-0.06,-17.22423,-3.03957,0.006,-30.3957,-11.14509,0.058,25,On/Off Court,,13,432.955,1.01319,15.19785,-15.19785,-44.58036,-44.58036,24.31656,-16.21104,DAL,1610612742,Dallas Mavericks,5.06595,101135.0,"Lee, David",12,0.48
7,27.35613,-60.7914,60.7914,On,-36.47484,184.40058,106.38495,0.027,-11.14509,-25.32975,-0.004,-34.44846,55.72545,0.068,77,On/Off Court,,38,2598.98666667,-55.72545,-80.04201,80.04201,111.4509,111.4509,-92.20029,-22.29018,DAL,1610612742,Dallas Mavericks,-64.84416,202083.0,"Matthews, Wesley",39,0.506
8,0.0,3.03957,-3.03957,On,-34.44846,11.14509,0.0,-0.018,-12.15828,-15.19785,-0.015,-18.23742,-20.2638,-0.047,33,On/Off Court,,19,360.3,-25.32975,-11.14509,11.14509,-50.6595,-50.6595,-59.77821,-3.03957,DAL,1610612742,Dallas Mavericks,-9.11871,201580.0,"McGee, JaVale",14,0.424
