,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,TEAM_ID,TEAM_NAME
0,378,775,388,0.501,438,163,0.372,1213,551,0.454,0.17,65,4637,"Williams, Deron",101114,,made,1610612742,Dallas Mavericks
1,284,561,271,0.483,364,133,0.365,925,404,0.437,0.126,80,3424,"Felton, Raymond",101109,,made,1610612742,Dallas Mavericks
2,301,596,318,0.534,288,92,0.319,884,410,0.464,0.114,74,3108,"Barea, Jose Juan",200826,,made,1610612742,Dallas Mavericks
3,130,367,184,0.501,221,77,0.348,588,261,0.444,0.103,75,2815,"Nowitzki, Dirk",1717,,made,1610612742,Dallas Mavericks
4,150,437,196,0.449,187,67,0.358,624,263,0.421,0.095,78,2587,"Matthews, Wesley",202083,,made,1610612742,Dallas Mavericks
5,128,299,141,0.472,166,61,0.367,465,202,0.434,0.086,76,2353,"Pachulia, Zaza",2585,,made,1610612742,Dallas Mavericks
6,169,326,167,0.512,206,78,0.379,532,245,0.461,0.081,61,2197,"Parsons, Chandler",202718,,made,1610612742,Dallas Mavericks
7,118,270,135,0.5,125,39,0.312,395,174,0.441,0.055,64,1496,"Harris, Devin",2734,,made,1610612742,Dallas Mavericks
8,44,128,59,0.461,80,26,0.325,208,85,0.409,0.052,67,1427,"Powell, Dwight",203939,,made,1610612742,Dallas Mavericks
9,24,81,42,0.519,32,6,0.188,113,48,0.425,0.028,58,769,"Villanueva, Charlie",101111,,made,1610612742,Dallas Mavericks
10,29,85,43,0.506,55,19,0.345,140,62,0.443,0.026,54,712,"Anderson, Justin",1626147,,made,1610612742,Dallas Mavericks
11,30,71,35,0.493,45,16,0.356,116,51,0.44,0.02,25,553,"Lee, David",101135,,made,1610612742,Dallas Mavericks
12,10,31,14,0.452,31,9,0.29,62,23,0.371,0.015,31,411,"Mejri, Salah",1626257,,made,1610612742,Dallas Mavericks
13,3,33,14,0.424,15,2,0.133,48,16,0.333,0.013,34,366,"McGee, JaVale",201580,,made,1610612742,Dallas Mavericks
14,2,19,7,0.368,9,1,0.111,28,8,0.286,0.007,24,184,"Evans, Jeremy",202379,,made,1610612742,Dallas Mavericks
15,9,29,11,0.379,20,5,0.25,49,16,0.327,0.007,21,182,"Jenkins, John",203098,,made,1610612742,Dallas Mavericks
0,131,462,208,0.45,274,95,0.347,736,303,0.412,0.187,65,5102,,101114,"Williams, Deron",received,1610612742,Dallas Mavericks
1,90,431,195,0.452,209,60,0.287,640,255,0.398,0.137,80,3727,,101109,"Felton, Raymond",received,1610612742,Dallas Mavericks
2,99,420,204,0.486,250,96,0.384,670,300,0.448,0.132,74,3595,,200826,"Barea, Jose Juan",received,1610612742,Dallas Mavericks
3,359,737,355,0.482,338,126,0.373,1075,481,0.447,0.106,75,2897,,1717,"Nowitzki, Dirk",received,1610612742,Dallas Mavericks
4,226,312,136,0.436,512,184,0.359,824,320,0.388,0.102,78,2779,,202083,"Matthews, Wesley",received,1610612742,Dallas Mavericks
5,194,367,197,0.537,242,103,0.426,609,300,0.493,0.084,61,2298,,202718,"Parsons, Chandler",received,1610612742,Dallas Mavericks
6,149,380,178,0.468,2,0,0.0,382,178,0.466,0.062,76,1677,,2585,"Pachulia, Zaza",received,1610612742,Dallas Mavericks
7,100,188,93,0.495,150,52,0.347,338,145,0.429,0.058,64,1568,,2734,"Harris, Devin",received,1610612742,Dallas Mavericks
8,129,249,130,0.522,16,2,0.125,265,132,0.498,0.035,66,961,,203939,"Powell, Dwight",received,1610612742,Dallas Mavericks
9,90,137,69,0.504,171,47,0.275,308,116,0.377,0.028,58,768,,101111,"Villanueva, Charlie",received,1610612742,Dallas Mavericks
10,42,74,38,0.514,81,22,0.272,155,60,0.387,0.021,55,578,,1626147,"Anderson, Justin",received,1610612742,Dallas Mavericks
11,67,113,74,0.655,0,0,0.0,113,74,0.655,0.014,24,394,,101135,"Lee, David",received,1610612742,Dallas Mavericks
12,37,65,41,0.631,1,0,0.0,66,41,0.621,0.01,30,259,,1626257,"Mejri, Salah",received,1610612742,Dallas Mavericks
13,54,98,61,0.622,1,0,0.0,99,61,0.616,0.009,34,248,,201580,"McGee, JaVale",received,1610612742,Dallas Mavericks
14,19,46,26,0.565,19,3,0.158,65,29,0.446,0.008,21,230,,203098,"Jenkins, John",received,1610612742,Dallas Mavericks
15,23,29,20,0.69,16,4,0.25,45,24,0.533,0.005,24,140,,202379,"Evans, Jeremy",received,1610612742,Dallas Mavericks
