,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,363,170,2015-16,0.502,2342,806,0.344,6900,3064,0.444,Overall,2015-16,0.5,0.85,0.592,0.5,0.15,0.408
0,262,171,Less Than 5 ft.,0.603,0,0,0.0,2028,1222,0.603,Shot Distance (5ft),Less Than 5 ft.,0.543,0.0,0.543,0.457,0.0,0.457
1,68,171,5-9 ft.,0.38,0,0,0.0,673,256,0.38,Shot Distance (5ft),5-9 ft.,0.25,0.0,0.25,0.75,0.0,0.75
2,10,171,10-14 ft.,0.427,0,0,0.0,599,256,0.427,Shot Distance (5ft),10-14 ft.,0.363,0.0,0.363,0.637,0.0,0.637
3,9,171,15-19 ft.,0.426,0,0,0.0,987,420,0.426,Shot Distance (5ft),15-19 ft.,0.6,0.0,0.6,0.4,0.0,0.4
4,11,171,20-24 ft.,0.523,1483,542,0.365,1754,646,0.368,Shot Distance (5ft),20-24 ft.,0.529,0.884,0.827,0.471,0.116,0.173
5,3,171,25-29 ft.,0.479,821,262,0.319,821,262,0.319,Shot Distance (5ft),25-29 ft.,0.0,0.779,0.779,0.0,0.221,0.221
6,0,171,30-34 ft.,0.0,10,0,0.0,10,0,0.0,Shot Distance (5ft),30-34 ft.,0.0,0.0,0.0,0.0,0.0,0.0
7,0,171,35-39 ft.,0.0,4,0,0.0,4,0,0.0,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,0.0,0.0
8,0,171,40+ ft.,0.0,22,0,0.0,22,0,0.0,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,0.0,0.0
0,316,172,Less Than 8 ft.,0.563,0,0,0.0,2476,1393,0.563,Shot Distance (8ft),Less Than 8 ft.,0.503,0.0,0.503,0.497,0.0,0.497
1,26,172,8-16 ft.,0.418,0,0,0.0,990,414,0.418,Shot Distance (8ft),8-16 ft.,0.372,0.0,0.372,0.628,0.0,0.628
2,10,172,16-24 ft.,0.413,1,0,0.0,1093,451,0.413,Shot Distance (8ft),16-24 ft.,0.605,0.0,0.605,0.395,0.0,0.395
3,11,172,24+ ft.,0.52,2320,804,0.347,2320,804,0.347,Shot Distance (8ft),24+ ft.,0.0,0.85,0.85,0.0,0.15,0.15
4,0,172,Back Court Shot,0.0,19,0,0.0,19,0,0.0,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,0.0,0.0
0,227,173,Restricted Area,0.621,0,0,0.0,1871,1161,0.621,Shot Area,Restricted Area,0.559,0.0,0.559,0.441,0.0,0.441
1,97,173,In The Paint (Non-RA),0.417,0,0,0.0,953,397,0.417,Shot Area,In The Paint (Non-RA),0.259,0.0,0.259,0.741,0.0,0.741
2,28,173,Mid-Range,0.403,1,0,0.0,1735,700,0.403,Shot Area,Mid-Range,0.537,0.0,0.537,0.463,0.0,0.463
3,4,173,Left Corner 3,0.535,314,112,0.357,314,112,0.357,Shot Area,Left Corner 3,0.0,0.991,0.991,0.0,0.009,0.009
4,3,173,Right Corner 3,0.651,205,89,0.434,205,89,0.434,Shot Area,Right Corner 3,0.0,0.966,0.966,0.0,0.034,0.034
5,4,173,Above the Break 3,0.502,1803,603,0.334,1803,603,0.334,Shot Area,Above the Break 3,0.0,0.806,0.806,0.0,0.194,0.194
6,0,173,Backcourt,0.0,17,0,0.0,17,0,0.0,Shot Area,Backcourt,0.0,0.0,0.0,0.0,0.0,0.0
0,0,169,Assisted,1.189,685,685,1.0,1813,1813,1.0,Assisted Shot,Assisted,1.0,1.0,1.0,0.0,0.0,0.0
1,0,169,Unassisted,1.048,121,121,1.0,1251,1251,1.0,Assisted Shot,Unassisted,0.0,0.0,0.0,1.0,1.0,1.0
