,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,13.17147,-57.75183,57.75183,155,2015-16,-107.39814,174.26868,63.83097,0.002,-71.93649,-81.0552,-0.007,-42.55398,72.94968,0.056,,82,Overall,2015-16,40,4001.0,-118.54323,-164.13678,164.13678,-25.32975,-25.32975,-225.94137,,,2015-16,-57.75183,,,-96.25305,42,0.512
0,52.68588,-48.63312,48.63312,153,Home,-24.31656,93.21348,39.51441,0.007,-52.68588,-16.21104,0.002,42.55398,91.1871,0.061,,41,Location,Home,18,2008.0,-80.04201,-136.78065,136.78065,98.27943,98.27943,-104.35857,,,,-6.07914,,Home,-72.94968,23,0.561
1,-39.51441,-9.11871,9.11871,153,Road,-83.08158,81.0552,24.31656,-0.003,-19.25061,-64.84416,-0.016,-85.10796,-18.23742,0.049,,41,Location,Road,22,1993.0,-38.50122,-27.35613,27.35613,-123.60918,-123.60918,-121.5828,,,,-51.67269,,Road,-23.30337,19,0.463
0,97.26624,-8.10552,8.10552,157,Wins,52.68588,111.4509,96.25305,0.051,-57.75183,105.37176,0.037,44.58036,91.1871,0.059,Wins,42,Wins/Losses,Wins,0,2061.0,-96.25305,-125.63556,125.63556,398.18367,398.18367,-43.56717,,,,8.10552,,,-107.39814,42,1.0
1,-84.09477,-49.64631,49.64631,157,Losses,-160.08402,62.81778,-32.42208,-0.047,-14.18466,-186.42696,-0.052,-87.13434,-18.23742,0.053,Losses,40,Wins/Losses,Losses,40,1940.0,-22.29018,-38.50122,38.50122,-423.51342,-423.51342,-182.3742,,,,-65.85735,,,11.14509,0,0.0
0,10.1319,-6.07914,6.07914,154,October,-2.02638,-4.05276,2.02638,0.059,8.10552,3.03957,-0.002,-20.2638,-8.10552,0.096,,2,Month,October,1,96.0,-1.01319,4.05276,-4.05276,0.0,0.0,-3.03957,October,,,2.02638,,,-5.06595,1,0.5
1,21.27699,-13.17147,13.17147,154,November,0.0,-7.09233,-5.06595,-0.007,-42.55398,-3.03957,0.012,10.1319,14.18466,0.016,,16,Month,November,7,768.0,-43.56717,-46.60674,46.60674,3.03957,3.03957,-43.56717,November,,,-5.06595,,,-13.17147,9,0.563
2,-4.05276,-6.07914,6.07914,154,December,-1.01319,87.13434,33.43527,-0.001,9.11871,-11.14509,-0.013,14.18466,31.40889,0.073,,14,Month,December,5,682.0,8.10552,-38.50122,38.50122,42.55398,42.55398,7.09233,December,,,-10.1319,,,-17.22423,9,0.643
3,-22.29018,-11.14509,11.14509,154,January,-50.6595,45.59355,16.21104,0.003,-29.38251,-34.44846,-0.014,-9.11871,1.01319,0.022,,18,Month,January,9,889.0,-35.46165,-47.61993,47.61993,-51.67269,-51.67269,-86.12115,January,,,-24.31656,,,-13.17147,9,0.5
4,5.06595,-15.19785,15.19785,154,February,-41.54079,27.35613,13.17147,0.011,-34.44846,-33.43527,-0.02,39.51441,51.67269,0.078,,10,Month,February,6,500.0,-32.42208,-36.47484,36.47484,-2.02638,-2.02638,-73.96287,February,,,19.25061,,,-28.36932,4,0.4
