,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,5,0,0,0.0,,1,1,1.0,2.41,5,0.333,1,0021501037,34:42,6,39,202329,Al-Farouq Aminu,11,0,4.17,F,57,POR,Portland,1610612757,12,4,0.333
1,0,0,0,0.0,,0,0,0.0,1.01,2,0.0,0,0021501037,14:06,7,21,203943,Noah Vonleh,9,1,4.31,F,24,POR,Portland,1610612757,1,0,0.0
2,2,6,3,0.5,,6,2,0.333,2.13,15,0.556,0,0021501037,31:44,17,49,203486,Mason Plumlee,32,0,4.03,C,68,POR,Portland,1610612757,3,2,0.667
3,8,10,4,0.4,,2,1,0.5,3.12,4,0.409,1,0021501037,43:04,1,54,203468,CJ McCollum,5,2,4.35,G,82,POR,Portland,1610612757,12,5,0.417
4,8,17,5,0.294,,2,2,1.0,2.92,2,0.308,2,0021501037,44:05,5,84,203081,Damian Lillard,7,1,3.97,G,119,POR,Portland,1610612757,9,3,0.333
5,0,6,2,0.333,,0,0,0.0,1.8,2,0.273,1,0021501037,25:01,2,24,201945,Gerald Henderson,4,0,4.32,,39,POR,Portland,1610612757,5,1,0.2
6,0,4,3,0.75,,1,1,1.0,1.15,4,0.667,0,0021501037,15:10,2,18,203090,Maurice Harkless,6,1,4.54,,24,POR,Portland,1610612757,2,1,0.5
7,2,3,2,0.667,,7,1,0.143,1.42,10,0.667,0,0021501037,20:02,5,23,202334,Ed Davis,15,0,4.25,,29,POR,Portland,1610612757,0,0,0.0
8,0,3,0,0.0,,2,1,0.5,2.6,6,0.538,0,0021501037,36:25,4,28,203459,Allen Crabbe,10,0,4.28,,46,POR,Portland,1610612757,10,7,0.7
9,0,0,0,0.0,,0,0,0.0,0.06,0,0.0,0,0021501037,0:40,1,0,203148,Brian Roberts,1,0,5.36,,1,POR,Portland,1610612757,1,0,0.0
10,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501037,0:00,0,0,1626192,Pat Connaughton,0,0,0.0,,0,POR,Portland,1610612757,0,0,0.0
11,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501037,0:00,0,0,2549,Chris Kaman,0,0,0.0,,0,POR,Portland,1610612757,0,0,0.0
12,0,0,0,0.0,NWT - Left Dislocated Shoulder          ,0,0,0.0,0.0,0,0.0,0,0021501037,0:00,0,0,203086,Meyers Leonard,0,0,0.0,,0,POR,Portland,1610612757,0,0,0.0
13,3,4,1,0.25,,3,2,0.667,2.77,10,0.5,0,0021501037,41:33,1,35,202083,Wesley Matthews,11,2,4.0,F,46,DAL,Dallas,1610612742,6,4,0.667
14,4,20,13,0.65,,7,3,0.429,2.4,16,0.615,1,0021501037,39:11,0,41,1717,Dirk Nowitzki,16,0,3.67,F,71,DAL,Dallas,1610612742,6,3,0.5
15,0,0,0,0.0,,0,0,0.0,0.34,1,0.0,1,0021501037,4:51,3,8,2585,Zaza Pachulia,4,0,4.22,C,11,DAL,Dallas,1610612742,2,0,0.0
16,16,13,6,0.462,,1,1,1.0,3.02,7,0.611,1,0021501037,42:39,0,74,101114,Deron Williams,7,2,4.25,G,106,DAL,Dallas,1610612742,5,5,1.0
17,1,2,1,0.5,,0,0,0.0,1.64,5,0.571,0,0021501037,25:25,1,26,101109,Raymond Felton,6,1,3.87,G,35,DAL,Dallas,1610612742,5,3,0.6
18,0,1,0,0.0,,0,0,0.0,0.49,2,0.0,0,0021501037,5:38,0,3,1626147,Justin Anderson,2,0,5.21,,4,DAL,Dallas,1610612742,0,0,0.0
19,2,2,1,0.5,,8,7,0.875,1.14,7,0.5,0,0021501037,15:30,7,15,101135,David Lee,14,0,4.42,,21,DAL,Dallas,1610612742,0,0,0.0
20,2,1,1,1.0,,3,3,1.0,1.49,7,1.0,0,0021501037,21:02,0,17,2734,Devin Harris,7,0,4.25,,23,DAL,Dallas,1610612742,1,1,1.0
21,0,3,2,0.667,,3,1,0.333,0.85,4,0.333,0,0021501037,12:32,1,5,101111,Charlie Villanueva,5,0,4.08,,12,DAL,Dallas,1610612742,3,0,0.0
22,2,8,4,0.5,,1,0,0.0,1.69,5,0.444,1,0021501037,24:00,0,33,200826,Jose Juan Barea,5,3,4.22,,46,DAL,Dallas,1610612742,1,0,0.0
23,1,5,3,0.6,,10,1,0.1,2.18,21,0.667,0,0021501037,32:39,9,28,1626257,Salah Mejri,30,0,4.0,,40,DAL,Dallas,1610612742,1,1,1.0
24,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501037,0:00,0,0,201580,JaVale McGee,0,0,0.0,,0,DAL,Dallas,1610612742,0,0,0.0
25,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021501037,0:00,0,0,203939,Dwight Powell,0,0,0.0,,0,DAL,Dallas,1610612742,0,0,0.0
