,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,1.0,0.0,,2.0,1.0,0.0,0.0,14.0,5.0,0.357,8.0,5.0,0.625,0021500882,30:23,2.0,2.0,203952,Andrew Wiggins,-33.0,15.0,4.0,F,0.0,MIN,Minnesota,1610612750,3.0
1,0.0,2.0,,3.0,0.0,0.0,0.0,11.0,3.0,0.273,5.0,3.0,0.6,0021500882,25:20,7.0,3.0,203476,Gorgui Dieng,-23.0,9.0,10.0,F,0.0,MIN,Minnesota,1610612750,2.0
2,3.0,0.0,,7.0,0.0,0.0,0.0,9.0,6.0,0.667,2.0,0.0,0.0,0021500882,25:54,4.0,3.0,1626157,Karl-Anthony Towns,-25.0,12.0,11.0,C,0.0,MIN,Minnesota,1610612750,4.0
3,4.0,0.0,,7.0,6.0,1.0,0.167,13.0,3.0,0.231,4.0,3.0,0.75,0021500882,41:25,1.0,4.0,203897,Zach LaVine,-25.0,10.0,8.0,G,2.0,MIN,Minnesota,1610612750,1.0
4,5.0,0.0,,1.0,4.0,1.0,0.25,11.0,5.0,0.455,3.0,3.0,1.0,0021500882,24:53,1.0,0.0,201937,Ricky Rubio,-28.0,14.0,2.0,G,0.0,MIN,Minnesota,1610612750,0.0
5,0.0,1.0,,0.0,4.0,2.0,0.5,13.0,7.0,0.538,10.0,8.0,0.8,0021500882,34:29,5.0,2.0,203498,Shabazz Muhammad,-5.0,24.0,5.0,,0.0,MIN,Minnesota,1610612750,3.0
6,6.0,0.0,,3.0,4.0,2.0,0.5,9.0,2.0,0.222,1.0,1.0,1.0,0021500882,23:07,0.0,0.0,1626145,Tyus Jones,1.0,7.0,3.0,,2.0,MIN,Minnesota,1610612750,0.0
7,0.0,0.0,,5.0,0.0,0.0,0.0,6.0,2.0,0.333,4.0,3.0,0.75,0021500882,20:49,3.0,0.0,203940,Adreian Payne,4.0,7.0,8.0,,0.0,MIN,Minnesota,1610612750,1.0
8,0.0,0.0,,2.0,4.0,1.0,0.25,4.0,1.0,0.25,0.0,0.0,0.0,0021500882,13:40,0.0,3.0,204014,Damjan Rudez,-1.0,3.0,2.0,,1.0,MIN,Minnesota,1610612750,1.0
9,,,DND - Right Foot Strain                 ,,,,,,,,,,,0021500882,,,,202357,Nemanja Bjelica,,,,,,MIN,Minnesota,1610612750,
10,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500882,,,,2755,Kevin Martin,,,,,,MIN,Minnesota,1610612750,
11,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500882,,,,2419,Tayshaun Prince,,,,,,MIN,Minnesota,1610612750,
12,4.0,0.0,,5.0,7.0,4.0,0.571,15.0,10.0,0.667,5.0,5.0,1.0,0021500882,26:58,1.0,1.0,202718,Chandler Parsons,31.0,29.0,6.0,F,1.0,DAL,Dallas,1610612742,0.0
13,1.0,2.0,,4.0,3.0,2.0,0.667,8.0,4.0,0.5,0.0,0.0,0.0,0021500882,17:13,0.0,4.0,1717,Dirk Nowitzki,8.0,10.0,4.0,F,0.0,DAL,Dallas,1610612742,1.0
14,3.0,1.0,,4.0,0.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,1.0,0021500882,20:08,3.0,3.0,2585,Zaza Pachulia,21.0,6.0,7.0,C,1.0,DAL,Dallas,1610612742,0.0
15,2.0,1.0,,0.0,6.0,3.0,0.5,10.0,5.0,0.5,2.0,2.0,1.0,0021500882,24:14,0.0,3.0,202083,Wesley Matthews,29.0,15.0,0.0,G,1.0,DAL,Dallas,1610612742,0.0
16,9.0,0.0,,2.0,4.0,0.0,0.0,10.0,4.0,0.4,2.0,2.0,1.0,0021500882,24:38,2.0,4.0,101114,Deron Williams,21.0,10.0,4.0,G,0.0,DAL,Dallas,1610612742,0.0
17,3.0,0.0,,3.0,4.0,1.0,0.25,7.0,3.0,0.429,0.0,0.0,0.0,0021500882,26:44,0.0,0.0,101109,Raymond Felton,13.0,7.0,3.0,,1.0,DAL,Dallas,1610612742,0.0
18,1.0,1.0,,8.0,0.0,0.0,0.0,9.0,6.0,0.667,1.0,1.0,1.0,0021500882,22:04,1.0,3.0,101135,David Lee,7.0,13.0,9.0,,2.0,DAL,Dallas,1610612742,2.0
19,7.0,0.0,,1.0,3.0,0.0,0.0,10.0,5.0,0.5,2.0,2.0,1.0,0021500882,23:46,1.0,1.0,200826,Jose Juan Barea,-2.0,12.0,2.0,,0.0,DAL,Dallas,1610612742,3.0
20,3.0,0.0,,0.0,2.0,1.0,0.5,4.0,2.0,0.5,0.0,0.0,0.0,0021500882,17:28,0.0,2.0,2734,Devin Harris,11.0,5.0,0.0,,1.0,DAL,Dallas,1610612742,0.0
21,0.0,0.0,,4.0,2.0,0.0,0.0,4.0,2.0,0.5,3.0,3.0,1.0,0021500882,13:16,0.0,3.0,101111,Charlie Villanueva,1.0,7.0,4.0,,1.0,DAL,Dallas,1610612742,0.0
22,0.0,0.0,,2.0,3.0,2.0,0.667,4.0,2.0,0.5,4.0,4.0,1.0,0021500882,9:06,0.0,0.0,1626147,Justin Anderson,-3.0,10.0,2.0,,0.0,DAL,Dallas,1610612742,2.0
23,1.0,0.0,,1.0,2.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021500882,8:37,0.0,0.0,203939,Dwight Powell,-1.0,2.0,1.0,,1.0,DAL,Dallas,1610612742,0.0
24,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0021500882,5:48,0.0,2.0,1626257,Salah Mejri,-1.0,2.0,1.0,,0.0,DAL,Dallas,1610612742,0.0
