,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.05,8.5,1.0,,101.3,0.091,0.5,0021500391,57:17,4.9,106.2,0.04,94.89,0.045,202694,Marcus Morris,0.067,F,DET,Detroit,1610612765,8.5,0.509,0.168
1,0.103,15.1,2.0,,108.9,0.118,0.382,0021500391,53:57,-3.3,105.7,0.06,98.28,0.051,101141,Ersan Ilyasova,0.089,F,DET,Detroit,1610612765,7.5,0.439,0.181
2,0.1,8.7,1.5,,106.5,0.22,0.56,0021500391,54:12,-4.3,102.2,0.204,98.01,0.194,203083,Andre Drummond,0.212,C,DET,Detroit,1610612765,5.8,0.561,0.248
3,0.097,12.6,3.0,,109.7,0.133,0.444,0021500391,48:45,-6.7,103.0,0.021,95.38,0.054,203484,Kentavious Caldwell-Pope,0.076,G,DET,Detroit,1610612765,4.2,0.43,0.19
4,0.464,28.0,6.5,,106.4,0.106,0.444,0021500391,49:30,-1.3,105.1,0.022,97.63,0.174,202704,Reggie Jackson,0.065,G,DET,Detroit,1610612765,4.3,0.494,0.296
5,0.154,25.4,0.0,,103.0,0.1,0.7,0021500391,19:22,9.7,112.7,0.053,95.41,0.189,2581,Steve Blake,0.077,,DET,Detroit,1610612765,0.0,0.68,0.127
6,0.045,6.3,0.5,,105.4,0.207,0.591,0021500391,30:24,12.9,118.4,0.045,98.86,0.112,1626169,Stanley Johnson,0.137,,DET,Detroit,1610612765,12.7,0.627,0.206
7,0.0,0.0,0.0,,99.2,0.077,0.25,0021500391,12:58,34.7,133.9,0.0,88.09,-0.024,201229,Anthony Tolliver,0.04,,DET,Detroit,1610612765,0.0,0.25,0.146
8,0.0,0.0,0.0,,97.9,0.2,0.0,0021500391,13:35,26.9,124.8,0.0,87.22,0.088,201202,Joel Anthony,0.115,,DET,Detroit,1610612765,0.0,1.136,0.031
9,,0.0,,DNP - Coach's Decision                  ,,,,0021500391,,,,,,,203382,Aron Baynes,,,DET,Detroit,1610612765,,,0.0
10,,0.0,,DNP - Coach's Decision                  ,,,,0021500391,,,,,,,203493,Reggie Bullock,,,DET,Detroit,1610612765,,,0.0
11,,0.0,,DNP - Coach's Decision                  ,,,,0021500391,,,,,,,203915,Spencer Dinwiddie,,,DET,Detroit,1610612765,,,0.0
12,,0.0,,DNP - Coach's Decision                  ,,,,0021500391,,,,,,,1626199,Darrun Hilliard,,,DET,Detroit,1610612765,,,0.0
13,0.0,0.0,0.0,,97.4,0.088,0.214,0021500391,38:11,11.7,109.0,0.028,99.29,-0.05,203503,Tony Snell,0.057,F,CHI,Chicago,1610612741,22.2,0.214,0.099
14,0.0,0.0,0.0,,102.9,0.146,0.571,0021500391,44:06,-0.6,102.3,0.143,95.45,0.125,201959,Taj Gibson,0.145,F,CHI,Chicago,1610612741,16.6,0.694,0.12
15,0.185,14.6,5.0,,100.9,0.205,0.435,0021500391,48:03,8.1,109.1,0.125,97.48,0.191,2200,Pau Gasol,0.163,C,CHI,Chicago,1610612741,2.9,0.53,0.257
16,0.077,4.9,0.67,,108.8,0.14,0.5,0021500391,55:33,-5.4,103.3,0.019,95.75,0.179,202710,Jimmy Butler,0.078,G,CHI,Chicago,1610612741,7.3,0.597,0.309
17,0.296,16.6,2.0,,104.9,0.082,0.426,0021500391,54:13,3.6,108.5,0.0,96.7,0.109,201565,Derrick Rose,0.04,G,CHI,Chicago,1610612741,8.3,0.47,0.315
18,0.0,0.0,0.0,,119.8,0.043,0.333,0021500391,22:19,-20.5,99.3,0.0,92.14,-0.029,203926,Doug McDermott,0.023,,CHI,Chicago,1610612741,0.0,0.333,0.062
19,0.25,33.3,1.33,,125.1,0.273,0.6,0021500391,25:40,-16.0,109.1,0.217,94.12,0.16,201149,Joakim Noah,0.244,,CHI,Chicago,1610612741,25.0,0.6,0.142
20,0.0,0.0,0.0,,118.2,0.25,0.25,0021500391,23:56,-20.3,97.9,0.0,97.66,0.029,202703,Nikola Mirotic,0.114,,CHI,Chicago,1610612741,0.0,0.363,0.125
21,0.25,33.3,2.0,,131.8,0.125,0.333,0021500391,11:30,-26.0,105.8,0.083,98.42,0.012,201166,Aaron Brooks,0.1,,CHI,Chicago,1610612741,16.7,0.333,0.15
22,0.0,0.0,0.0,,90.2,0.0,0.75,0021500391,3:21,28.8,119.0,0.0,97.72,0.545,202734,E'Twaun Moore,0.0,,CHI,Chicago,1610612741,0.0,0.868,0.419
23,0.0,0.0,0.0,,102.5,0.0,0.0,0021500391,13:08,3.3,105.8,0.0,91.18,-0.121,2550,Kirk Hinrich,0.0,,CHI,Chicago,1610612741,0.0,0.0,0.035
24,,0.0,,DNP - Coach's Decision                  ,,,,0021500391,,,,,,,203946,Cameron Bairstow,,,CHI,Chicago,1610612741,,,0.0
25,,0.0,,DNP - Coach's Decision                  ,,,,0021500391,,,,,,,1626171,Bobby Portis,,,CHI,Chicago,1610612741,,,0.0
