,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.481,0.324,0021500391,57:17,0.416,0.327,0.291,0.116,0.3,202694,Marcus Morris,F,DET,Detroit,1610612765,0.079
1,,0.49,0.384,0021500391,53:57,0.438,0.402,0.353,0.127,0.28,101141,Ersan Ilyasova,F,DET,Detroit,1610612765,0.081
2,,0.471,0.324,0021500391,54:12,0.438,0.375,0.32,0.127,0.306,203083,Andre Drummond,C,DET,Detroit,1610612765,0.09
3,,0.461,0.36,0021500391,48:45,0.454,0.356,0.356,0.124,0.255,203484,Kentavious Caldwell-Pope,G,DET,Detroit,1610612765,0.062
4,,0.462,0.396,0021500391,49:30,0.438,0.371,0.34,0.129,0.267,202704,Reggie Jackson,G,DET,Detroit,1610612765,0.06
5,,0.514,0.4,0021500391,19:22,0.441,0.324,0.2,0.103,0.421,2581,Steve Blake,,DET,Detroit,1610612765,0.131
6,,0.536,0.4,0021500391,30:24,0.442,0.462,0.276,0.142,0.455,1626169,Stanley Johnson,,DET,Detroit,1610612765,0.113
7,,0.5,0.476,0021500391,12:58,0.477,0.227,0.154,0.119,0.417,201229,Anthony Tolliver,,DET,Detroit,1610612765,0.089
8,,0.522,0.478,0021500391,13:35,0.409,0.364,0.267,0.122,0.364,201202,Joel Anthony,,DET,Detroit,1610612765,0.04
9,DNP - Coach's Decision                  ,,,0021500391,,,,,,,203382,Aron Baynes,,DET,Detroit,1610612765,
10,DNP - Coach's Decision                  ,,,0021500391,,,,,,,203493,Reggie Bullock,,DET,Detroit,1610612765,
11,DNP - Coach's Decision                  ,,,0021500391,,,,,,,203915,Spencer Dinwiddie,,DET,Detroit,1610612765,
12,DNP - Coach's Decision                  ,,,0021500391,,,,,,,1626199,Darrun Hilliard,,DET,Detroit,1610612765,
13,,0.43,0.38,0021500391,38:11,0.434,0.471,0.235,0.063,0.333,203503,Tony Snell,F,CHI,Chicago,1610612741,0.101
14,,0.424,0.316,0021500391,44:06,0.448,0.455,0.244,0.068,0.333,201959,Taj Gibson,F,CHI,Chicago,1610612741,0.126
15,,0.423,0.352,0021500391,48:03,0.455,0.364,0.25,0.062,0.333,2200,Pau Gasol,C,CHI,Chicago,1610612741,0.092
16,,0.428,0.381,0021500391,55:33,0.491,0.264,0.34,0.082,0.288,202710,Jimmy Butler,G,CHI,Chicago,1610612741,0.117
17,,0.434,0.388,0021500391,54:13,0.469,0.388,0.265,0.064,0.353,201565,Derrick Rose,G,CHI,Chicago,1610612741,0.118
18,,0.457,0.343,0021500391,22:19,0.511,0.222,0.435,0.092,0.286,203926,Doug McDermott,,CHI,Chicago,1610612741,0.189
19,,0.488,0.415,0021500391,25:40,0.561,0.286,0.409,0.098,0.304,201149,Joakim Noah,,CHI,Chicago,1610612741,0.162
20,,0.438,0.4,0021500391,23:56,0.524,0.452,0.45,0.127,0.208,202703,Nikola Mirotic,,CHI,Chicago,1610612741,0.16
21,,0.476,0.286,0021500391,11:30,0.684,0.421,0.25,0.128,0.25,201166,Aaron Brooks,,CHI,Chicago,1610612741,0.127
22,,0.5,0.4,0021500391,3:21,0.5,0.667,0.0,0.0,0.333,202734,E'Twaun Moore,,CHI,Chicago,1610612741,0.17
23,,0.455,0.364,0021500391,13:08,0.432,0.455,0.545,0.164,0.231,2550,Kirk Hinrich,,CHI,Chicago,1610612741,0.118
24,DNP - Coach's Decision                  ,,,0021500391,,,,,,,203946,Cameron Bairstow,,CHI,Chicago,1610612741,
25,DNP - Coach's Decision                  ,,,0021500391,,,,,,,1626171,Bobby Portis,,CHI,Chicago,1610612741,
