,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,0.0,,0021500976,32:59,5.0,11.0,17.0,34.0,3.0,2.0,202699,Tobias Harris,2.0,2.0,2.0,6.0,F,DET,Detroit,1610612765
1,1.0,0.0,,0021500976,39:31,8.0,16.0,14.0,28.0,3.0,2.0,202694,Marcus Morris,0.0,4.0,3.0,4.0,F,DET,Detroit,1610612765
2,0.0,0.0,,0021500976,34:46,5.0,11.0,17.0,34.0,4.0,2.0,203083,Andre Drummond,4.0,2.0,2.0,16.0,C,DET,Detroit,1610612765
3,0.0,1.0,,0021500976,40:14,7.0,13.0,17.0,36.0,2.0,4.0,203484,Kentavious Caldwell-Pope,4.0,7.0,7.0,10.0,G,DET,Detroit,1610612765
4,0.0,0.0,,0021500976,30:14,6.0,11.0,9.0,22.0,4.0,4.0,202704,Reggie Jackson,2.0,3.0,0.0,10.0,G,DET,Detroit,1610612765
5,0.0,0.0,,0021500976,17:46,2.0,7.0,13.0,18.0,3.0,0.0,2581,Steve Blake,0.0,0.0,0.0,4.0,,DET,Detroit,1610612765
6,0.0,1.0,,0021500976,13:45,0.0,7.0,13.0,14.0,0.0,0.0,1626169,Stanley Johnson,0.0,0.0,0.0,0.0,,DET,Detroit,1610612765
7,0.0,0.0,,0021500976,16:49,4.0,7.0,5.0,8.0,1.0,1.0,203493,Reggie Bullock,2.0,4.0,2.0,8.0,,DET,Detroit,1610612765
8,2.0,0.0,,0021500976,13:14,3.0,7.0,5.0,6.0,0.0,1.0,203382,Aron Baynes,2.0,1.0,0.0,6.0,,DET,Detroit,1610612765
9,0.0,0.0,,0021500976,0:42,0.0,0.0,0.0,0.0,0.0,0.0,201229,Anthony Tolliver,0.0,0.0,0.0,0.0,,DET,Detroit,1610612765
10,,,DNP - Coach's Decision                  ,0021500976,,,,,,,,201202,Joel Anthony,,,,,,DET,Detroit,1610612765
11,,,DNP - Coach's Decision                  ,0021500976,,,,,,,,1626199,Darrun Hilliard,,,,,,DET,Detroit,1610612765
12,,,DNP - Coach's Decision                  ,0021500976,,,,,,,,201975,Jodie Meeks,,,,,,DET,Detroit,1610612765
13,0.0,0.0,,0021500976,34:30,12.0,7.0,5.0,46.0,2.0,0.0,203138,Hollis Thompson,0.0,3.0,3.0,0.0,F,PHI,Philadelphia,1610612755
14,0.0,0.0,,0021500976,24:35,10.0,13.0,9.0,36.0,2.0,3.0,201171,Carl Landry,4.0,2.0,2.0,8.0,F,PHI,Philadelphia,1610612755
15,1.0,1.0,,0021500976,37:17,12.0,19.0,13.0,46.0,2.0,4.0,203457,Nerlens Noel,1.0,0.0,2.0,4.0,C,PHI,Philadelphia,1610612755
16,0.0,1.0,,0021500976,32:36,12.0,20.0,16.0,46.0,2.0,4.0,203477,Isaiah Canaan,3.0,7.0,3.0,2.0,G,PHI,Philadelphia,1610612755
17,0.0,0.0,,0021500976,30:37,6.0,11.0,9.0,32.0,2.0,2.0,202397,Ish Smith,0.0,0.0,0.0,8.0,G,PHI,Philadelphia,1610612755
18,1.0,0.0,,0021500976,14:50,2.0,8.0,5.0,16.0,1.0,2.0,1882,Elton Brand,0.0,2.0,6.0,8.0,,PHI,Philadelphia,1610612755
19,0.0,0.0,,0021500976,26:11,10.0,16.0,13.0,40.0,2.0,3.0,203917,Nik Stauskas,0.0,2.0,2.0,8.0,,PHI,Philadelphia,1610612755
20,0.0,0.0,,0021500976,14:13,2.0,6.0,3.0,18.0,1.0,1.0,203088,Kendall Marshall,0.0,0.0,0.0,0.0,,PHI,Philadelphia,1610612755
21,0.0,0.0,,0021500976,17:23,10.0,12.0,7.0,32.0,0.0,1.0,204456,TJ McConnell,0.0,2.0,4.0,2.0,,PHI,Philadelphia,1610612755
22,0.0,1.0,,0021500976,7:48,4.0,3.0,0.0,8.0,2.0,0.0,201603,Sonny Weems,0.0,0.0,0.0,0.0,,PHI,Philadelphia,1610612755
23,,,DND - Concussion Protocol               ,0021500976,,,,,,,,203496,Robert Covington,,,,,,PHI,Philadelphia,1610612755
24,,,DND - Concussion Protocol               ,0021500976,,,,,,,,203924,Jerami Grant,,,,,,PHI,Philadelphia,1610612755
25,,,DND - Right Achilles Strain             ,0021500976,,,,,,,,1626158,Richaun Holmes,,,,,,PHI,Philadelphia,1610612755
