,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,1,5,2,0.4,,5,3,0.6,2.25,9,0.667,0,0021500976,32:59,1,47,202699,Tobias Harris,10,1,4.09,F,64,DET,Detroit,1610612765,7,6,0.857
1,4,7,2,0.286,,1,0,0.0,2.74,9,0.467,0,0021500976,39:31,1,32,202694,Marcus Morris,10,2,4.16,F,49,DET,Detroit,1610612765,8,5,0.625
2,1,10,6,0.6,,9,5,0.556,2.36,16,0.667,0,0021500976,34:46,7,36,203083,Andre Drummond,23,0,4.07,C,51,DET,Detroit,1610612765,2,2,1.0
3,6,12,6,0.5,,1,1,1.0,2.96,2,0.429,0,0021500976,40:14,3,20,203484,Kentavious Caldwell-Pope,5,0,4.42,G,46,DET,Detroit,1610612765,9,3,0.333
4,10,6,4,0.667,,2,1,0.5,2.14,3,0.727,0,0021500976,30:14,2,49,202704,Reggie Jackson,5,0,4.25,G,67,DET,Detroit,1610612765,5,4,0.8
5,2,2,2,1.0,,3,1,0.333,1.35,2,0.4,1,0021500976,17:46,0,27,2581,Steve Blake,2,2,4.56,,36,DET,Detroit,1610612765,3,0,0.0
6,1,1,0,0.0,,1,0,0.0,1.04,6,0.0,1,0021500976,13:45,2,11,1626169,Stanley Johnson,8,0,4.54,,14,DET,Detroit,1610612765,1,0,0.0
7,1,5,3,0.6,,1,0,0.0,1.3,3,0.571,0,0021500976,16:49,1,17,203493,Reggie Bullock,4,0,4.64,,25,DET,Detroit,1610612765,2,1,0.5
8,0,4,2,0.5,,4,0,0.0,0.93,7,0.5,0,0021500976,13:14,8,6,203382,Aron Baynes,15,0,4.23,,13,DET,Detroit,1610612765,2,1,0.5
9,0,0,0,0.0,,0,0,0.0,0.05,0,0.0,0,0021500976,0:42,0,0,201229,Anthony Tolliver,0,0,4.28,,0,DET,Detroit,1610612765,0,0,0.0
10,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500976,0:00,0,0,201202,Joel Anthony,0,0,0.0,,0,DET,Detroit,1610612765,0,0,0.0
11,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500976,0:00,0,0,1626199,Darrun Hilliard,0,0,0.0,,0,DET,Detroit,1610612765,0,0,0.0
12,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500976,0:00,0,0,201975,Jodie Meeks,0,0,0.0,,0,DET,Detroit,1610612765,0,0,0.0
13,3,3,0,0.0,,2,1,0.5,2.41,6,0.143,1,0021500976,34:30,2,30,203138,Hollis Thompson,8,0,4.19,F,38,PHI,Philadelphia,1610612755,4,1,0.25
14,1,5,3,0.6,,5,4,0.8,1.71,6,0.538,0,0021500976,24:35,4,29,201171,Carl Landry,10,0,4.18,F,46,PHI,Philadelphia,1610612755,8,4,0.5
15,4,5,1,0.2,,13,8,0.615,2.51,12,0.429,0,0021500976,37:17,9,59,203457,Nerlens Noel,21,0,4.04,C,74,PHI,Philadelphia,1610612755,2,2,1.0
16,1,4,3,0.75,,2,1,0.5,2.23,3,0.625,0,0021500976,32:36,0,36,203477,Isaiah Canaan,3,0,4.11,G,49,PHI,Philadelphia,1610612755,4,2,0.5
17,2,7,2,0.286,,0,0,0.0,2.31,7,0.429,2,0021500976,30:37,0,75,202397,Ish Smith,7,1,4.53,G,99,PHI,Philadelphia,1610612755,7,4,0.571
18,3,0,0,0.0,,0,0,0.0,0.0,0,0.556,0,0021500976,14:50,0,0,1882,Elton Brand,0,0,0.0,,0,PHI,Philadelphia,1610612755,0,0,0.0
19,4,5,4,0.8,,0,0,0.0,1.98,3,0.5,0,0021500976,26:11,0,36,203917,Nik Stauskas,3,0,4.53,,47,PHI,Philadelphia,1610612755,5,1,0.2
20,3,2,2,1.0,,1,0,0.0,1.03,2,0.6,0,0021500976,14:13,1,20,203088,Kendall Marshall,3,0,4.34,,26,PHI,Philadelphia,1610612755,3,1,0.333
21,3,3,2,0.667,,2,1,0.5,1.45,3,0.5,0,0021500976,17:23,0,43,204456,TJ McConnell,3,0,5.0,,52,PHI,Philadelphia,1610612755,3,1,0.333
22,0,4,1,0.25,,1,0,0.0,0.63,4,0.2,0,0021500976,7:48,1,8,201603,Sonny Weems,5,0,4.86,,14,PHI,Philadelphia,1610612755,1,0,0.0
23,0,0,0,0.0,DND - Concussion Protocol               ,0,0,0.0,0.0,0,0.0,0,0021500976,0:00,0,0,203496,Robert Covington,0,0,0.0,,0,PHI,Philadelphia,1610612755,0,0,0.0
24,0,0,0,0.0,DND - Concussion Protocol               ,0,0,0.0,0.0,0,0.0,0,0021500976,0:00,0,0,203924,Jerami Grant,0,0,0.0,,0,PHI,Philadelphia,1610612755,0,0,0.0
25,0,0,0,0.0,DND - Right Achilles Strain             ,0,0,0.0,0.0,0,0.0,0,0021500976,0:00,0,0,1626158,Richaun Holmes,0,0,0.0,,0,PHI,Philadelphia,1610612755,0,0,0.0
