,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,1.0,0.0,,7.0,3.0,2.0,0.667,12.0,8.0,0.667,3.0,3.0,1.0,0021500976,32:59,1.0,3.0,202699,Tobias Harris,13.0,21.0,8.0,F,0.0,DET,Detroit,1610612765,3.0
1,4.0,1.0,,7.0,4.0,3.0,0.75,15.0,7.0,0.467,2.0,2.0,1.0,0021500976,39:31,0.0,3.0,202694,Marcus Morris,13.0,19.0,7.0,F,0.0,DET,Detroit,1610612765,0.0
2,1.0,0.0,,12.0,0.0,0.0,0.0,12.0,8.0,0.667,4.0,3.0,0.75,0021500976,34:46,3.0,4.0,203083,Andre Drummond,7.0,19.0,15.0,C,1.0,DET,Detroit,1610612765,2.0
3,6.0,0.0,,2.0,4.0,1.0,0.25,21.0,9.0,0.429,5.0,4.0,0.8,0021500976,40:14,2.0,2.0,203484,Kentavious Caldwell-Pope,18.0,23.0,4.0,G,2.0,DET,Detroit,1610612765,3.0
4,10.0,0.0,,2.0,4.0,3.0,0.75,11.0,8.0,0.727,6.0,5.0,0.833,0021500976,30:14,1.0,4.0,202704,Reggie Jackson,16.0,24.0,3.0,G,1.0,DET,Detroit,1610612765,2.0
5,2.0,0.0,,0.0,2.0,0.0,0.0,5.0,2.0,0.4,0.0,0.0,0.0,0021500976,17:46,0.0,3.0,2581,Steve Blake,-2.0,4.0,0.0,,2.0,DET,Detroit,1610612765,2.0
6,1.0,0.0,,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0021500976,13:45,1.0,0.0,1626169,Stanley Johnson,-9.0,0.0,5.0,,0.0,DET,Detroit,1610612765,1.0
7,1.0,0.0,,2.0,1.0,0.0,0.0,7.0,4.0,0.571,0.0,0.0,0.0,0021500976,16:49,1.0,1.0,203493,Reggie Bullock,5.0,8.0,3.0,,0.0,DET,Detroit,1610612765,0.0
8,0.0,2.0,,4.0,0.0,0.0,0.0,6.0,3.0,0.5,2.0,1.0,0.5,0021500976,13:14,3.0,0.0,203382,Aron Baynes,7.0,7.0,7.0,,0.0,DET,Detroit,1610612765,0.0
9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0021500976,0:42,0.0,0.0,201229,Anthony Tolliver,2.0,0.0,0.0,,0.0,DET,Detroit,1610612765,0.0
