,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021500976,32:59,0.056,0.0,0.0,0.269,0.273,0.286,0.211,0.235,0.188,0.214,0.167,0.214,0.182,0.236,0.25,0.0,0.3,202699,Tobias Harris,F,DET,Detroit,1610612765,0.22
1,,0021500976,39:31,0.16,0.333,0.0,0.194,0.25,0.429,0.2,0.179,0.125,0.154,0.0,0.2,0.167,0.194,0.156,0.0,0.0,202694,Marcus Morris,F,DET,Detroit,1610612765,0.173
2,,0021500976,34:46,0.053,0.0,0.0,0.444,0.0,0.0,0.197,0.222,0.222,0.2,0.429,0.25,0.167,0.202,0.441,0.333,0.2,203083,Andre Drummond,C,DET,Detroit,1610612765,0.2
3,,0021500976,40:14,0.261,0.0,0.5,0.059,0.286,0.111,0.28,0.205,0.278,0.267,0.25,0.111,0.308,0.205,0.095,0.333,0.273,203484,Kentavious Caldwell-Pope,G,DET,Detroit,1610612765,0.279
4,,0021500976,30:14,0.526,0.0,0.0,0.077,0.333,0.429,0.196,0.258,0.429,0.417,0.167,0.308,0.444,0.296,0.094,0.5,0.286,202704,Reggie Jackson,G,DET,Detroit,1610612765,0.226
5,,0021500976,17:46,0.286,0.0,0.0,0.0,0.333,0.0,0.143,0.111,0.0,0.0,0.0,0.429,0.0,0.091,0.0,0.5,0.333,2581,Steve Blake,,DET,Detroit,1610612765,0.157
6,,0021500976,13:45,0.25,0.0,1.0,0.364,0.0,0.0,0.074,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.294,0.0,0.2,1626169,Stanley Johnson,,DET,Detroit,1610612765,0.083
7,,0021500976,16:49,0.125,0.0,0.0,0.167,0.125,0.0,0.194,0.211,0.0,0.0,0.167,0.111,0.167,0.174,0.167,0.0,0.0,203493,Reggie Bullock,,DET,Detroit,1610612765,0.166
8,,0021500976,13:14,0.0,0.667,0.0,0.308,0.0,0.0,0.2,0.231,0.5,0.333,0.6,0.0,0.25,0.226,0.389,0.0,0.0,203382,Aron Baynes,,DET,Detroit,1610612765,0.198
9,,0021500976,0:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201229,Anthony Tolliver,,DET,Detroit,1610612765,0.0
10,DNP - Coach's Decision                  ,0021500976,,,,,,,,,,,,,,,,,,,201202,Joel Anthony,,DET,Detroit,1610612765,0.0
11,DNP - Coach's Decision                  ,0021500976,,,,,,,,,,,,,,,,,,,1626199,Darrun Hilliard,,DET,Detroit,1610612765,0.0
