,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.639,0.246,0021500855,33:36,0.469,0.262,0.226,0.132,0.185,203084,Harrison Barnes,F,GSW,Golden State,1610612744,0.149
1,,0.705,0.18,0021500855,31:52,0.579,0.317,0.214,0.143,0.222,203110,Draymond Green,F,GSW,Golden State,1610612744,0.19
2,,0.716,0.27,0021500855,21:49,0.625,0.35,0.25,0.142,0.2,101106,Andrew Bogut,C,GSW,Golden State,1610612744,0.207
3,,0.692,0.231,0021500855,29:08,0.574,0.315,0.292,0.155,0.217,202691,Klay Thompson,G,GSW,Golden State,1610612744,0.174
4,,0.708,0.185,0021500855,34:02,0.545,0.299,0.194,0.147,0.214,201939,Stephen Curry,G,GSW,Golden State,1610612744,0.199
5,,0.622,0.163,0021500855,26:17,0.43,0.3,0.24,0.151,0.19,2738,Andre Iguodala,,GSW,Golden State,1610612744,0.198
6,,0.769,0.077,0021500855,13:46,0.429,0.214,0.063,0.119,0.2,2760,Anderson Varejao,,GSW,Golden State,1610612744,0.266
7,,0.636,0.121,0021500855,16:50,0.406,0.344,0.063,0.122,0.154,2571,Leandro Barbosa,,GSW,Golden State,1610612744,0.196
8,,0.595,0.095,0021500855,11:30,0.441,0.471,0.0,0.128,0.25,201578,Marreese Speights,,GSW,Golden State,1610612744,0.168
9,,0.596,0.154,0021500855,15:04,0.477,0.545,0.222,0.137,0.2,2733,Shaun Livingston,,GSW,Golden State,1610612744,0.134
10,,0.833,0.0,0021500855,2:02,0.5,0.0,0.0,0.0,1.0,201575,Brandon Rush,,GSW,Golden State,1610612744,0.5
11,,0.833,0.0,0021500855,2:02,0.5,0.0,0.0,0.0,1.0,1626172,Kevon Looney,,GSW,Golden State,1610612744,0.5
12,,0.833,0.0,0021500855,2:02,0.5,0.0,0.0,0.0,1.0,203546,Ian Clark,,GSW,Golden State,1610612744,0.5
13,,0.513,0.303,0021500855,38:37,0.688,0.217,0.214,0.196,0.235,203095,Evan Fournier,F,ORL,Orlando,1610612753,0.113
14,,0.557,0.262,0021500855,30:14,0.698,0.245,0.217,0.195,0.296,203932,Aaron Gordon,F,ORL,Orlando,1610612753,0.13
15,,0.549,0.279,0021500855,31:32,0.658,0.211,0.231,0.199,0.25,202696,Nikola Vucevic,C,ORL,Orlando,1610612753,0.152
16,,0.543,0.293,0021500855,30:03,0.647,0.138,0.231,0.19,0.185,203506,Victor Oladipo,G,ORL,Orlando,1610612753,0.13
17,,0.508,0.217,0021500855,28:53,0.717,0.208,0.136,0.192,0.241,203901,Elfrid Payton,G,ORL,Orlando,1610612753,0.146
18,,0.385,0.5,0021500855,15:58,0.656,0.125,0.182,0.201,0.077,101141,Ersan Ilyasova,,ORL,Orlando,1610612753,0.186
19,,0.385,0.423,0021500855,15:09,0.552,0.103,0.214,0.204,0.071,1626209,Mario Hezonja,,ORL,Orlando,1610612753,0.144
20,,0.381,0.238,0021500855,12:10,0.636,0.045,0.222,0.197,0.0,201943,Brandon Jennings,,ORL,Orlando,1610612753,0.147
21,,0.344,0.5,0021500855,10:38,0.614,0.136,0.125,0.118,0.0,201160,Jason Smith,,ORL,Orlando,1610612753,0.133
22,,0.69,0.667,0021500855,15:19,0.759,0.37,0.333,0.174,0.429,201228,CJ Watson,,ORL,Orlando,1610612753,0.225
23,,0.563,0.125,0021500855,3:49,0.833,0.0,0.333,0.286,0.0,203473,Dewayne Dedmon,,ORL,Orlando,1610612753,0.0
24,,0.563,0.125,0021500855,3:49,0.833,0.0,0.333,0.286,0.0,203906,Devyn Marble,,ORL,Orlando,1610612753,0.0
25,,0.563,0.125,0021500855,3:49,0.833,0.0,0.333,0.286,0.0,203094,Andrew Nicholson,,ORL,Orlando,1610612753,0.0
