,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0,2,,0021500855,33:36,12,8,7,30,1,3,203084,Harrison Barnes,0,0,2,4,F,GSW,Golden State,1610612744
1,0,1,,0021500855,31:52,10,8,15,38,3,5,203110,Draymond Green,1,4,1,8,F,GSW,Golden State,1610612744
2,2,0,,0021500855,21:49,10,6,12,24,5,1,101106,Andrew Bogut,4,0,2,12,C,GSW,Golden State,1610612744
3,1,0,,0021500855,29:08,12,6,12,30,1,0,202691,Klay Thompson,0,7,2,6,G,GSW,Golden State,1610612744
4,1,0,,0021500855,34:02,10,8,15,38,1,3,201939,Stephen Curry,0,19,9,14,G,GSW,Golden State,1610612744
5,0,0,,0021500855,26:17,8,4,12,24,1,1,2738,Andre Iguodala,0,0,0,2,,GSW,Golden State,1610612744
6,0,0,,0021500855,13:46,2,4,9,16,4,1,2760,Anderson Varejao,0,2,0,4,,GSW,Golden State,1610612744
7,0,0,,0021500855,16:50,2,4,5,16,1,0,2571,Leandro Barbosa,0,2,2,6,,GSW,Golden State,1610612744
8,0,0,,0021500855,11:30,0,4,4,6,2,2,201578,Marreese Speights,2,2,0,0,,GSW,Golden State,1610612744
9,0,0,,0021500855,15:04,4,2,2,12,2,1,2733,Shaun Livingston,0,0,0,0,,GSW,Golden State,1610612744
10,0,0,,0021500855,2:02,0,2,4,2,0,0,201575,Brandon Rush,0,0,0,0,,GSW,Golden State,1610612744
11,0,1,,0021500855,2:02,0,2,4,2,0,0,1626172,Kevon Looney,2,0,0,2,,GSW,Golden State,1610612744
12,0,0,,0021500855,2:02,0,2,4,2,0,0,203546,Ian Clark,0,0,0,0,,GSW,Golden State,1610612744
13,0,1,,0021500855,38:37,7,32,14,44,1,6,203095,Evan Fournier,0,0,8,6,F,ORL,Orlando,1610612753
14,1,0,,0021500855,30:14,5,25,12,38,1,0,203932,Aaron Gordon,6,2,7,16,F,ORL,Orlando,1610612753
15,2,0,,0021500855,31:32,5,24,11,40,4,3,202696,Nikola Vucevic,6,3,2,6,C,ORL,Orlando,1610612753
16,0,1,,0021500855,30:03,5,26,10,40,3,3,203506,Victor Oladipo,0,3,0,6,G,ORL,Orlando,1610612753
17,0,2,,0021500855,28:53,2,32,12,38,2,1,203901,Elfrid Payton,0,0,0,6,G,ORL,Orlando,1610612753
18,0,0,,0021500855,15:58,2,14,9,20,1,4,101141,Ersan Ilyasova,2,0,0,2,,ORL,Orlando,1610612753
19,0,0,,0021500855,15:09,4,4,4,16,0,0,1626209,Mario Hezonja,0,0,0,0,,ORL,Orlando,1610612753
20,0,0,,0021500855,12:10,4,4,4,12,1,0,201943,Brandon Jennings,0,2,2,2,,ORL,Orlando,1610612753
21,0,0,,0021500855,10:38,2,9,4,10,2,1,201160,Jason Smith,0,2,0,0,,ORL,Orlando,1610612753
22,0,0,,0021500855,15:19,3,10,10,20,2,2,201228,CJ Watson,0,0,0,2,,ORL,Orlando,1610612753
23,0,0,,0021500855,3:49,2,0,0,4,0,0,203473,Dewayne Dedmon,0,0,2,0,,ORL,Orlando,1610612753
24,0,0,,0021500855,3:49,2,0,0,4,0,0,203906,Devyn Marble,0,0,0,0,,ORL,Orlando,1610612753
25,1,0,,0021500855,3:49,2,0,0,4,0,1,203094,Andrew Nicholson,0,0,0,2,,ORL,Orlando,1610612753
