,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,557.2545,164.13678,-164.13678,314.0889,672.75816,442.76403,0.084,-173.25549,304.97019,0.052,-225.94137,-159.07083,0.007,82,,,Overall,2015-16,9,3976.0,-122.59599,74.97606,-74.97606,893.63358,893.63358,191.49291,-21.27699,GSW,1610612744.0,Golden State Warriors,60.7914,73,0.89
0,78.01563,27.35613,-27.35613,48.63312,172.2423,75.98925,0.036,-14.18466,48.63312,0.052,-44.58036,-15.19785,0.107,49,203084 - 101106 - 201939 - 203110 - 202691,"Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Green,Draymond - Thompson,Klay",Lineups,,5,552.098333333,-8.10552,14.18466,-14.18466,158.05764,158.05764,40.5276,-27.35613,,,,27.35613,44,0.898
1,55.72545,26.34294,-26.34294,35.46165,75.98925,51.67269,0.147,-39.51441,28.36932,0.096,-28.36932,-25.32975,-0.044,31,101106 - 201939 - 203110 - 201575 - 202691,"Bogut,Andrew - Curry,Stephen - Green,Draymond - Rush,Brandon - Thompson,Klay",Lineups,,4,253.605,-31.40889,14.18466,-14.18466,83.08158,83.08158,4.05276,-12.15828,,,,10.1319,27,0.871
2,49.64631,13.17147,-13.17147,47.61993,47.61993,51.67269,0.267,-30.3957,53.69907,0.212,7.09233,9.11871,0.03,37,203084 - 201939 - 203110 - 2738 - 202691,"Barnes,Harrison - Curry,Stephen - Green,Draymond - Iguodala,Andre - Thompson,Klay",Lineups,,2,172.085,-21.27699,-20.2638,20.2638,168.18954,168.18954,26.34294,4.05276,,,,-7.09233,35,0.946
3,41.54079,19.25061,-19.25061,28.36932,55.72545,36.47484,0.122,-36.47484,27.35613,0.159,9.11871,8.10552,0.025,46,101106 - 201939 - 203110 - 2738 - 202691,"Bogut,Andrew - Curry,Stephen - Green,Draymond - Iguodala,Andre - Thompson,Klay",Lineups,,4,156.24,-28.36932,-4.05276,4.05276,99.29262,99.29262,0.0,0.0,,,,1.01319,42,0.913
4,16.21104,0.0,0.0,5.06595,41.54079,15.19785,-0.042,2.02638,5.06595,0.016,-1.01319,-3.03957,-0.044,16,203084 - 201939 - 203105 - 203110 - 202691,"Barnes,Harrison - Curry,Stephen - Ezeli,Festus - Green,Draymond - Thompson,Klay",Lineups,,1,141.54,-9.11871,-4.05276,4.05276,22.29018,22.29018,-4.05276,8.10552,,,,1.01319,15,0.938
5,30.3957,9.11871,-9.11871,27.35613,24.31656,18.23742,0.115,-16.21104,22.29018,0.128,24.31656,17.22423,-0.01,34,201939 - 203105 - 203110 - 2738 - 202691,"Curry,Stephen - Ezeli,Festus - Green,Draymond - Iguodala,Andre - Thompson,Klay",Lineups,,2,125.771666667,-5.06595,-26.34294,26.34294,80.04201,80.04201,22.29018,-1.01319,,,,-4.05276,32,0.941
6,12.15828,11.14509,-11.14509,20.2638,23.30337,8.10552,0.004,-13.17147,9.11871,0.095,9.11871,15.19785,0.148,29,203084 - 201939 - 203110 - 2733 - 202691,"Barnes,Harrison - Curry,Stephen - Green,Draymond - Livingston,Shaun - Thompson,Klay",Lineups,,5,87.4,-5.06595,-6.07914,6.07914,41.54079,41.54079,15.19785,-4.05276,,,,4.05276,24,0.828
7,-5.06595,-1.01319,1.01319,-3.03957,-7.09233,-8.10552,-0.238,-1.01319,-8.10552,-0.05,9.11871,12.15828,0.111,25,2571 - 203084 - 2738 - 2733 - 201578,"Barbosa,Leandro - Barnes,Harrison - Iguodala,Andre - Livingston,Shaun - Speights,Marreese",Lineups,,2,87.385,1.01319,1.01319,-1.01319,-12.15828,-12.15828,-2.02638,7.09233,,,,-6.07914,23,0.92
8,17.22423,1.01319,-1.01319,23.30337,10.1319,18.23742,0.383,-16.21104,9.11871,0.115,34.44846,32.42208,0.192,20,201939 - 203105 - 203110 - 2738 - 2733,"Curry,Stephen - Ezeli,Festus - Green,Draymond - Iguodala,Andre - Livingston,Shaun",Lineups,,2,75.9766666667,13.17147,-16.21104,16.21104,68.89692,68.89692,36.47484,0.0,,,,2.02638,18,0.9
