,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,557.2545,164.13678,-164.13678,,314.0889,672.75816,442.76403,0.084,-173.25549,304.97019,0.052,-225.94137,-159.07083,0.007,82,Overall,2015-16,9,3976.0,-122.59599,74.97606,-74.97606,893.63358,893.63358,191.49291,-21.27699,GSW,1610612744,Golden State Warriors,60.7914,,,73,0.89
0,82.06839,40.5276,-40.5276,On,20.2638,49.64631,33.43527,0.026,34.44846,32.42208,0.008,-58.76502,-55.72545,-0.021,68,On/Off Court,,8,1079.155,32.42208,58.76502,-58.76502,42.55398,42.55398,52.68588,18.23742,GSW,1610612744,Golden State Warriors,-3.03957,2571.0,"Barbosa, Leandro",60,0.882
1,260.38983,77.00244,-77.00244,On,79.02882,431.61894,253.2975,0.08,18.23742,156.03126,0.039,-201.62481,-106.38495,0.052,66,On/Off Court,,7,2041.57666667,-67.88373,80.04201,-80.04201,458.97507,458.97507,11.14509,1.01319,GSW,1610612744,Golden State Warriors,5.06595,203084.0,"Barnes, Harrison",59,0.894
2,246.20517,95.23986,-95.23986,On,134.75427,356.64288,209.73033,0.087,-66.87054,156.03126,0.069,-173.25549,-119.55642,0.02,70,On/Off Court,,8,1451.26,-55.72545,83.08158,-83.08158,402.23643,402.23643,79.02882,-37.48803,GSW,1610612744,Golden State Warriors,52.68588,101106.0,"Bogut, Andrew",62,0.886
3,42.55398,21.27699,-21.27699,On,14.18466,26.34294,25.32975,0.05,-38.50122,-9.11871,0.008,-102.33219,-88.14753,-0.041,66,On/Off Court,,7,578.496666667,-25.32975,57.75183,-57.75183,-81.0552,-81.0552,-11.14509,-32.42208,GSW,1610612744,Golden State Warriors,40.5276,203546.0,"Clark, Ian",59,0.894
4,466.0674,122.59599,-122.59599,On,340.43184,668.7054,428.57937,0.104,-149.95212,320.16804,0.077,-75.98925,-33.43527,0.018,79,On/Off Court,,8,2700.025,-95.23986,-26.34294,26.34294,1035.48018,1035.48018,245.19198,-7.09233,GSW,1610612744,Golden State Warriors,41.54079,201939.0,"Curry, Stephen",71,0.899
5,96.25305,28.36932,-28.36932,On,108.41133,138.80703,87.13434,0.091,-54.71226,47.61993,0.052,70.9233,43.56717,-0.026,46,On/Off Court,,4,770.188333333,9.11871,-50.6595,50.6595,225.94137,225.94137,117.53004,-9.11871,GSW,1610612744,Golden State Warriors,22.29018,203105.0,"Ezeli, Festus",42,0.913
6,524.83242,136.78065,-136.78065,On,357.65607,622.09866,408.31557,0.1,-176.29506,347.52417,0.082,-38.50122,-19.25061,0.008,81,On/Off Court,,8,2807.99833333,-107.39814,-38.50122,38.50122,1084.1133,1084.1133,250.25793,7.09233,GSW,1610612744,Golden State Warriors,16.21104,203110.0,"Green, Draymond",73,0.901
7,254.31069,66.87054,-66.87054,On,111.4509,223.91499,180.34782,0.104,-60.7914,152.99169,0.057,-28.36932,-22.29018,-0.001,65,On/Off Court,,6,1731.65833333,-32.42208,-21.27699,21.27699,464.04102,464.04102,79.02882,24.31656,GSW,1610612744,Golden State Warriors,-26.34294,2738.0,"Iguodala, Andre",59,0.908
8,163.12359,57.75183,-57.75183,On,80.04201,90.17391,90.17391,0.077,-36.47484,84.09477,0.037,-101.319,-47.61993,0.041,78,On/Off Court,,9,1519.53333333,-20.2638,69.91011,-69.91011,210.74352,210.74352,59.77821,23.30337,GSW,1610612744,Golden State Warriors,4.05276,2733.0,"Livingston, Shaun",69,0.885
9,-3.03957,-2.02638,2.02638,On,-6.07914,0.0,-7.09233,-0.412,-5.06595,-12.15828,-0.236,12.15828,9.11871,0.0,5,On/Off Court,,1,20.5983333333,3.03957,-6.07914,6.07914,-22.29018,-22.29018,-3.03957,-1.01319,GSW,1610612744,Golden State Warriors,0.0,1626172.0,"Looney, Kevon",4,0.8
10,15.19785,-22.29018,22.29018,On,-16.21104,-9.11871,-2.02638,0.011,19.25061,-16.21104,-0.056,-54.71226,-54.71226,-0.095,41,On/Off Court,,4,261.525,20.2638,33.43527,-33.43527,-89.16072,-89.16072,4.05276,-17.22423,GSW,1610612744,Golden State Warriors,23.30337,203949.0,"McAdoo, James Michael",37,0.902
11,118.54323,41.54079,-41.54079,On,52.68588,149.95212,80.04201,0.038,-104.35857,4.05276,0.027,-120.56961,-121.5828,-0.058,72,On/Off Court,,9,1054.74166667,-73.96287,60.7914,-60.7914,-33.43527,-33.43527,-21.27699,-20.2638,GSW,1610612744,Golden State Warriors,48.63312,201575.0,"Rush, Brandon",63,0.875
12,55.72545,23.30337,-23.30337,On,9.11871,8.10552,30.3957,0.069,-31.40889,5.06595,0.013,-50.6595,-30.3957,0.022,72,On/Off Court,,8,832.45,-23.30337,31.40889,-31.40889,10.1319,10.1319,-14.18466,-7.09233,GSW,1610612744,Golden State Warriors,12.15828,201578.0,"Speights, Marreese",64,0.889
13,0.0,-6.07914,6.07914,On,8.10552,0.0,-8.10552,-0.082,-15.19785,-12.15828,-0.016,-33.43527,-26.34294,-0.023,28,On/Off Court,,4,178.963333333,-8.10552,23.30337,-23.30337,-58.76502,-58.76502,0.0,-20.2638,GSW,1610612744,Golden State Warriors,11.14509,201574.0,"Thompson, Jason",24,0.857
14,458.97507,140.83341,-140.83341,On,284.70639,588.66339,391.09134,0.105,-199.59843,277.61406,0.075,-150.96531,-99.29262,0.013,80,On/Off Court,,9,2666.08166667,-167.17635,14.18466,-14.18466,847.02684,847.02684,117.53004,-27.35613,GSW,1610612744,Golden State Warriors,45.59355,202691.0,"Thompson, Klay",71,0.888
15,5.06595,-1.01319,1.01319,On,-8.10552,18.23742,13.17147,0.055,1.01319,-9.11871,-0.028,-22.29018,-23.30337,-0.072,22,On/Off Court,,3,185.748333333,-1.01319,5.06595,-5.06595,-28.36932,-28.36932,-9.11871,-1.01319,GSW,1610612744,Golden State Warriors,10.1319,2760.0,"Varejao, Anderson",19,0.864
0,475.18611,123.60918,-123.60918,Off,293.8251,623.11185,409.32876,0.103,-207.70395,272.54811,0.069,-167.17635,-103.34538,0.018,82,On/Off Court,,9,2896.845,-155.01807,16.21104,-16.21104,851.0796,851.0796,138.80703,-39.51441,GSW,1610612744,Golden State Warriors,63.83097,2571.0,"Barbosa, Leandro",73,0.89
1,296.86467,87.13434,-87.13434,Off,235.06008,241.13922,189.46653,0.088,-191.49291,148.93893,0.066,-24.31656,-52.68588,-0.034,82,On/Off Court,,9,1934.42333333,-54.71226,-5.06595,5.06595,434.65851,434.65851,180.34782,-22.29018,GSW,1610612744,Golden State Warriors,55.72545,203084.0,"Barnes, Harrison",73,0.89
2,311.04933,68.89692,-68.89692,Off,179.33463,316.11528,233.0337,0.081,-106.38495,148.93893,0.043,-52.68588,-39.51441,0.0,82,On/Off Court,,9,2524.74,-66.87054,-8.10552,8.10552,491.39715,491.39715,112.46409,16.21104,GSW,1610612744,Golden State Warriors,8.10552,101106.0,"Bogut, Andrew",73,0.89
3,514.70052,142.85979,-142.85979,Off,299.90424,646.41522,417.43428,0.089,-134.75427,314.0889,0.06,-123.60918,-70.9233,0.014,82,On/Off Court,,9,3397.50333333,-97.26624,17.22423,-17.22423,974.68878,974.68878,202.638,11.14509,GSW,1610612744,Golden State Warriors,20.2638,203546.0,"Clark, Ian",73,0.89
4,91.1871,41.54079,-41.54079,Off,-26.34294,4.05276,14.18466,0.022,-23.30337,-15.19785,-0.002,-149.95212,-125.63556,-0.019,82,On/Off Court,,9,1275.975,-27.35613,101.319,-101.319,-141.8466,-141.8466,-53.69907,-14.18466,GSW,1610612744,Golden State Warriors,19.25061,201939.0,"Curry, Stephen",73,0.89
5,461.00145,135.76746,-135.76746,Off,205.67757,533.95113,355.62969,0.082,-118.54323,257.35026,0.053,-296.86467,-202.638,0.015,82,On/Off Court,,9,3205.81166667,-131.7147,125.63556,-125.63556,667.69221,667.69221,73.96287,-12.15828,GSW,1610612744,Golden State Warriors,38.50122,203105.0,"Ezeli, Festus",73,0.89
6,32.42208,27.35613,-27.35613,Off,-43.56717,50.6595,34.44846,0.029,3.03957,-42.55398,-0.021,-187.44015,-139.82022,0.002,82,On/Off Court,,9,1168.00166667,-15.19785,113.47728,-113.47728,-190.47972,-190.47972,-58.76502,-28.36932,GSW,1610612744,Golden State Warriors,44.58036,203110.0,"Green, Draymond",73,0.89
7,302.94381,97.26624,-97.26624,Off,202.638,448.84317,262.41621,0.069,-112.46409,151.9785,0.049,-197.57205,-136.78065,0.015,82,On/Off Court,,9,2244.34166667,-90.17391,96.25305,-96.25305,429.59256,429.59256,112.46409,-45.59355,GSW,1610612744,Golden State Warriors,87.13434,2738.0,"Iguodala, Andre",73,0.89
8,394.13091,106.38495,-106.38495,Off,234.04689,582.58425,352.59012,0.084,-136.78065,220.87542,0.062,-124.62237,-111.4509,-0.015,82,On/Off Court,,9,2456.46666667,-102.33219,5.06595,-5.06595,682.89006,682.89006,131.7147,-44.58036,GSW,1610612744,Golden State Warriors,56.73864,2733.0,"Livingston, Shaun",73,0.89
9,560.29407,166.16316,-166.16316,Off,320.16804,672.75816,449.85636,0.088,-168.18954,317.12847,0.054,-238.09965,-168.18954,0.007,82,On/Off Court,,9,3955.40166667,-125.63556,81.0552,-81.0552,915.92376,915.92376,194.53248,-20.2638,GSW,1610612744,Golden State Warriors,60.7914,1626172.0,"Looney, Kevon",73,0.89
10,542.05665,186.42696,-186.42696,Off,330.29994,681.87687,444.79041,0.089,-192.5061,321.18123,0.06,-171.22911,-104.35857,0.015,82,On/Off Court,,9,3714.475,-142.85979,41.54079,-41.54079,982.7943,982.7943,187.44015,-4.05276,GSW,1610612744,Golden State Warriors,37.48803,203949.0,"McAdoo, James Michael",73,0.89
