,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,336,170,2015-16,0.563,2592,1077,0.416,7159,3489,0.487,Overall,2015-16,0.626,0.801,0.68,0.374,0.199,0.32
0,248,171,Less Than 5 ft.,0.617,0,0,0.0,2478,1530,0.617,Shot Distance (5ft),Less Than 5 ft.,0.669,0.0,0.669,0.331,0.0,0.331
1,53,171,5-9 ft.,0.377,0,0,0.0,567,214,0.377,Shot Distance (5ft),5-9 ft.,0.467,0.0,0.467,0.533,0.0,0.533
2,6,171,10-14 ft.,0.434,0,0,0.0,555,241,0.434,Shot Distance (5ft),10-14 ft.,0.419,0.0,0.419,0.581,0.0,0.581
3,14,171,15-19 ft.,0.436,0,0,0.0,723,315,0.436,Shot Distance (5ft),15-19 ft.,0.654,0.0,0.654,0.346,0.0,0.346
4,9,171,20-24 ft.,0.581,1127,456,0.405,1371,568,0.414,Shot Distance (5ft),20-24 ft.,0.714,0.89,0.856,0.286,0.11,0.144
5,5,171,25-29 ft.,0.641,1390,594,0.427,1390,594,0.427,Shot Distance (5ft),25-29 ft.,0.0,0.756,0.756,0.0,0.244,0.244
6,0,171,30-34 ft.,0.711,38,18,0.474,38,18,0.474,Shot Distance (5ft),30-34 ft.,0.0,0.278,0.278,0.0,0.722,0.722
7,0,171,35-39 ft.,0.5,6,2,0.333,6,2,0.333,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,1.0,1.0
8,1,171,40+ ft.,0.222,27,4,0.148,27,4,0.148,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,1.0,1.0
0,292,172,Less Than 8 ft.,0.584,0,0,0.0,2831,1652,0.584,Shot Distance (8ft),Less Than 8 ft.,0.662,0.0,0.662,0.338,0.0,0.338
1,19,172,8-16 ft.,0.424,0,0,0.0,880,373,0.424,Shot Distance (8ft),8-16 ft.,0.408,0.0,0.408,0.592,0.0,0.592
2,13,172,16-24 ft.,0.452,1,0,0.0,856,387,0.452,Shot Distance (8ft),16-24 ft.,0.685,0.0,0.685,0.315,0.0,0.315
3,11,172,24+ ft.,0.626,2564,1071,0.418,2565,1071,0.418,Shot Distance (8ft),24+ ft.,0.0,0.803,0.803,0.0,0.197,0.197
4,1,172,Back Court Shot,0.196,23,3,0.13,23,3,0.13,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,1.0,1.0
0,225,173,Restricted Area,0.636,0,0,0.0,2338,1486,0.636,Shot Area,Restricted Area,0.673,0.0,0.673,0.327,0.0,0.327
1,75,173,In The Paint (Non-RA),0.388,0,0,0.0,887,344,0.388,Shot Area,In The Paint (Non-RA),0.485,0.0,0.485,0.515,0.0,0.515
2,24,173,Mid-Range,0.434,1,0,0.0,1342,582,0.434,Shot Area,Mid-Range,0.589,0.0,0.589,0.411,0.0,0.411
3,1,173,Left Corner 3,0.611,312,127,0.407,312,127,0.407,Shot Area,Left Corner 3,0.0,0.984,0.984,0.0,0.016,0.016
4,2,173,Right Corner 3,0.629,297,125,0.421,298,125,0.419,Shot Area,Right Corner 3,0.0,0.952,0.952,0.0,0.048,0.048
