,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,557.2545,164.13678,-164.13678,155,2015-16,314.0889,672.75816,442.76403,0.084,-173.25549,304.97019,0.052,-225.94137,-159.07083,0.007,,82,Overall,2015-16,9,3976.0,-122.59599,74.97606,-74.97606,893.63358,893.63358,191.49291,,,2015-16,-21.27699,,,60.7914,73,0.89
0,289.77234,97.26624,-97.26624,153,Home,204.66438,330.29994,228.98094,0.094,-53.69907,201.62481,0.062,-87.13434,-34.44846,0.034,,41,Location,Home,2,1988.0,-33.43527,44.58036,-44.58036,597.7821,597.7821,171.22911,,,,-4.05276,,Home,9.11871,39,0.951
1,267.48216,66.87054,-66.87054,153,Road,109.42452,342.45822,213.78309,0.073,-119.55642,103.34538,0.043,-138.80703,-124.62237,-0.02,,41,Location,Road,7,1988.0,-89.16072,30.3957,-30.3957,295.85148,295.85148,20.2638,,,,-17.22423,,Road,51.67269,34,0.829
0,551.17536,159.07083,-159.07083,157,Wins,351.57693,598.79529,435.6717,0.103,-177.30825,349.55055,0.066,-173.25549,-116.51685,0.009,Wins,73,Wins/Losses,Wins,0,3539.0,-123.60918,60.7914,-60.7914,1018.25595,1018.25595,227.96775,,,,-14.18466,,,42.55398,73,1.0
1,6.07914,5.06595,-5.06595,157,Losses,-37.48803,73.96287,7.09233,-0.084,4.05276,-44.58036,-0.057,-52.68588,-42.55398,-0.011,Losses,9,Wins/Losses,Losses,9,437.0,1.01319,14.18466,-14.18466,-124.62237,-124.62237,-36.47484,,,,-7.09233,,,18.23742,0,0.0
0,19.25061,-1.01319,1.01319,154,October,12.15828,23.30337,16.21104,0.105,8.10552,19.25061,0.057,-4.05276,-4.05276,-0.011,,3,Month,October,0,144.0,-1.01319,8.10552,-8.10552,50.6595,50.6595,11.14509,October,,,11.14509,,,-14.18466,3,1.0
1,150.96531,52.68588,-52.68588,154,November,75.98925,174.26868,119.55642,0.133,-46.60674,71.93649,0.067,-25.32975,-19.25061,0.0,,16,Month,November,0,773.0,-12.15828,7.09233,-7.09233,244.17879,244.17879,63.83097,November,,,-15.19785,,,19.25061,16,1.0
2,66.87054,29.38251,-29.38251,154,December,57.75183,47.61993,39.51441,0.06,-62.81778,21.27699,0.042,30.3957,13.17147,-0.029,,13,Month,December,2,634.0,-4.05276,-23.30337,23.30337,95.23986,95.23986,53.69907,December,,,-8.10552,,,16.21104,11,0.846
3,155.01807,38.50122,-38.50122,154,January,94.22667,126.64875,111.4509,0.152,-63.83097,78.01563,0.075,-70.9233,-41.54079,0.035,,16,Month,January,2,773.0,-55.72545,27.35613,-27.35613,225.94137,225.94137,38.50122,January,,,-6.07914,,,18.23742,14,0.875
4,48.63312,1.01319,-1.01319,154,February,-18.23742,71.93649,31.40889,0.013,4.05276,18.23742,0.018,-30.3957,-19.25061,0.013,,10,Month,February,1,485.0,-12.15828,7.09233,-7.09233,48.63312,48.63312,-30.3957,February,,,0.0,,,-11.14509,9,0.9
