,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,1,5,2,0.4,,6,4,0.667,2.57,7,0.444,0,0021500855,33:36,3,37,203084,Harrison Barnes,10,1,4.58,F,50,GSW,Golden State,1610612744,4,2,0.5
1,8,5,3,0.6,,8,6,0.75,2.22,5,0.571,0,0021500855,31:52,2,70,203110,Draymond Green,7,3,4.17,F,86,GSW,Golden State,1610612744,2,1,0.5
2,4,3,3,1.0,,10,6,0.6,1.38,5,0.857,1,0021500855,21:49,3,37,101106,Andrew Bogut,8,0,3.79,C,48,GSW,Golden State,1610612744,4,3,0.75
3,1,3,1,0.333,,3,2,0.667,2.1,2,0.4,0,0021500855,29:08,2,19,202691,Klay Thompson,4,2,4.32,G,30,GSW,Golden State,1610612744,7,3,0.429
4,8,12,8,0.667,,1,1,1.0,2.55,10,0.741,1,0021500855,34:02,0,61,201939,Stephen Curry,10,2,4.49,G,95,GSW,Golden State,1610612744,15,12,0.8
5,7,1,1,1.0,,2,2,1.0,1.85,7,0.5,0,0021500855,26:17,2,32,2738,Andre Iguodala,9,1,4.22,,40,GSW,Golden State,1610612744,1,0,0.0
6,3,4,2,0.5,,4,3,0.75,0.99,6,0.4,0,0021500855,13:46,2,26,2760,Anderson Varejao,8,3,4.3,,31,GSW,Golden State,1610612744,1,0,0.0
7,0,2,1,0.5,,0,0,0.0,1.24,2,0.5,0,0021500855,16:50,2,10,2571,Leandro Barbosa,4,2,4.41,,19,GSW,Golden State,1610612744,4,2,0.5
8,1,0,0,0.0,,0,0,0.0,0.71,2,0.75,0,0021500855,11:30,2,14,201578,Marreese Speights,4,0,3.7,,24,GSW,Golden State,1610612744,8,6,0.75
9,1,4,1,0.25,,0,0,0.0,1.14,4,0.25,1,0021500855,15:04,0,29,2733,Shaun Livingston,4,2,4.54,,36,GSW,Golden State,1610612744,0,0,0.0
10,0,0,0,0.0,,0,0,0.0,0.14,1,1.0,0,0021500855,2:02,0,6,201575,Brandon Rush,1,0,4.11,,7,GSW,Golden State,1610612744,1,1,1.0
11,0,0,0,0.0,,0,0,0.0,0.13,0,0.5,0,0021500855,2:02,0,2,1626172,Kevon Looney,0,0,3.81,,5,GSW,Golden State,1610612744,2,1,0.5
12,1,0,0,0.0,,0,0,0.0,0.15,1,0.0,0,0021500855,2:02,0,6,203546,Ian Clark,1,0,4.4,,8,GSW,Golden State,1610612744,0,0,0.0
13,3,4,1,0.25,,3,2,0.667,2.93,2,0.5,1,0021500855,38:37,1,38,203095,Evan Fournier,3,0,4.54,F,56,ORL,Orlando,1610612753,8,5,0.625
14,2,9,7,0.778,,2,1,0.5,2.43,7,0.643,0,0021500855,30:14,4,40,203932,Aaron Gordon,11,0,4.81,F,56,ORL,Orlando,1610612753,5,2,0.4
15,4,9,4,0.444,,8,4,0.5,2.29,11,0.412,0,0021500855,31:32,4,52,202696,Nikola Vucevic,15,2,4.19,C,77,ORL,Orlando,1610612753,8,3,0.375
16,2,8,3,0.375,,3,2,0.667,2.31,6,0.313,0,0021500855,30:03,2,32,203506,Victor Oladipo,8,2,4.6,G,50,ORL,Orlando,1610612753,8,2,0.25
17,6,5,3,0.6,,2,2,1.0,2.31,6,0.625,1,0021500855,28:53,0,52,203901,Elfrid Payton,6,0,4.79,G,68,ORL,Orlando,1610612753,3,2,0.667
18,0,3,1,0.333,,2,2,1.0,1.2,3,0.333,0,0021500855,15:58,1,16,101141,Ersan Ilyasova,4,0,4.5,,23,ORL,Orlando,1610612753,0,0,0.0
19,0,0,0,0.0,,3,3,1.0,1.14,4,0.2,0,0021500855,15:09,0,19,1626209,Mario Hezonja,4,1,4.51,,24,ORL,Orlando,1610612753,5,1,0.2
20,1,2,0,0.0,,1,1,1.0,0.87,1,0.4,0,0021500855,12:10,0,24,201943,Brandon Jennings,1,1,4.29,,31,ORL,Orlando,1610612753,3,2,0.667
21,1,2,0,0.0,,5,4,0.8,0.68,2,0.4,0,0021500855,10:38,1,10,201160,Jason Smith,3,0,4.32,,17,ORL,Orlando,1610612753,3,2,0.667
22,3,1,1,1.0,,0,0,0.0,1.15,5,1.0,0,0021500855,15:19,0,17,201228,CJ Watson,5,2,4.49,,20,ORL,Orlando,1610612753,0,0,0.0
23,0,1,0,0.0,,0,0,0.0,0.25,1,0.5,0,0021500855,3:49,0,5,203473,Dewayne Dedmon,1,0,3.92,,7,ORL,Orlando,1610612753,1,1,1.0
24,0,0,0,0.0,,0,0,0.0,0.29,0,0.0,0,0021500855,3:49,0,3,203906,Devyn Marble,0,0,4.54,,4,ORL,Orlando,1610612753,1,0,0.0
25,1,1,1,1.0,,0,0,0.0,0.25,1,1.0,0,0021500855,3:49,0,4,203094,Andrew Nicholson,1,0,3.92,,5,ORL,Orlando,1610612753,0,0,0.0
