,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,1,0,,3,2,1,0.5,9,4,0.444,3,1,0.333,0021500855,33:36,2,1,203084,Harrison Barnes,16.0,10,5,F,0,GSW,Golden State,1610612744,1
1,8,0,,4,1,0,0.0,7,4,0.571,7,4,0.571,0021500855,31:52,0,3,203110,Draymond Green,4.0,12,4,F,4,GSW,Golden State,1610612744,5
2,4,2,,1,0,0,0.0,7,6,0.857,0,0,0.0,0021500855,21:49,3,5,101106,Andrew Bogut,0.0,12,4,C,2,GSW,Golden State,1610612744,1
3,1,1,,2,5,1,0.2,10,4,0.4,0,0,0.0,0021500855,29:08,0,1,202691,Klay Thompson,5.0,9,2,G,0,GSW,Golden State,1610612744,1
4,8,1,,7,15,10,0.667,27,20,0.741,1,1,1.0,0021500855,34:02,0,1,201939,Stephen Curry,11.0,51,7,G,0,GSW,Golden State,1610612744,5
5,7,0,,4,0,0,0.0,2,1,0.5,0,0,0.0,0021500855,26:17,0,1,2738,Andre Iguodala,11.0,2,4,,1,GSW,Golden State,1610612744,0
6,3,0,,4,0,0,0.0,5,2,0.4,1,1,1.0,0021500855,13:46,1,4,2760,Anderson Varejao,12.0,5,5,,1,GSW,Golden State,1610612744,1
7,0,0,,1,1,0,0.0,6,3,0.5,0,0,0.0,0021500855,16:50,1,1,2571,Leandro Barbosa,10.0,6,2,,0,GSW,Golden State,1610612744,2
8,1,0,,2,0,0,0.0,8,6,0.75,2,2,1.0,0021500855,11:30,1,2,201578,Marreese Speights,5.0,14,3,,0,GSW,Golden State,1610612744,1
9,1,0,,4,0,0,0.0,4,1,0.25,2,2,1.0,0021500855,15:04,0,2,2733,Shaun Livingston,3.0,4,4,,1,GSW,Golden State,1610612744,1
10,0,0,,1,1,1,1.0,1,1,1.0,0,0,0.0,0021500855,2:02,0,0,201575,Brandon Rush,1.0,3,1,,0,GSW,Golden State,1610612744,0
11,0,0,,0,0,0,0.0,2,1,0.5,0,0,0.0,0021500855,2:02,0,0,1626172,Kevon Looney,1.0,2,0,,0,GSW,Golden State,1610612744,1
12,1,0,,1,0,0,0.0,0,0,0.0,0,0,0.0,0021500855,2:02,0,0,203546,Ian Clark,1.0,0,1,,0,GSW,Golden State,1610612744,1
13,3,0,,1,5,3,0.6,12,6,0.5,5,5,1.0,0021500855,38:37,0,1,203095,Evan Fournier,-10.0,20,1,F,4,ORL,Orlando,1610612753,2
14,2,1,,5,4,1,0.25,14,9,0.643,0,0,0.0,0021500855,30:14,3,1,203932,Aaron Gordon,-3.0,19,8,F,0,ORL,Orlando,1610612753,1
15,4,2,,6,1,0,0.0,17,7,0.412,4,3,0.75,0021500855,31:32,3,4,202696,Nikola Vucevic,-3.0,17,9,C,0,ORL,Orlando,1610612753,5
16,2,0,,5,5,2,0.4,16,5,0.313,4,2,0.5,0021500855,30:03,1,3,203506,Victor Oladipo,-5.0,14,6,G,2,ORL,Orlando,1610612753,0
17,6,0,,2,3,2,0.667,8,5,0.625,2,0,0.0,0021500855,28:53,0,2,203901,Elfrid Payton,-14.0,12,2,G,1,ORL,Orlando,1610612753,4
18,0,0,,3,0,0,0.0,3,1,0.333,6,6,1.0,0021500855,15:58,1,1,101141,Ersan Ilyasova,-14.0,8,4,,2,ORL,Orlando,1610612753,0
19,0,0,,3,4,1,0.25,5,1,0.2,0,0,0.0,0021500855,15:09,0,0,1626209,Mario Hezonja,-5.0,3,3,,0,ORL,Orlando,1610612753,0
20,1,0,,0,3,1,0.333,5,2,0.4,0,0,0.0,0021500855,12:10,0,1,201943,Brandon Jennings,-9.0,5,0,,2,ORL,Orlando,1610612753,1
21,1,0,,1,0,0,0.0,5,2,0.4,2,1,0.5,0021500855,10:38,0,2,201160,Jason Smith,-12.0,5,1,,0,ORL,Orlando,1610612753,2
22,3,0,,2,0,0,0.0,1,1,1.0,4,4,1.0,0021500855,15:19,0,2,201228,CJ Watson,-5.0,6,2,,0,ORL,Orlando,1610612753,0
23,0,0,,0,0,0,0.0,2,1,0.5,0,0,0.0,0021500855,3:49,0,0,203473,Dewayne Dedmon,0.0,2,0,,0,ORL,Orlando,1610612753,0
24,0,0,,0,1,0,0.0,1,0,0.0,0,0,0.0,0021500855,3:49,0,0,203906,Devyn Marble,0.0,0,0,,0,ORL,Orlando,1610612753,0
25,1,1,,1,0,0,0.0,1,1,1.0,1,1,1.0,0021500855,3:49,0,0,203094,Andrew Nicholson,0.0,3,1,,0,ORL,Orlando,1610612753,0
