,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021500314,24:33,0.067,0.5,0.5,0.0,0.4,0.6,0.213,0.2,0.0,0.0,0.5,0.083,0.0,0.217,0.136,0.0,0.111,201575,Brandon Rush,F,GSW,Golden State,1610612744,0.183
1,,0021500314,35:39,0.167,0.2,0.0,0.267,0.069,0.0,0.181,0.1,0.0,0.0,0.2,0.333,0.188,0.078,0.257,0.111,0.308,203110,Draymond Green,F,GSW,Golden State,1610612744,0.189
2,,0021500314,23:22,0.048,0.5,0.0,0.304,0.0,0.0,0.163,0.233,0.0,0.0,0.75,0.333,0.25,0.179,0.37,0.25,0.111,101106,Andrew Bogut,C,GSW,Golden State,1610612744,0.151
3,,0021500314,34:28,0.24,0.2,1.0,0.207,0.593,0.714,0.3,0.333,0.6,0.6,0.167,0.167,0.182,0.402,0.2,0.0,0.308,202691,Klay Thompson,G,GSW,Golden State,1610612744,0.309
4,,0021500314,35:39,0.417,0.0,0.0,0.233,0.345,0.214,0.319,0.275,0.545,0.444,0.0,0.083,0.313,0.282,0.2,0.333,0.308,201939,Stephen Curry,G,GSW,Golden State,1610612744,0.33
5,,0021500314,32:46,0.294,0.2,0.333,0.115,0.0,0.0,0.063,0.081,0.0,0.0,0.0,0.083,0.071,0.062,0.088,0.625,0.0,2738,Andre Iguodala,,GSW,Golden State,1610612744,0.052
6,,0021500314,18:12,0.0,0.0,0.0,0.333,0.0,0.0,0.235,0.278,0.571,0.4,0.4,0.25,0.571,0.279,0.357,0.0,0.333,203105,Festus Ezeli,,GSW,Golden State,1610612744,0.268
7,,0021500314,22:24,0.0,0.0,0.0,0.182,0.0,0.0,0.07,0.158,0.2,0.333,0.0,0.182,0.125,0.174,0.118,0.0,0.0,2733,Shaun Livingston,,GSW,Golden State,1610612744,0.074
8,,0021500314,12:21,0.4,0.0,0.0,0.0,0.167,0.0,0.217,0.083,0.0,0.0,0.0,0.429,0.0,0.071,0.0,0.0,0.0,203546,Ian Clark,,GSW,Golden State,1610612744,0.187
9,,0021500314,0:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201578,Marreese Speights,,GSW,Golden State,1610612744,0.0
10,DND - Illness                           ,0021500314,,,,,,,,,,,,,,,,,,,2571,Leandro Barbosa,,GSW,Golden State,1610612744,0.0
11,DNP - Coach's Decision                  ,0021500314,,,,,,,,,,,,,,,,,,,203949,James Michael McAdoo,,GSW,Golden State,1610612744,0.0
12,DNP - Coach's Decision                  ,0021500314,,,,,,,,,,,,,,,,,,,201574,Jason Thompson,,GSW,Golden State,1610612744,0.0
13,,0021500314,34:12,0.063,0.0,0.2,0.136,0.478,0.625,0.211,0.258,0.176,0.25,0.091,0.214,0.091,0.293,0.121,0.0,0.071,101139,CJ Miles,F,IND,Indiana,1610612754,0.187
14,,0021500314,35:39,0.375,1.0,0.2,0.208,0.5,0.556,0.346,0.344,0.412,0.5,0.231,0.188,0.333,0.388,0.216,0.429,0.2,202331,Paul George,F,IND,Indiana,1610612754,0.329
15,,0021500314,20:39,0.25,0.0,0.333,0.5,0.0,0.0,0.139,0.167,0.154,0.182,0.0,0.2,0.25,0.154,0.467,0.5,0.111,101133,Ian Mahinmi,C,IND,Indiana,1610612754,0.136
16,,0021500314,38:08,0.263,0.333,0.0,0.08,0.087,0.0,0.138,0.111,0.091,0.059,0.0,0.143,0.2,0.092,0.053,0.143,0.462,101145,Monta Ellis,G,IND,Indiana,1610612754,0.174
17,,0021500314,28:47,0.071,0.0,0.667,0.154,0.235,0.375,0.182,0.167,0.059,0.077,0.0,0.182,0.167,0.174,0.118,0.0,0.222,201588,George Hill,G,IND,Indiana,1610612754,0.174
18,,0021500314,17:27,0.25,0.0,0.5,0.091,0.0,0.0,0.2,0.267,0.571,0.4,0.667,0.4,0.4,0.238,0.214,0.0,0.0,201941,Jordan Hill,,IND,Indiana,1610612754,0.208
19,,0021500314,20:12,0.333,0.0,0.0,0.083,0.118,0.0,0.132,0.063,0.273,0.273,0.0,0.0,0.222,0.098,0.059,0.5,0.286,201155,Rodney Stuckey,,IND,Indiana,1610612754,0.167
20,,0021500314,21:08,0.182,0.5,0.0,0.4,0.0,0.0,0.154,0.13,0.0,0.0,0.357,0.571,0.1,0.094,0.375,0.5,0.0,203524,Solomon Hill,,IND,Indiana,1610612754,0.131
21,,0021500314,18:10,0.0,0.0,0.0,0.333,0.077,0.167,0.163,0.2,0.364,0.3,0.308,0.0,0.222,0.214,0.318,0.0,0.0,201978,Chase Budinger,,IND,Indiana,1610612754,0.169
22,,0021500314,5:38,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.4,0.0,0.0,0.333,0.0,0.0,0.25,0.333,0.0,1.0,202730,Lavoy Allen,,IND,Indiana,1610612754,0.407
23,DNP - Coach's Decision                  ,0021500314,,,,,,,,,,,,,,,,,,,203922,Glenn Robinson,,IND,Indiana,1610612754,0.0
24,"DND - Chip Fracture, Left Thumb         ",0021500314,,,,,,,,,,,,,,,,,,,1626167,Myles Turner,,IND,Indiana,1610612754,0.0
25,DNP - Coach's Decision                  ,0021500314,,,,,,,,,,,,,,,,,,,1626202,Joe Young,,IND,Indiana,1610612754,0.0
