,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.648,0.296,0021501207,28:41,0.51,0.34,0.167,0.13,0.19,2772,Trevor Ariza,F,HOU,Houston,1610612745,0.123
1,,0.608,0.189,0021501207,19:10,0.516,0.387,0.125,0.104,0.267,202700,Donatas Motiejunas,F,HOU,Houston,1610612745,0.143
2,,0.689,0.311,0021501207,26:56,0.5,0.311,0.182,0.16,0.286,2730,Dwight Howard,C,HOU,Houston,1610612745,0.203
3,,0.643,0.302,0021501207,34:39,0.545,0.4,0.192,0.167,0.24,201976,Patrick Beverley,G,HOU,Houston,1610612745,0.155
4,,0.672,0.295,0021501207,31:40,0.447,0.333,0.133,0.102,0.192,201935,James Harden,G,HOU,Houston,1610612745,0.111
5,,0.654,0.308,0021501207,23:16,0.452,0.405,0.269,0.141,0.2,1891,Jason Terry,,HOU,Houston,1610612745,0.215
6,,0.714,0.381,0021501207,23:21,0.476,0.317,0.19,0.174,0.167,2746,Josh Smith,,HOU,Houston,1610612745,0.148
7,,0.685,0.259,0021501207,14:46,0.5,0.348,0.154,0.197,0.25,201147,Corey Brewer,,HOU,Houston,1610612745,0.205
8,,0.632,0.265,0021501207,15:35,0.481,0.407,0.133,0.118,0.158,203991,Clint Capela,,HOU,Houston,1610612745,0.054
9,,0.429,0.429,0021501207,5:29,0.455,0.727,0.5,0.087,0.2,202726,Andrew Goudelock,,HOU,Houston,1610612745,0.353
10,,0.429,0.429,0021501207,5:29,0.455,0.727,0.5,0.087,0.2,203093,Terrence Jones,,HOU,Houston,1610612745,0.353
11,,0.429,0.429,0021501207,5:29,0.455,0.727,0.5,0.087,0.2,201563,Michael Beasley,,HOU,Houston,1610612745,0.353
12,,0.429,0.429,0021501207,5:29,0.455,0.727,0.5,0.087,0.2,203909,KJ McDaniels,,HOU,Houston,1610612745,0.353
13,,0.489,0.34,0021501207,26:43,0.67,0.3,0.222,0.146,0.167,203952,Andrew Wiggins,F,MIN,Minnesota,1610612750,0.123
14,,0.5,0.381,0021501207,25:18,0.641,0.304,0.176,0.14,0.15,203476,Gorgui Dieng,F,MIN,Minnesota,1610612750,0.148
15,,0.564,0.362,0021501207,27:29,0.696,0.294,0.263,0.132,0.143,1626157,Karl-Anthony Towns,C,MIN,Minnesota,1610612750,0.089
16,,0.459,0.286,0021501207,27:10,0.644,0.308,0.227,0.129,0.115,203897,Zach LaVine,G,MIN,Minnesota,1610612750,0.087
17,,0.462,0.308,0021501207,22:13,0.671,0.244,0.267,0.162,0.143,201937,Ricky Rubio,G,MIN,Minnesota,1610612750,0.088
18,,0.471,0.373,0021501207,29:12,0.604,0.34,0.192,0.152,0.241,202357,Nemanja Bjelica,,MIN,Minnesota,1610612750,0.16
19,,0.389,0.444,0021501207,4:51,0.667,0.222,0.143,0.184,0.167,202962,Greg Smith,,MIN,Minnesota,1610612750,0.0
20,,0.511,0.477,0021501207,25:47,0.622,0.356,0.174,0.172,0.292,1626145,Tyus Jones,,MIN,Minnesota,1610612750,0.178
21,,0.605,0.368,0021501207,12:53,0.652,0.261,0.167,0.113,0.143,2419,Tayshaun Prince,,MIN,Minnesota,1610612750,0.159
22,,0.514,0.514,0021501207,22:14,0.653,0.333,0.176,0.207,0.333,203498,Shabazz Muhammad,,MIN,Minnesota,1610612750,0.19
23,,0.353,0.588,0021501207,9:10,0.615,0.231,0.286,0.394,0.429,203940,Adreian Payne,,MIN,Minnesota,1610612750,0.245
24,,0.357,0.714,0021501207,7:00,0.5,0.273,0.286,0.368,0.417,204014,Damjan Rudez,,MIN,Minnesota,1610612750,0.183
