,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.598,0.283,0021501195,27:26,0.58,0.25,0.367,0.177,0.143,977,Kobe Bryant,F,LAL,Los Angeles,1610612747,0.235
1,,0.48,0.275,0021501195,29:52,0.598,0.213,0.29,0.148,0.08,203944,Julius Randle,F,LAL,Los Angeles,1610612747,0.214
2,,0.513,0.2,0021501195,24:00,0.57,0.14,0.24,0.145,0.111,201579,Roy Hibbert,C,LAL,Los Angeles,1610612747,0.252
3,,0.508,0.188,0021501195,35:54,0.63,0.164,0.324,0.141,0.182,203903,Jordan Clarkson,G,LAL,Los Angeles,1610612747,0.202
4,,0.543,0.31,0021501195,35:03,0.581,0.203,0.359,0.142,0.111,1626156,D'Angelo Russell,G,LAL,Los Angeles,1610612747,0.222
5,,0.682,0.182,0021501195,25:03,0.571,0.184,0.28,0.115,0.278,1626273,Marcelo Huertas,,LAL,Los Angeles,1610612747,0.158
6,,0.703,0.156,0021501195,18:08,0.595,0.135,0.389,0.11,0.357,1626204,Larry Nance Jr.,,LAL,Los Angeles,1610612747,0.17
7,,0.616,0.256,0021501195,24:00,0.625,0.229,0.417,0.123,0.238,204028,Tarik Black,,LAL,Los Angeles,1610612747,0.14
8,,0.544,0.088,0021501195,18:08,0.686,0.114,0.267,0.084,0.235,1897,Metta World Peace,,LAL,Los Angeles,1610612747,0.113
9,,0.333,1.0,0021501195,2:26,0.286,0.0,0.25,0.0,0.0,203527,Ryan Kelly,,LAL,Los Angeles,1610612747,0.316
10,DNP - Coach's Decision                  ,,,0021501195,,,,,,,101138,Brandon Bass,,LAL,Los Angeles,1610612747,
11,DNP - Coach's Decision                  ,,,0021501195,,,,,,,203135,Robert Sacre,,LAL,Los Angeles,1610612747,
12,DNP - Coach's Decision                  ,,,0021501195,,,,,,,101150,Lou Williams,,LAL,Los Angeles,1610612747,
13,,0.611,0.185,0021501195,37:38,0.574,0.295,0.107,0.233,0.341,2772,Trevor Ariza,F,HOU,Houston,1610612745,0.13
14,,0.625,0.222,0021501195,19:14,0.471,0.171,0.105,0.236,0.333,202700,Donatas Motiejunas,F,HOU,Houston,1610612745,0.23
15,,0.642,0.164,0021501195,33:04,0.509,0.19,0.133,0.224,0.281,2730,Dwight Howard,C,HOU,Houston,1610612745,0.137
16,,0.614,0.182,0021501195,41:23,0.587,0.261,0.156,0.218,0.341,201935,James Harden,G,HOU,Houston,1610612745,0.121
17,,0.568,0.167,0021501195,33:26,0.483,0.25,0.129,0.204,0.294,201976,Patrick Beverley,G,HOU,Houston,1610612745,0.176
18,,0.5,0.048,0021501195,9:25,0.733,0.4,0.2,0.231,0.455,201563,Michael Beasley,,HOU,Houston,1610612745,0.196
19,,0.5,0.226,0021501195,14:57,0.7,0.32,0.333,0.136,0.412,203991,Clint Capela,,HOU,Houston,1610612745,0.129
20,,0.607,0.214,0021501195,20:38,0.681,0.139,0.333,0.153,0.35,1891,Jason Terry,,HOU,Houston,1610612745,0.093
21,,0.433,0.2,0021501195,8:41,0.632,0.053,0.444,0.061,0.25,201147,Corey Brewer,,HOU,Houston,1610612745,0.173
22,,0.622,0.22,0021501195,19:21,0.591,0.212,0.267,0.135,0.25,2746,Josh Smith,,HOU,Houston,1610612745,0.0
23,,1.25,0.0,0021501195,1:41,0.0,0.0,0.0,0.0,0.0,203909,KJ McDaniels,,HOU,Houston,1610612745,0.0
24,,0.0,0.0,0021501195,0:34,0.0,0.0,0.0,0.0,0.0,202726,Andrew Goudelock,,HOU,Houston,1610612745,0.0
25,DNP - Coach's Decision                  ,,,0021501195,,,,,,,203093,Terrence Jones,,HOU,Houston,1610612745,
