,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,-196.55886,26.34294,-26.34294,-90.17391,331.31313,83.08158,-0.014,-131.7147,-107.39814,-0.007,394.13091,147.92574,-0.061,82,,,Overall,2015-16,41,3966.0,-40.5276,-57.75183,57.75183,16.21104,16.21104,-130.70151,88.14753,HOU,1610612745.0,Houston Rockets,-54.71226,41,0.5
0,-4.05276,6.07914,-6.07914,15.19785,24.31656,10.1319,0.004,-18.23742,12.15828,0.039,31.40889,32.42208,0.082,33,2772 - 201976 - 201935 - 2730 - 202700,"Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Motiejunas,Donatas",Lineups,,16,295.111666667,-7.09233,-8.10552,8.10552,66.87054,66.87054,8.10552,7.09233,,,,-12.15828,17,0.515
1,-9.11871,-10.1319,10.1319,-13.17147,21.27699,11.14509,0.029,-29.38251,-15.19785,-0.005,-17.22423,-32.42208,-0.149,41,2772 - 201976 - 201147 - 201935 - 2730,"Ariza,Trevor - Beverley,Patrick - Brewer,Corey - Harden,James - Howard,Dwight",Lineups,,25,200.993333333,-20.2638,21.27699,-21.27699,-51.67269,-51.67269,-33.43527,10.1319,,,,-4.05276,16,0.39
2,-13.17147,-2.02638,2.02638,34.44846,-16.21104,-9.11871,-0.028,-3.03957,6.07914,0.022,54.71226,30.3957,-0.098,22,2772 - 201976 - 203991 - 201935 - 2730,"Ariza,Trevor - Beverley,Patrick - Capela,Clint - Harden,James - Howard,Dwight",Lineups,,10,196.85,26.34294,-16.21104,16.21104,33.43527,33.43527,60.7914,-1.01319,,,,10.1319,12,0.545
3,6.07914,1.01319,-1.01319,-4.05276,10.1319,0.0,-0.056,25.32975,3.03957,-0.042,13.17147,9.11871,-0.021,18,2772 - 201976 - 201935 - 2730 - 2746,"Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Smith,Josh",Lineups,,10,109.523333333,17.22423,3.03957,-3.03957,15.19785,15.19785,13.17147,17.22423,,,,-13.17147,8,0.444
4,-34.44846,4.05276,-4.05276,-18.23742,4.05276,-6.07914,-0.147,-11.14509,-24.31656,-0.118,18.23742,8.10552,-0.101,24,2772 - 201976 - 201935 - 2730 - 203093,"Ariza,Trevor - Beverley,Patrick - Harden,James - Howard,Dwight - Jones,Terrence",Lineups,,12,92.4266666667,-3.03957,-11.14509,11.14509,-46.60674,-46.60674,-21.27699,1.01319,,,,-5.06595,12,0.5
5,0.0,-8.10552,8.10552,-7.09233,23.30337,5.06595,-0.053,19.25061,4.05276,-0.032,5.06595,-1.01319,-0.141,10,2772 - 201935 - 2730 - 201951 - 201977,"Ariza,Trevor - Harden,James - Howard,Dwight - Lawson,Ty - Thornton,Marcus",Lineups,,6,80.2783333333,9.11871,-2.02638,2.02638,12.15828,12.15828,2.02638,7.09233,,,,-1.01319,4,0.4
6,-15.19785,4.05276,-4.05276,-8.10552,19.25061,5.06595,-0.032,-20.2638,-22.29018,-0.103,11.14509,8.10552,-0.014,16,2772 - 201935 - 2730 - 203093 - 1891,"Ariza,Trevor - Harden,James - Howard,Dwight - Jones,Terrence - Terry,Jason",Lineups,,5,80.2166666667,-4.05276,-3.03957,3.03957,-31.40889,-31.40889,-12.15828,-2.02638,,,,6.07914,11,0.688
7,-12.15828,-5.06595,5.06595,-6.07914,-4.05276,-2.02638,-0.008,-4.05276,-5.06595,-0.022,11.14509,8.10552,0.002,22,2772 - 201976 - 203991 - 201935 - 203093,"Ariza,Trevor - Beverley,Patrick - Capela,Clint - Harden,James - Jones,Terrence",Lineups,,10,77.51,-3.03957,9.11871,-9.11871,-4.05276,-4.05276,-9.11871,7.09233,,,,-5.06595,12,0.545
8,3.03957,6.07914,-6.07914,4.05276,15.19785,9.11871,0.074,-2.02638,7.09233,0.067,32.42208,23.30337,-0.002,22,2772 - 201976 - 201147 - 203991 - 201935,"Ariza,Trevor - Beverley,Patrick - Brewer,Corey - Capela,Clint - Harden,James",Lineups,,12,74.6016666667,-1.01319,-5.06595,5.06595,46.60674,46.60674,3.03957,8.10552,,,,-7.09233,10,0.455
9,-1.01319,1.01319,-1.01319,-7.09233,-4.05276,-2.02638,-0.013,-7.09233,-15.19785,-0.09,28.36932,21.27699,0.0,16,2772 - 201935 - 2730 - 203093 - 201951,"Ariza,Trevor - Harden,James - Howard,Dwight - Jones,Terrence - Lawson,Ty",Lineups,,8,71.3866666667,1.01319,-5.06595,5.06595,-11.14509,-11.14509,-6.07914,-1.01319,,,,-5.06595,8,0.5
