,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,-196.55886,26.34294,-26.34294,,-90.17391,331.31313,83.08158,-0.014,-131.7147,-107.39814,-0.007,394.13091,147.92574,-0.061,82,Overall,2015-16,41,3966.0,-40.5276,-57.75183,57.75183,16.21104,16.21104,-130.70151,88.14753,HOU,1610612745,Houston Rockets,-54.71226,,,41,0.5
0,-113.47728,-9.11871,9.11871,On,-85.10796,314.0889,88.14753,-0.015,-53.69907,-81.0552,-0.011,270.52173,115.50366,-0.051,81,On/Off Court,,41,2859.03833333,-13.17147,-43.56717,43.56717,41.54079,41.54079,-98.27943,87.13434,HOU,1610612745,Houston Rockets,-59.77821,2772.0,"Ariza, Trevor",40,0.494
1,-36.47484,10.1319,-10.1319,On,-2.02638,-53.69907,-29.38251,-0.057,-2.02638,1.01319,0.003,-25.32975,-40.5276,-0.106,20,On/Off Court,,10,362.586666667,-3.03957,19.25061,-19.25061,-67.88373,-67.88373,-5.06595,-12.15828,HOU,1610612745,Houston Rockets,7.09233,201563.0,"Beasley, Michael",10,0.5
2,-57.75183,18.23742,-18.23742,On,-5.06595,104.35857,41.54079,0.003,-49.64631,6.07914,0.008,217.83585,82.06839,-0.07,71,On/Off Court,,36,2040.7,-27.35613,-27.35613,27.35613,135.76746,135.76746,-32.42208,87.13434,HOU,1610612745,Houston Rockets,-68.89692,201976.0,"Beverley, Patrick",35,0.493
3,-75.98925,17.22423,-17.22423,On,-64.84416,123.60918,20.2638,-0.02,-98.27943,-58.76502,-0.005,124.62237,7.09233,-0.084,82,On/Off Court,,41,1668.86666667,-54.71226,2.02638,-2.02638,-90.17391,-90.17391,-119.55642,45.59355,HOU,1610612745,Houston Rockets,-21.27699,201147.0,"Brewer, Corey",41,0.5
4,-92.20029,10.1319,-10.1319,On,-4.05276,92.20029,17.22423,-0.017,34.44846,15.19785,0.0,166.16316,52.68588,-0.08,77,On/Off Court,,38,1470.71,41.54079,-24.31656,24.31656,100.30581,100.30581,37.48803,47.61993,HOU,1610612745,Houston Rockets,-60.7914,203991.0,"Capela, Clint",39,0.506
5,-3.03957,2.02638,-2.02638,On,-1.01319,0.0,-1.01319,-0.333,-5.06595,-4.05276,-0.127,7.09233,7.09233,0.233,3,On/Off Court,,2,6.14833333333,0.0,-3.03957,3.03957,-2.02638,-2.02638,-1.01319,0.0,HOU,1610612745,Houston Rockets,0.0,1626155.0,"Dekker, Sam",1,0.333
6,-4.05276,12.15828,-12.15828,On,8.10552,-9.11871,-3.03957,-0.026,-26.34294,4.05276,0.166,12.15828,5.06595,-0.062,8,On/Off Court,,3,49.7083333333,-19.25061,-6.07914,6.07914,10.1319,10.1319,-11.14509,-2.02638,HOU,1610612745,Houston Rockets,-3.03957,202726.0,"Goudelock, Andrew",5,0.625
7,-130.70151,8.10552,-8.10552,On,-62.81778,344.4846,97.26624,-0.014,-55.72545,-63.83097,-0.007,318.14166,157.04445,-0.042,82,On/Off Court,,41,3124.635,-19.25061,-65.85735,65.85735,126.64875,126.64875,-82.06839,68.89692,HOU,1610612745,Houston Rockets,-60.7914,201935.0,"Harden, James",41,0.5
8,-25.32975,7.09233,-7.09233,On,27.35613,-13.17147,-5.06595,-0.002,-24.31656,12.15828,0.035,34.44846,19.25061,-0.018,39,On/Off Court,,22,378.611666667,-14.18466,-4.05276,4.05276,38.50122,38.50122,13.17147,-3.03957,HOU,1610612745,Houston Rockets,-7.09233,1626149.0,"Harrell, Montrezl",17,0.436
9,-3.03957,0.0,0.0,On,0.0,8.10552,4.05276,0.133,-11.14509,-3.03957,0.033,-5.06595,-1.01319,0.26,2,On/Off Court,,1,23.8333333333,-6.07914,6.07914,-6.07914,-3.03957,-3.03957,-6.07914,-3.03957,HOU,1610612745,Houston Rockets,5.06595,101236.0,"Hayes, Charles",1,0.5
10,-116.51685,3.03957,-3.03957,On,-6.07914,110.43771,21.27699,-0.014,-170.21592,-79.02882,0.0,369.81435,154.00488,-0.096,71,On/Off Court,,37,2279.69666667,-16.21104,-95.23986,95.23986,17.22423,17.22423,-22.29018,30.3957,HOU,1610612745,Houston Rockets,-2.02638,2730.0,"Howard, Dwight",34,0.479
11,-139.82022,4.05276,-4.05276,On,-87.13434,80.04201,-6.07914,-0.059,-79.02882,-141.8466,-0.057,94.22667,48.63312,-0.034,50,On/Off Court,,26,1044.25166667,-14.18466,7.09233,-7.09233,-241.13922,-241.13922,-101.319,12.15828,HOU,1610612745,Houston Rockets,13.17147,203093.0,"Jones, Terrence",24,0.48
12,-89.16072,-3.03957,3.03957,On,-88.14753,148.93893,30.3957,-0.031,-65.85735,-112.46409,-0.039,85.10796,20.2638,-0.064,53,On/Off Court,,31,1176.0,-31.40889,0.0,0.0,-174.26868,-174.26868,-119.55642,-16.21104,HOU,1610612745,Houston Rockets,25.32975,201951.0,"Lawson, Ty",22,0.415
13,5.06595,16.21104,-16.21104,On,35.46165,-24.31656,0.0,0.052,-28.36932,36.47484,0.116,31.40889,3.03957,-0.114,37,On/Off Court,,20,235.39,-8.10552,-9.11871,9.11871,75.98925,75.98925,27.35613,17.22423,HOU,1610612745,Houston Rockets,-11.14509,203909.0,"McDaniels, KJ",17,0.459
14,-12.15828,4.05276,-4.05276,On,13.17147,20.2638,13.17147,0.017,-64.84416,-7.09233,0.023,69.91011,46.60674,-0.007,37,On/Off Court,,18,546.643333333,-22.29018,-20.2638,20.2638,45.59355,45.59355,-9.11871,-2.02638,HOU,1610612745,Houston Rockets,4.05276,202700.0,"Motiejunas, Donatas",19,0.514
15,6.07914,26.34294,-26.34294,On,-35.46165,115.50366,23.30337,-0.065,33.43527,-5.06595,-0.026,19.25061,2.02638,-0.051,23,On/Off Court,,11,420.946666667,17.22423,8.10552,-8.10552,15.19785,15.19785,-18.23742,26.34294,HOU,1610612745,Houston Rockets,-11.14509,2746.0,"Smith, Josh",12,0.522
16,-53.69907,16.21104,-16.21104,On,-36.47484,166.16316,50.6595,-0.01,-1.01319,-25.32975,-0.011,115.50366,33.43527,-0.065,72,On/Off Court,,35,1257.65,5.06595,-31.40889,31.40889,33.43527,33.43527,-31.40889,22.29018,HOU,1610612745,Houston Rockets,-7.09233,1891.0,"Terry, Jason",37,0.514
17,-40.5276,-11.14509,11.14509,On,-56.73864,128.67513,52.68588,0.017,9.11871,-30.3957,-0.022,64.84416,27.35613,-0.041,47,On/Off Court,,23,884.583333333,-17.22423,-1.01319,1.01319,19.25061,19.25061,-73.96287,34.44846,HOU,1610612745,Houston Rockets,-15.19785,201977.0,"Thornton, Marcus",24,0.511
0,-83.08158,35.46165,-35.46165,Off,-5.06595,17.22423,-5.06595,-0.016,-78.01563,-26.34294,0.004,123.60918,32.42208,-0.089,82,On/Off Court,,41,1106.96166667,-27.35613,-14.18466,14.18466,-25.32975,-25.32975,-32.42208,1.01319,HOU,1610612745,Houston Rockets,5.06595,2772.0,"Ariza, Trevor",41,0.5
