,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,TEAM_ID,TEAM_NAME
0,611,831,456,0.549,651,243,0.373,1482,699,0.472,0.181,82,4265,"Harden, James",201935,,made,1610612745,Houston Rockets
1,240,487,241,0.495,280,99,0.354,767,340,0.443,0.131,71,3094,"Beverley, Patrick",201976,,made,1610612745,Houston Rockets
2,188,452,212,0.469,315,103,0.327,767,315,0.411,0.128,81,3022,"Ariza, Trevor",2772,,made,1610612745,Houston Rockets
3,98,347,165,0.476,192,61,0.318,539,226,0.419,0.119,70,2797,"Howard, Dwight",2730,,made,1610612745,Houston Rockets
4,180,351,171,0.487,240,75,0.313,591,246,0.416,0.077,53,1808,"Lawson, Ty",201951,,made,1610612745,Houston Rockets
5,47,165,79,0.479,107,32,0.299,272,111,0.408,0.069,77,1621,"Capela, Clint",203991,,made,1610612745,Houston Rockets
6,103,238,110,0.462,150,57,0.38,388,167,0.43,0.064,71,1508,"Terry, Jason",1891,,made,1610612745,Houston Rockets
7,109,189,112,0.593,131,49,0.374,320,161,0.503,0.051,82,1192,"Brewer, Corey",201147,,made,1610612745,Houston Rockets
8,41,115,53,0.461,77,29,0.377,192,82,0.427,0.05,50,1188,"Jones, Terrence",203093,,made,1610612745,Houston Rockets
9,66,143,68,0.476,73,30,0.411,216,98,0.454,0.033,47,782,"Thornton, Marcus",201977,,made,1610612745,Houston Rockets
10,41,87,49,0.563,54,16,0.296,141,65,0.461,0.032,37,748,"Motiejunas, Donatas",202700,,made,1610612745,Houston Rockets
11,47,87,44,0.506,79,29,0.367,166,73,0.44,0.023,23,549,"Smith, Josh",2746,,made,1610612745,Houston Rockets
12,16,45,23,0.511,37,9,0.243,82,32,0.39,0.017,20,403,"Beasley, Michael",201563,,made,1610612745,Houston Rockets
13,17,39,19,0.487,27,12,0.444,66,31,0.47,0.014,36,330,"Harrell, Montrezl",1626149,,made,1610612745,Houston Rockets
14,10,24,18,0.75,15,6,0.4,39,24,0.615,0.007,28,155,"McDaniels, KJ",203909,,made,1610612745,Houston Rockets
15,4,16,9,0.563,5,1,0.2,21,10,0.476,0.003,7,74,"Goudelock, Andrew",202726,,made,1610612745,Houston Rockets
16,2,7,5,0.714,1,0,0.0,8,5,0.625,0.001,2,33,"Hayes, Charles",101236,,made,1610612745,Houston Rockets
17,0,2,1,0.5,1,0,0.0,3,1,0.333,0.0,3,8,"Dekker, Sam",1626155,,made,1610612745,Houston Rockets
0,209,833,403,0.484,616,222,0.36,1449,625,0.431,0.24,82,5670,,201935,"Harden, James",received,1610612745,Houston Rockets
1,151,237,102,0.43,297,120,0.404,534,222,0.416,0.136,71,3197,,201976,"Beverley, Patrick",received,1610612745,Houston Rockets
2,272,299,136,0.455,485,181,0.373,784,317,0.404,0.121,81,2857,,2772,"Ariza, Trevor",received,1610612745,Houston Rockets
3,45,176,67,0.381,91,31,0.341,267,98,0.367,0.085,53,2003,,201951,"Lawson, Ty",received,1610612745,Houston Rockets
4,264,474,302,0.637,4,0,0.0,478,302,0.632,0.078,71,1843,,2730,"Howard, Dwight",received,1610612745,Houston Rockets
5,107,109,52,0.477,255,92,0.361,364,144,0.396,0.067,71,1577,,1891,"Terry, Jason",received,1610612745,Houston Rockets
6,161,291,136,0.467,218,60,0.275,509,196,0.385,0.059,82,1385,,201147,"Brewer, Corey",received,1610612745,Houston Rockets
7,124,245,123,0.502,77,24,0.312,322,147,0.457,0.042,50,1000,,203093,"Jones, Terrence",received,1610612745,Houston Rockets
8,104,190,84,0.442,207,71,0.343,397,155,0.39,0.042,47,984,,201977,"Thornton, Marcus",received,1610612745,Houston Rockets
9,154,276,169,0.612,0,0,0.0,276,169,0.612,0.039,77,916,,203991,"Capela, Clint",received,1610612745,Houston Rockets
10,69,133,67,0.504,57,16,0.281,190,83,0.437,0.028,37,654,,202700,"Motiejunas, Donatas",received,1610612745,Houston Rockets
11,42,74,32,0.432,84,23,0.274,158,55,0.348,0.024,23,556,,2746,"Smith, Josh",received,1610612745,Houston Rockets
12,62,174,92,0.529,9,3,0.333,183,95,0.519,0.017,20,398,,201563,"Beasley, Michael",received,1610612745,Houston Rockets
13,36,70,45,0.643,1,0,0.0,71,45,0.634,0.011,36,254,,1626149,"Harrell, Montrezl",received,1610612745,Houston Rockets
14,18,31,16,0.516,26,7,0.269,57,23,0.404,0.008,28,177,,203909,"McDaniels, KJ",received,1610612745,Houston Rockets
15,1,11,8,0.727,8,1,0.125,19,9,0.474,0.004,7,90,,202726,"Goudelock, Andrew",received,1610612745,Houston Rockets
16,1,2,1,0.5,0,0,0.0,2,1,0.5,0.001,2,13,,101236,"Hayes, Charles",received,1610612745,Houston Rockets
17,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,2,3,,1626155,"Dekker, Sam",received,1610612745,Houston Rockets
