,BLKA,CFID,CFPARAMS,EFG_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,GROUP_SET,GROUP_VALUE,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM
0,404,170,2015-16,0.516,2533,878,0.347,6847,3094,0.452,Overall,2015-16,0.508,0.793,0.589,0.492,0.207,0.411
0,318,171,Less Than 5 ft.,0.591,0,0,0.0,2672,1579,0.591,Shot Distance (5ft),Less Than 5 ft.,0.567,0.0,0.567,0.433,0.0,0.433
1,56,171,5-9 ft.,0.386,0,0,0.0,647,250,0.386,Shot Distance (5ft),5-9 ft.,0.468,0.0,0.468,0.532,0.0,0.532
2,11,171,10-14 ft.,0.423,0,0,0.0,350,148,0.423,Shot Distance (5ft),10-14 ft.,0.257,0.0,0.257,0.743,0.0,0.743
3,6,171,15-19 ft.,0.39,0,0,0.0,505,197,0.39,Shot Distance (5ft),15-19 ft.,0.254,0.0,0.254,0.746,0.0,0.746
4,12,171,20-24 ft.,0.525,1602,582,0.363,1742,624,0.358,Shot Distance (5ft),20-24 ft.,0.595,0.826,0.811,0.405,0.174,0.189
5,1,171,25-29 ft.,0.498,886,294,0.332,886,294,0.332,Shot Distance (5ft),25-29 ft.,0.0,0.724,0.724,0.0,0.276,0.276
6,0,171,30-34 ft.,0.3,5,1,0.2,5,1,0.2,Shot Distance (5ft),30-34 ft.,0.0,1.0,1.0,0.0,0.0,0.0
7,0,171,35-39 ft.,0.0,6,0,0.0,6,0,0.0,Shot Distance (5ft),35-39 ft.,0.0,0.0,0.0,0.0,0.0,0.0
8,0,171,40+ ft.,0.0,28,0,0.0,28,0,0.0,Shot Distance (5ft),40+ ft.,0.0,0.0,0.0,0.0,0.0,0.0
0,362,172,Less Than 8 ft.,0.559,0,0,0.0,3136,1752,0.559,Shot Distance (8ft),Less Than 8 ft.,0.559,0.0,0.559,0.441,0.0,0.441
1,24,172,8-16 ft.,0.407,0,0,0.0,619,252,0.407,Shot Distance (8ft),8-16 ft.,0.317,0.0,0.317,0.683,0.0,0.683
2,6,172,16-24 ft.,0.38,0,0,0.0,558,212,0.38,Shot Distance (8ft),16-24 ft.,0.311,0.0,0.311,0.689,0.0,0.689
3,12,172,24+ ft.,0.526,2500,877,0.351,2501,877,0.351,Shot Distance (8ft),24+ ft.,0.0,0.792,0.792,0.0,0.208,0.208
4,0,172,Back Court Shot,0.0,27,0,0.0,27,0,0.0,Shot Distance (8ft),Back Court Shot,0.0,0.0,0.0,0.0,0.0,0.0
0,287,173,Restricted Area,0.612,0,0,0.0,2472,1513,0.612,Shot Area,Restricted Area,0.57,0.0,0.57,0.43,0.0,0.43
