,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,-196.55886,26.34294,-26.34294,155,2015-16,-90.17391,331.31313,83.08158,-0.014,-131.7147,-107.39814,-0.007,394.13091,147.92574,-0.061,,82,Overall,2015-16,41,3966.0,-40.5276,-57.75183,57.75183,16.21104,16.21104,-130.70151,,,2015-16,88.14753,,,-54.71226,41,0.5
0,-66.87054,36.47484,-36.47484,153,Home,-6.07914,138.80703,42.55398,-0.005,-112.46409,-29.38251,0.006,189.46653,86.12115,-0.047,,41,Location,Home,18,1983.0,-54.71226,-40.5276,40.5276,69.91011,69.91011,-60.7914,,,,20.2638,,Home,-33.43527,23,0.561
1,-129.68832,-10.1319,10.1319,153,Road,-84.09477,192.5061,40.5276,-0.024,-19.25061,-78.01563,-0.02,204.66438,61.80459,-0.075,,41,Location,Road,23,1983.0,14.18466,-17.22423,17.22423,-53.69907,-53.69907,-69.91011,,,,67.88373,,Road,-21.27699,18,0.439
0,-1.01319,33.43527,-33.43527,157,Wins,80.04201,165.14997,94.22667,0.03,-54.71226,103.34538,0.036,284.70639,125.63556,-0.071,Wins,41,Wins/Losses,Wins,0,1988.0,17.22423,-82.06839,82.06839,426.55299,426.55299,97.26624,,,,51.67269,,,-56.73864,41,1.0
1,-195.54567,-7.09233,7.09233,157,Losses,-170.21592,166.16316,-11.14509,-0.06,-77.00244,-210.74352,-0.05,109.42452,22.29018,-0.051,Losses,41,Wins/Losses,Losses,41,1978.0,-57.75183,24.31656,-24.31656,-410.34195,-410.34195,-227.96775,,,,36.47484,,,2.02638,0,0.0
0,-16.21104,3.03957,-3.03957,154,October,-10.1319,5.06595,-9.11871,-0.191,-3.03957,-23.30337,-0.128,19.25061,15.19785,0.035,,2,Month,October,2,96.0,7.09233,-11.14509,11.14509,-40.5276,-40.5276,-3.03957,October,,,-2.02638,,,5.06595,0,0.0
1,-50.6595,-8.10552,8.10552,154,November,-27.35613,115.50366,23.30337,-0.035,-40.5276,-73.96287,-0.04,75.98925,53.69907,-0.006,,16,Month,November,9,783.0,-3.03957,3.03957,-3.03957,-70.9233,-70.9233,-30.3957,November,,,3.03957,,,16.21104,7,0.438
2,-34.44846,-7.09233,7.09233,154,December,-11.14509,47.61993,43.56717,0.057,-66.87054,-22.29018,0.006,119.55642,59.77821,-0.067,,16,Month,December,7,768.0,-26.34294,-18.23742,18.23742,58.76502,58.76502,-37.48803,December,,,23.30337,,,-13.17147,9,0.563
3,-58.76502,2.02638,-2.02638,154,January,-21.27699,94.22667,18.23742,-0.038,-13.17147,-35.46165,-0.022,68.89692,30.3957,-0.042,,16,Month,January,7,778.0,-3.03957,-6.07914,6.07914,-22.29018,-22.29018,-24.31656,January,,,15.19785,,,-6.07914,9,0.563
4,-13.17147,1.01319,-1.01319,154,February,-31.40889,57.75183,15.19785,-0.017,-2.02638,-7.09233,-0.007,38.50122,-15.19785,-0.135,,10,Month,February,6,485.0,-11.14509,-12.15828,12.15828,-14.18466,-14.18466,-42.55398,February,,,31.40889,,,-18.23742,4,0.4
