,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,2,6,4,0.667,,1,1,1.0,1.93,5,0.727,1,0021501207,28:41,0,29,2772,Trevor Ariza,5,0,4.04,F,42,HOU,Houston,1610612745,5,4,0.8
1,3,5,2,0.4,,3,1,0.333,1.4,6,0.429,0,0021501207,19:10,2,30,202700,Donatas Motiejunas,8,0,4.39,F,39,HOU,Houston,1610612745,2,1,0.5
2,3,8,5,0.625,,7,6,0.857,1.72,9,0.727,0,0021501207,26:56,4,24,2730,Dwight Howard,13,0,3.85,C,39,HOU,Houston,1610612745,3,3,1.0
3,4,0,0,0.0,,5,1,0.2,2.6,8,0.429,0,0021501207,34:39,1,53,201976,Patrick Beverley,9,3,4.52,G,71,HOU,Houston,1610612745,7,3,0.429
4,6,14,7,0.5,,1,0,0.0,2.04,3,0.571,1,0021501207,31:40,2,43,201935,James Harden,5,3,3.86,G,71,HOU,Houston,1610612745,7,5,0.714
5,2,1,0,0.0,,0,0,0.0,1.59,2,0.333,0,0021501207,23:16,0,18,1891,Jason Terry,2,0,4.1,,25,HOU,Houston,1610612745,5,2,0.4
6,3,0,0,0.0,,6,4,0.667,1.5,4,0.5,0,0021501207,23:21,0,50,2746,Josh Smith,4,1,3.85,,59,HOU,Houston,1610612745,6,3,0.5
7,4,1,1,1.0,,2,1,0.5,1.08,2,0.5,0,0021501207,14:46,0,13,201147,Corey Brewer,2,0,4.39,,17,HOU,Houston,1610612745,1,0,0.0
8,0,8,5,0.625,,2,2,1.0,1.2,10,0.625,0,0021501207,15:35,5,18,203991,Clint Capela,15,0,4.6,,27,HOU,Houston,1610612745,0,0,0.0
9,0,1,1,1.0,,0,0,0.0,0.38,1,0.5,0,0021501207,5:29,0,8,202726,Andrew Goudelock,1,1,4.14,,12,HOU,Houston,1610612745,1,0,0.0
10,0,1,1,1.0,,1,0,0.0,0.37,2,0.5,0,0021501207,5:29,1,4,203093,Terrence Jones,3,0,4.04,,7,HOU,Houston,1610612745,1,0,0.0
11,1,0,0,0.0,,3,1,0.333,0.37,4,1.0,0,0021501207,5:29,0,10,201563,Michael Beasley,4,0,4.04,,13,HOU,Houston,1610612745,1,1,1.0
12,0,1,0,0.0,,2,1,0.5,0.38,5,0.0,0,0021501207,5:29,0,3,203909,KJ McDaniels,5,0,4.14,,6,HOU,Houston,1610612745,1,0,0.0
13,3,5,2,0.4,,1,0,0.0,1.83,1,0.429,0,0021501207,26:43,1,16,203952,Andrew Wiggins,2,1,4.11,F,30,MIN,Minnesota,1610612750,2,1,0.5
14,1,6,3,0.5,,5,2,0.4,1.77,6,0.5,0,0021501207,25:18,2,25,203476,Gorgui Dieng,8,0,4.2,F,37,MIN,Minnesota,1610612750,2,1,0.5
15,1,6,3,0.5,,7,5,0.714,1.84,7,0.4,0,0021501207,27:29,2,31,1626157,Karl-Anthony Towns,9,0,4.02,C,48,MIN,Minnesota,1610612750,9,3,0.333
16,3,5,2,0.4,,0,0,0.0,1.99,1,0.571,0,0021501207,27:10,2,27,203897,Zach LaVine,3,1,4.4,G,44,MIN,Minnesota,1610612750,9,6,0.667
17,5,3,2,0.667,,2,2,1.0,1.63,3,0.333,0,0021501207,22:13,0,50,201937,Ricky Rubio,3,2,4.4,G,60,MIN,Minnesota,1610612750,3,0,0.0
18,1,3,1,0.333,,5,3,0.6,2.11,15,0.429,0,0021501207,29:12,7,59,202357,Nemanja Bjelica,22,4,4.34,,74,MIN,Minnesota,1610612750,4,2,0.5
19,1,0,0,0.0,,4,2,0.5,0.34,2,0.0,0,0021501207,4:51,2,4,202962,Greg Smith,4,0,4.11,,4,MIN,Minnesota,1610612750,0,0,0.0
20,5,2,1,0.5,,0,0,0.0,2.0,5,0.2,1,0021501207,25:47,0,54,1626145,Tyus Jones,5,2,4.65,,62,MIN,Minnesota,1610612750,3,0,0.0
21,3,0,0,0.0,,0,0,0.0,0.79,2,0.0,0,0021501207,12:53,1,15,2419,Tayshaun Prince,3,1,3.68,,18,MIN,Minnesota,1610612750,1,0,0.0
22,2,7,6,0.857,,0,0,0.0,1.6,3,0.692,1,0021501207,22:14,1,15,203498,Shabazz Muhammad,4,0,4.32,,33,MIN,Minnesota,1610612750,6,3,0.5
23,0,4,2,0.5,,1,1,1.0,0.62,3,0.333,0,0021501207,9:10,7,9,203940,Adreian Payne,10,0,4.1,,19,MIN,Minnesota,1610612750,2,0,0.0
24,0,1,0,0.0,,0,0,0.0,0.52,2,0.0,1,0021501207,7:00,1,7,204014,Damjan Rudez,3,0,4.45,,8,MIN,Minnesota,1610612750,0,0,0.0
