,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,2,0,,4,4,3,0.75,11,8,0.727,2,2,1.0,0021501207,28:41,0,3,2772,Trevor Ariza,19.0,21,4,F,1,HOU,Houston,1610612745,0
1,3,0,,2,2,1,0.5,7,3,0.429,0,0,0.0,0021501207,19:10,2,2,202700,Donatas Motiejunas,8.0,7,4,F,2,HOU,Houston,1610612745,2
2,3,1,,6,0,0,0.0,11,8,0.727,4,3,0.75,0021501207,26:56,2,2,2730,Dwight Howard,18.0,19,8,C,1,HOU,Houston,1610612745,4
3,4,2,,4,3,1,0.333,7,3,0.429,6,4,0.667,0021501207,34:39,1,2,201976,Patrick Beverley,18.0,11,5,G,1,HOU,Houston,1610612745,0
4,6,0,,1,7,5,0.714,21,12,0.571,7,5,0.714,0021501207,31:40,0,0,201935,James Harden,29.0,34,1,G,0,HOU,Houston,1610612745,3
5,2,0,,2,5,2,0.4,6,2,0.333,0,0,0.0,0021501207,23:16,0,1,1891,Jason Terry,8.0,6,2,,1,HOU,Houston,1610612745,0
6,3,0,,3,6,3,0.5,6,3,0.5,2,2,1.0,0021501207,23:21,0,6,2746,Josh Smith,22.0,11,3,,2,HOU,Houston,1610612745,1
7,4,1,,1,1,0,0.0,2,1,0.5,1,0,0.0,0021501207,14:46,0,1,201147,Corey Brewer,10.0,2,1,,2,HOU,Houston,1610612745,2
8,0,1,,8,0,0,0.0,8,5,0.625,1,0,0.0,0021501207,15:35,2,2,203991,Clint Capela,12.0,10,10,,1,HOU,Houston,1610612745,1
9,0,0,,0,1,0,0.0,2,1,0.5,0,0,0.0,0021501207,5:29,0,0,202726,Andrew Goudelock,-6.0,2,0,,0,HOU,Houston,1610612745,1
10,0,0,,1,0,0,0.0,2,1,0.5,0,0,0.0,0021501207,5:29,1,3,203093,Terrence Jones,-6.0,2,2,,0,HOU,Houston,1610612745,1
11,1,0,,2,0,0,0.0,1,1,1.0,3,2,0.667,0021501207,5:29,0,1,201563,Michael Beasley,-6.0,4,2,,0,HOU,Houston,1610612745,1
12,0,0,,1,1,0,0.0,2,0,0.0,0,0,0.0,0021501207,5:29,0,0,203909,KJ McDaniels,-6.0,0,1,,1,HOU,Houston,1610612745,1
13,3,0,,1,0,0,0.0,7,3,0.429,6,6,1.0,0021501207,26:43,0,3,203952,Andrew Wiggins,-20.0,12,1,F,1,MIN,Minnesota,1610612750,4
14,1,0,,3,0,0,0.0,8,4,0.5,6,5,0.833,0021501207,25:18,1,2,203476,Gorgui Dieng,-17.0,13,4,F,1,MIN,Minnesota,1610612750,0
15,1,1,,5,3,0,0.0,15,6,0.4,0,0,0.0,0021501207,27:29,0,3,1626157,Karl-Anthony Towns,-13.0,12,5,C,1,MIN,Minnesota,1610612750,1
16,3,1,,1,7,3,0.429,14,8,0.571,2,2,1.0,0021501207,27:10,1,1,203897,Zach LaVine,-22.0,21,2,G,1,MIN,Minnesota,1610612750,1
17,5,1,,2,2,0,0.0,6,2,0.333,2,0,0.0,0021501207,22:13,0,1,201937,Ricky Rubio,-17.0,4,2,G,2,MIN,Minnesota,1610612750,0
18,1,0,,10,3,1,0.333,7,3,0.429,4,4,1.0,0021501207,29:12,4,5,202357,Nemanja Bjelica,-14.0,11,14,,0,MIN,Minnesota,1610612750,2
19,1,0,,1,0,0,0.0,0,0,0.0,0,0,0.0,0021501207,4:51,1,0,202962,Greg Smith,-2.0,0,2,,0,MIN,Minnesota,1610612750,0
20,5,0,,3,1,0,0.0,5,1,0.2,0,0,0.0,0021501207,25:47,0,4,1626145,Tyus Jones,-7.0,2,3,,2,MIN,Minnesota,1610612750,2
21,3,0,,1,0,0,0.0,1,0,0.0,0,0,0.0,0021501207,12:53,1,0,2419,Tayshaun Prince,-2.0,0,2,,0,MIN,Minnesota,1610612750,1
22,2,0,,1,3,1,0.333,13,9,0.692,7,4,0.571,0021501207,22:14,0,0,203498,Shabazz Muhammad,-5.0,23,1,,1,MIN,Minnesota,1610612750,1
23,0,0,,2,1,0,0.0,6,2,0.333,6,3,0.5,0021501207,9:10,2,1,203940,Adreian Payne,-2.0,7,4,,3,MIN,Minnesota,1610612750,1
24,0,0,,0,1,0,0.0,1,0,0.0,0,0,0.0,0021501207,7:00,0,0,204014,Damjan Rudez,1.0,0,0,,0,MIN,Minnesota,1610612750,0
