,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021501195,27:26,0.071,0.0,0.0,0.105,0.647,0.571,0.478,0.417,0.846,1.0,0.0,0.111,0.444,0.53,0.091,0.286,0.267,977,Kobe Bryant,F,LAL,Los Angeles,1610612747,0.462
1,,0021501195,29:52,0.333,0.0,0.25,0.318,0.067,0.0,0.157,0.182,0.214,0.214,0.0,0.4,0.167,0.175,0.292,0.167,0.267,203944,Julius Randle,F,LAL,Los Angeles,1610612747,0.185
2,,0021501195,24:00,0.1,1.0,0.333,0.158,0.0,0.0,0.15,0.053,0.0,0.0,0.0,0.429,0.25,0.041,0.143,0.25,0.071,201579,Roy Hibbert,C,LAL,Los Angeles,1610612747,0.122
3,,0021501195,35:54,0.222,0.0,0.2,0.261,0.364,0.333,0.266,0.321,0.0,0.0,0.333,0.0,0.083,0.276,0.276,0.0,0.188,203903,Jordan Clarkson,G,LAL,Los Angeles,1610612747,0.235
4,,0021501195,35:03,0.25,0.0,0.25,0.16,0.167,0.286,0.086,0.071,0.111,0.125,0.333,0.182,0.357,0.101,0.179,0.429,0.278,1626156,D'Angelo Russell,G,LAL,Los Angeles,1610612747,0.13
5,,0021501195,25:03,0.438,0.0,0.0,0.111,0.063,0.125,0.205,0.154,0.125,0.0,0.0,0.0,0.0,0.138,0.087,0.2,0.0,1626273,Marcelo Huertas,,LAL,Los Angeles,1610612747,0.17
6,,0021501195,18:08,0.231,0.0,0.0,0.091,0.077,0.0,0.156,0.211,0.0,0.0,0.4,0.2,0.0,0.17,0.188,0.5,0.167,1626204,Larry Nance Jr.,,LAL,Los Angeles,1610612747,0.149
7,,0021501195,24:00,0.0,1.0,0.5,0.357,0.0,0.0,0.14,0.182,0.182,0.0,0.4,0.25,0.143,0.131,0.368,0.0,0.0,204028,Tarik Black,,LAL,Los Angeles,1610612747,0.125
8,,0021501195,18:08,0.1,0.0,0.0,0.091,0.273,0.4,0.147,0.188,0.0,0.0,0.0,0.4,0.0,0.205,0.067,0.0,0.0,1897,Metta World Peace,,LAL,Los Angeles,1610612747,0.127
9,,0021501195,2:26,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,203527,Ryan Kelly,,LAL,Los Angeles,1610612747,0.0
10,DNP - Coach's Decision                  ,0021501195,,,,,,,,,,,,,,,,,,,101138,Brandon Bass,,LAL,Los Angeles,1610612747,0.0
11,DNP - Coach's Decision                  ,0021501195,,,,,,,,,,,,,,,,,,,203135,Robert Sacre,,LAL,Los Angeles,1610612747,0.0
12,DNP - Coach's Decision                  ,0021501195,,,,,,,,,,,,,,,,,,,101150,Lou Williams,,LAL,Los Angeles,1610612747,0.0
13,,0021501195,37:38,0.125,0.25,0.333,0.24,0.2,0.2,0.173,0.19,0.0,0.0,0.071,0.154,0.0,0.173,0.179,0.091,0.273,2772,Trevor Ariza,F,HOU,Houston,1610612745,0.172
14,,0021501195,19:14,0.167,0.0,0.0,0.059,0.083,0.0,0.222,0.15,0.25,0.333,0.667,0.143,0.4,0.157,0.217,0.0,0.1,202700,Donatas Motiejunas,F,HOU,Houston,1610612745,0.2
15,,0021501195,33:04,0.045,0.75,0.0,0.423,0.0,0.0,0.104,0.108,0.273,0.143,0.222,0.273,0.25,0.097,0.371,0.2,0.0,2730,Dwight Howard,C,HOU,Houston,1610612745,0.102
16,,0021501195,41:23,0.5,0.0,0.333,0.111,0.368,0.375,0.352,0.304,0.5,0.5,0.067,0.143,0.385,0.333,0.095,0.364,0.364,201935,James Harden,G,HOU,Houston,1610612745,0.363
17,,0021501195,33:26,0.286,0.0,0.0,0.185,0.25,0.333,0.167,0.212,0.182,0.286,0.2,0.308,0.111,0.232,0.189,0.125,0.154,201976,Patrick Beverley,G,HOU,Houston,1610612745,0.166
18,,0021501195,9:25,0.2,0.0,1.0,0.25,0.125,0.0,0.238,0.333,0.0,0.0,0.4,0.0,0.0,0.273,0.333,0.5,0.25,201563,Michael Beasley,,HOU,Houston,1610612745,0.236
19,,0021501195,14:57,0.0,1.0,0.0,0.333,0.0,0.0,0.129,0.154,0.143,0.167,0.429,0.25,0.143,0.135,0.385,0.0,0.25,203991,Clint Capela,,HOU,Houston,1610612745,0.143
20,,0021501195,20:38,0.154,0.0,0.0,0.0,0.35,0.333,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.333,0.25,1891,Jason Terry,,HOU,Houston,1610612745,0.18
21,,0021501195,8:41,0.2,0.0,0.0,0.0,0.0,0.0,0.267,0.333,0.0,0.0,0.5,0.0,0.25,0.267,0.143,0.0,0.0,201147,Corey Brewer,,HOU,Houston,1610612745,0.207
22,,0021501195,19:21,0.077,0.0,0.0,0.273,0.238,0.222,0.146,0.143,0.222,0.167,0.0,0.4,0.375,0.158,0.188,0.333,0.0,2746,Josh Smith,,HOU,Houston,1610612745,0.153
23,,0021501195,1:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203909,KJ McDaniels,,HOU,Houston,1610612745,0.0
24,,0021501195,0:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202726,Andrew Goudelock,,HOU,Houston,1610612745,0.0
25,DNP - Coach's Decision                  ,0021501195,,,,,,,,,,,,,,,,,,,203093,Terrence Jones,,HOU,Houston,1610612745,0.0
