,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.192,22.0,1.25,,114.3,0.065,0.625,0021500613,36:00,1.5,115.8,0.037,104.91,0.121,202331,Paul George,0.052,F,IND,Indiana,1610612754,17.6,0.69,0.211
1,0.111,33.3,2.0,,113.0,0.2,0.667,0021500613,19:56,17.9,130.9,0.083,95.06,0.03,202730,Lavoy Allen,0.148,F,IND,Indiana,1610612754,16.7,0.667,0.095
2,0.063,11.3,0.5,,107.2,0.154,0.8,0021500613,19:24,32.0,139.2,0.1,100.21,0.072,201941,Jordan Hill,0.13,C,IND,Indiana,1610612754,22.5,0.765,0.192
3,0.0,0.0,0.0,,121.7,0.0,0.313,0021500613,16:31,-10.9,110.8,0.0,103.46,0.025,203922,Glenn Robinson,0.0,G,IND,Indiana,1610612754,0.0,0.41,0.284
4,0.278,17.7,1.25,,119.7,0.074,0.647,0021500613,31:55,-1.2,118.5,0.0,102.93,0.118,101145,Monta Ellis,0.039,G,IND,Indiana,1610612754,14.2,0.625,0.311
5,0.118,10.7,2.0,,126.0,0.143,0.846,0021500613,28:45,-10.3,115.7,0.125,108.35,0.194,1626167,Myles Turner,0.135,,IND,Indiana,1610612754,5.4,0.799,0.241
6,0.04,9.5,1.0,,126.2,0.154,0.5,0021500613,25:16,-1.6,124.6,0.048,106.8,0.084,101139,CJ Miles,0.106,,IND,Indiana,1610612754,9.5,0.704,0.155
7,0.438,36.0,7.0,,119.6,0.063,0.636,0021500613,18:02,21.5,141.2,0.0,106.36,0.176,1626202,Joe Young,0.038,,IND,Indiana,1610612754,5.1,0.656,0.311
8,0.077,25.0,2.0,,124.5,0.192,0.6,0021500613,27:35,-5.4,119.1,0.05,109.96,0.066,203524,Solomon Hill,0.13,,IND,Indiana,1610612754,12.5,0.6,0.092
9,0.105,40.0,0.0,,122.8,0.077,0.667,0021500613,16:37,29.8,152.6,0.077,102.16,0.06,201978,Chase Budinger,0.077,,IND,Indiana,1610612754,0.0,0.667,0.077
10,,0.0,,NWT - Personal Reasons                  ,,,,0021500613,,,,,,,201588,George Hill,,,IND,Indiana,1610612754,,,0.0
11,,0.0,,DND - Sore Left Heel                    ,,,,0021500613,,,,,,,101133,Ian Mahinmi,,,IND,Indiana,1610612754,,,0.0
12,,0.0,,DND - Right Ankle Sprain and Bruise     ,,,,0021500613,,,,,,,201155,Rodney Stuckey,,,IND,Indiana,1610612754,,,0.0
13,0.133,9.3,0.5,,121.1,0.143,0.591,0021500613,23:06,6.9,128.0,0.133,102.57,0.156,201568,Danilo Gallinari,0.138,F,DEN,Denver,1610612743,18.7,0.747,0.34
14,0.05,9.8,0.0,,123.0,0.158,0.714,0021500613,26:54,-3.8,119.2,0.316,102.46,0.15,202702,Kenneth Faried,0.237,F,DEN,Denver,1610612743,0.0,0.707,0.134
15,0.2,17.0,3.0,,114.4,0.0,0.591,0021500613,24:14,-2.9,111.5,0.1,101.74,0.181,203999,Nikola Jokic,0.057,C,DEN,Denver,1610612743,5.7,0.66,0.233
16,0.069,11.5,1.0,,125.6,0.167,0.708,0021500613,37:49,-2.8,122.9,0.0,103.22,0.109,203914,Gary Harris,0.075,G,DEN,Denver,1610612743,11.5,0.751,0.159
17,0.214,22.6,0.86,,114.6,0.138,0.4,0021500613,36:49,0.3,114.9,0.0,104.59,-0.004,1626144,Emmanuel Mudiay,0.067,G,DEN,Denver,1610612743,26.4,0.37,0.221
18,0.1,20.0,0.0,,128.8,0.2,0.438,0021500613,22:45,-8.6,120.2,0.087,106.04,0.073,201589,Darrell Arthur,0.132,,DEN,Denver,1610612743,0.0,0.438,0.132
19,0.429,38.1,0.0,,133.2,0.214,0.625,0021500613,16:34,-3.8,129.4,0.0,104.82,0.161,200751,Randy Foye,0.097,,DEN,Denver,1610612743,0.0,0.615,0.221
20,0.0,0.0,0.0,,135.0,0.167,0.5,0021500613,15:21,-9.5,125.4,0.143,108.13,0.03,203530,Joffrey Lauvergne,0.154,,DEN,Denver,1610612743,16.7,0.5,0.146
21,0.13,13.7,3.0,,129.0,0.16,0.559,0021500613,31:27,-11.1,117.9,0.067,106.5,0.119,203115,Will Barton,0.109,,DEN,Denver,1610612743,4.6,0.587,0.227
22,0.0,0.0,0.0,,148.7,0.0,0.0,0021500613,5:01,-47.8,100.9,0.143,113.06,-0.164,203930,Sean Kilpatrick,0.1,,DEN,Denver,1610612743,33.3,0.0,0.178
23,,0.0,,DNP - Coach's Decision                  ,,,,0021500613,,,,,,,2034,Mike Miller,,,DEN,Denver,1610612743,,,0.0
24,,0.0,,DNP - Coach's Decision                  ,,,,0021500613,,,,,,,2749,Jameer Nelson,,,DEN,Denver,1610612743,,,0.0
