,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.413,0.442,0021501199,28:54,0.594,0.283,0.304,0.117,0.229,202711,Bojan Bogdanovic,F,BKN,Brooklyn,1610612751,0.129
1,,0.444,0.222,0021501199,12:43,0.786,0.381,0.375,0.122,0.25,1626191,Chris McCullough,F,BKN,Brooklyn,1610612751,0.349
2,,0.294,0.0,0021501199,9:20,0.75,0.375,0.2,0.145,0.083,203080,Thomas Robinson,C,BKN,Brooklyn,1610612751,0.238
3,,0.444,0.289,0021501199,24:44,0.612,0.184,0.333,0.115,0.207,201961,Wayne Ellington,G,BKN,Brooklyn,1610612751,0.152
4,,0.486,0.304,0021501199,35:15,0.614,0.318,0.379,0.179,0.268,203499,Shane Larkin,G,BKN,Brooklyn,1610612751,0.141
5,,0.523,0.313,0021501199,33:56,0.592,0.3,0.3,0.203,0.171,203900,Markel Brown,,BKN,Brooklyn,1610612751,0.13
6,,0.482,0.246,0021501199,28:23,0.571,0.327,0.308,0.238,0.188,203930,Sean Kilpatrick,,BKN,Brooklyn,1610612751,0.123
7,,0.486,0.194,0021501199,18:53,0.804,0.464,0.727,0.336,0.2,203156,Henry Sims,,BKN,Brooklyn,1610612751,0.125
8,,0.463,0.294,0021501199,34:35,0.635,0.27,0.429,0.235,0.15,202388,Donald Sloan,,BKN,Brooklyn,1610612751,0.102
9,,0.414,0.276,0021501199,13:17,0.44,0.48,0.286,0.186,0.211,203508,Sergey Karasev,,BKN,Brooklyn,1610612751,0.095
10,DNP - Coach's Decision                  ,,,0021501199,,,,,,,1626178,Rondae Hollis-Jefferson,,BKN,Brooklyn,1610612751,
11,NWT - Rest                              ,,,0021501199,,,,,,,201572,Brook Lopez,,BKN,Brooklyn,1610612751,
12,,0.69,0.286,0021501199,22:28,0.526,0.205,0.217,0.193,0.444,202331,Paul George,F,IND,Indiana,1610612754,0.133
13,,0.87,0.435,0021501199,14:03,0.42,0.12,0.25,0.239,0.571,202730,Lavoy Allen,F,IND,Indiana,1610612754,0.146
14,,0.714,0.457,0021501199,21:36,0.5,0.154,0.174,0.175,0.467,101133,Ian Mahinmi,C,IND,Indiana,1610612754,0.186
15,,0.692,0.308,0021501199,21:41,0.55,0.2,0.182,0.168,0.471,101145,Monta Ellis,G,IND,Indiana,1610612754,0.162
16,,0.675,0.25,0021501199,21:04,0.539,0.211,0.19,0.193,0.375,201588,George Hill,G,IND,Indiana,1610612754,0.115
17,,0.593,0.444,0021501199,14:56,0.286,0.393,0.227,0.152,0.286,201155,Rodney Stuckey,,IND,Indiana,1610612754,0.175
18,,0.565,0.323,0021501199,15:51,0.339,0.484,0.182,0.13,0.2,101139,CJ Miles,,IND,Indiana,1610612754,0.134
19,,0.526,0.298,0021501199,31:38,0.468,0.306,0.189,0.112,0.31,203524,Solomon Hill,,IND,Indiana,1610612754,0.224
20,,0.564,0.319,0021501199,26:19,0.392,0.353,0.212,0.119,0.273,201951,Ty Lawson,,IND,Indiana,1610612754,0.215
21,,0.559,0.216,0021501199,26:24,0.433,0.385,0.219,0.115,0.292,1626167,Myles Turner,,IND,Indiana,1610612754,0.197
22,,0.553,0.263,0021501199,12:00,0.54,0.28,0.167,0.037,0.444,203922,Glenn Robinson,,IND,Indiana,1610612754,0.344
23,,0.553,0.263,0021501199,12:00,0.54,0.28,0.167,0.037,0.444,1626202,Joe Young,,IND,Indiana,1610612754,0.344
24,DNP - Coach's Decision                  ,,,0021501199,,,,,,,201941,Jordan Hill,,IND,Indiana,1610612754,
