,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,1.0,,0021500613,36:00,16.0,21.0,21.0,42.0,3.0,7.0,202331,Paul George,0.0,0.0,7.0,0.0,F,IND,Indiana,1610612754
1,0.0,0.0,,0021500613,19:56,10.0,11.0,12.0,24.0,5.0,0.0,202730,Lavoy Allen,2.0,0.0,2.0,4.0,F,IND,Indiana,1610612754
2,0.0,0.0,,0021500613,19:24,9.0,9.0,10.0,24.0,4.0,1.0,201941,Jordan Hill,0.0,0.0,1.0,8.0,C,IND,Indiana,1610612754
3,1.0,1.0,,0021500613,16:31,7.0,9.0,8.0,22.0,1.0,3.0,203922,Glenn Robinson,0.0,4.0,5.0,2.0,G,IND,Indiana,1610612754
4,1.0,1.0,,0021500613,31:55,13.0,17.0,17.0,40.0,4.0,5.0,101145,Monta Ellis,5.0,0.0,4.0,4.0,G,IND,Indiana,1610612754
5,2.0,0.0,,0021500613,28:45,20.0,12.0,11.0,30.0,3.0,4.0,1626167,Myles Turner,2.0,0.0,0.0,10.0,,IND,Indiana,1610612754
6,0.0,0.0,,0021500613,25:16,19.0,9.0,11.0,28.0,3.0,4.0,101139,CJ Miles,2.0,4.0,2.0,0.0,,IND,Indiana,1610612754
7,0.0,0.0,,0021500613,18:02,17.0,4.0,4.0,16.0,1.0,1.0,1626202,Joe Young,0.0,5.0,2.0,8.0,,IND,Indiana,1610612754
8,2.0,0.0,,0021500613,27:35,17.0,10.0,9.0,30.0,3.0,1.0,203524,Solomon Hill,0.0,3.0,3.0,0.0,,IND,Indiana,1610612754
9,0.0,1.0,,0021500613,16:37,12.0,3.0,2.0,14.0,2.0,0.0,201978,Chase Budinger,4.0,0.0,0.0,2.0,,IND,Indiana,1610612754
10,,,NWT - Personal Reasons                  ,0021500613,,,,,,,,201588,George Hill,,,,,,IND,Indiana,1610612754
11,,,DND - Sore Left Heel                    ,0021500613,,,,,,,,101133,Ian Mahinmi,,,,,,IND,Indiana,1610612754
12,,,DND - Right Ankle Sprain and Bruise     ,0021500613,,,,,,,,201155,Rodney Stuckey,,,,,,IND,Indiana,1610612754
13,0.0,0.0,,0021500613,23:06,9.0,4.0,16.0,20.0,6.0,7.0,201568,Danilo Gallinari,7.0,4.0,6.0,6.0,F,DEN,Denver,1610612743
14,0.0,0.0,,0021500613,26:54,13.0,4.0,20.0,24.0,1.0,4.0,202702,Kenneth Faried,6.0,2.0,2.0,10.0,F,DEN,Denver,1610612743
15,0.0,2.0,,0021500613,24:14,7.0,7.0,14.0,16.0,2.0,4.0,203999,Nikola Jokic,3.0,2.0,6.0,8.0,C,DEN,Denver,1610612743
16,0.0,0.0,,0021500613,37:49,13.0,10.0,22.0,26.0,2.0,4.0,203914,Gary Harris,3.0,8.0,2.0,12.0,G,DEN,Denver,1610612743
17,1.0,1.0,,0021500613,36:49,15.0,9.0,22.0,26.0,5.0,5.0,1626144,Emmanuel Mudiay,0.0,2.0,2.0,8.0,G,DEN,Denver,1610612743
18,0.0,1.0,,0021500613,22:45,4.0,12.0,9.0,14.0,2.0,0.0,201589,Darrell Arthur,2.0,0.0,0.0,0.0,,DEN,Denver,1610612743
19,1.0,1.0,,0021500613,16:34,2.0,9.0,6.0,14.0,1.0,2.0,200751,Randy Foye,2.0,0.0,0.0,2.0,,DEN,Denver,1610612743
20,1.0,1.0,,0021500613,15:21,2.0,9.0,6.0,18.0,2.0,1.0,203530,Joffrey Lauvergne,3.0,0.0,0.0,2.0,,DEN,Denver,1610612743
21,1.0,0.0,,0021500613,31:27,10.0,12.0,13.0,28.0,3.0,2.0,203115,Will Barton,2.0,3.0,3.0,6.0,,DEN,Denver,1610612743
22,0.0,0.0,,0021500613,5:01,0.0,4.0,2.0,4.0,2.0,0.0,203930,Sean Kilpatrick,0.0,0.0,0.0,0.0,,DEN,Denver,1610612743
23,,,DNP - Coach's Decision                  ,0021500613,,,,,,,,2034,Mike Miller,,,,,,DEN,Denver,1610612743
24,,,DNP - Coach's Decision                  ,0021500613,,,,,,,,2749,Jameer Nelson,,,,,,DEN,Denver,1610612743
