,AST,CFGA,CFGM,CFG_PCT,COMMENT,DFGA,DFGM,DFG_PCT,DIST,DRBC,FG_PCT,FTAST,GAME_ID,MIN,ORBC,PASS,PLAYER_ID,PLAYER_NAME,RBC,SAST,SPD,START_POSITION,TCHS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,UFGA,UFGM,UFG_PCT
0,5,5,2,0.4,,4,1,0.25,2.55,8,0.5,0,0021500613,36:00,1,50,202331,Paul George,9,1,4.23,F,78,IND,Indiana,1610612754,7,4,0.571
1,2,2,2,1.0,,5,2,0.4,1.33,5,0.667,0,0021500613,19:56,4,28,202730,Lavoy Allen,9,0,3.99,F,33,IND,Indiana,1610612754,1,0,0.0
2,1,5,4,0.8,,9,5,0.556,1.29,5,0.8,0,0021500613,19:24,4,23,201941,Jordan Hill,9,0,3.98,C,31,IND,Indiana,1610612754,0,0,0.0
3,0,3,0,0.0,,1,1,1.0,1.29,0,0.25,0,0021500613,16:31,0,11,203922,Glenn Robinson,0,0,4.68,G,23,IND,Indiana,1610612754,5,2,0.4
4,5,10,5,0.5,,1,0,0.0,2.27,5,0.588,2,0021500613,31:55,0,67,101145,Monta Ellis,5,1,4.25,G,93,IND,Indiana,1610612754,7,5,0.714
5,2,7,6,0.857,,15,6,0.4,1.99,8,0.846,1,0021500613,28:45,4,27,1626167,Myles Turner,12,0,4.14,,46,IND,Indiana,1610612754,6,5,0.833
6,1,3,1,0.333,,4,2,0.5,1.72,6,0.4,0,0021500613,25:16,1,21,101139,CJ Miles,7,0,4.07,,30,IND,Indiana,1610612754,2,1,0.5
7,7,5,4,0.8,,2,0,0.0,1.36,2,0.636,0,0021500613,18:02,1,29,1626202,Joe Young,3,0,4.51,,44,IND,Indiana,1610612754,6,3,0.5
8,2,2,1,0.5,,6,4,0.667,2.01,10,0.4,0,0021500613,27:35,1,42,203524,Solomon Hill,11,1,4.36,,49,IND,Indiana,1610612754,3,1,0.333
9,2,2,1,0.5,,0,0,0.0,1.13,2,0.667,0,0021500613,16:37,1,17,201978,Chase Budinger,3,0,4.07,,20,IND,Indiana,1610612754,1,1,1.0
10,0,0,0,0.0,NWT - Personal Reasons                  ,0,0,0.0,0.0,0,0.0,0,0021500613,0:00,0,0,201588,George Hill,0,0,0.0,,0,IND,Indiana,1610612754,0,0,0.0
11,0,0,0,0.0,DND - Sore Left Heel                    ,0,0,0.0,0.0,0,0.0,0,0021500613,0:00,0,0,101133,Ian Mahinmi,0,0,0.0,,0,IND,Indiana,1610612754,0,0,0.0
12,0,0,0,0.0,DND - Right Ankle Sprain and Bruise     ,0,0,0.0,0.0,0,0.0,0,0021500613,0:00,0,0,201155,Rodney Stuckey,0,0,0.0,,0,IND,Indiana,1610612754,0,0,0.0
13,2,3,1,0.333,,0,0,0.0,1.51,3,0.545,0,0021500613,23:06,2,28,201568,Danilo Gallinari,5,0,3.91,F,50,DEN,Denver,1610612743,8,5,0.625
14,1,4,2,0.5,,7,5,0.714,1.8,9,0.714,0,0021500613,26:54,8,37,202702,Kenneth Faried,17,0,4.0,F,46,DEN,Denver,1610612743,3,3,1.0
15,3,6,3,0.5,,4,3,0.75,1.73,4,0.545,0,0021500613,24:14,7,36,203999,Nikola Jokic,11,1,4.27,C,52,DEN,Denver,1610612743,5,3,0.6
16,2,5,4,0.8,,0,0,0.0,2.57,5,0.667,1,0021500613,37:49,0,18,203914,Gary Harris,5,1,4.06,G,34,DEN,Denver,1610612743,7,4,0.571
17,6,9,4,0.444,,2,1,0.5,2.81,6,0.4,1,0021500613,36:49,3,71,1626144,Emmanuel Mudiay,9,1,4.57,G,91,DEN,Denver,1610612743,1,0,0.0
18,2,4,0,0.0,,2,1,0.5,1.57,7,0.375,0,0021500613,22:45,4,25,201589,Darrell Arthur,11,0,4.12,,33,DEN,Denver,1610612743,4,3,0.75
19,6,5,3,0.6,,3,0,0.0,1.15,5,0.5,0,0021500613,16:34,0,25,200751,Randy Foye,5,0,4.15,,36,DEN,Denver,1610612743,3,1,0.333
20,0,4,1,0.25,,3,1,0.333,1.14,3,0.4,0,0021500613,15:21,4,18,203530,Joffrey Lauvergne,7,1,4.45,,23,DEN,Denver,1610612743,1,1,1.0
21,3,11,5,0.455,,2,1,0.5,2.24,11,0.471,1,0021500613,31:27,3,39,203115,Will Barton,14,2,4.26,,59,DEN,Denver,1610612743,6,3,0.5
22,0,1,0,0.0,,1,1,1.0,0.38,0,0.0,0,0021500613,5:01,1,0,203930,Sean Kilpatrick,1,0,4.55,,3,DEN,Denver,1610612743,1,0,0.0
23,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500613,0:00,0,0,2034,Mike Miller,0,0,0.0,,0,DEN,Denver,1610612743,0,0,0.0
24,0,0,0,0.0,DNP - Coach's Decision                  ,0,0,0.0,0.0,0,0.0,0,0021500613,0:00,0,0,2749,Jameer Nelson,0,0,0.0,,0,DEN,Denver,1610612743,0,0,0.0
