,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,5.0,0.0,,2.0,7.0,3.0,0.429,12.0,6.0,0.5,4.0,4.0,1.0,0021500613,36:00,1.0,3.0,202331,Paul George,-5.0,19.0,3.0,F,3.0,IND,Indiana,1610612754,4.0
1,2.0,0.0,,3.0,0.0,0.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,0021500613,19:56,1.0,5.0,202730,Lavoy Allen,4.0,4.0,4.0,F,0.0,IND,Indiana,1610612754,1.0
2,1.0,0.0,,2.0,0.0,0.0,0.0,5.0,4.0,0.8,2.0,1.0,0.5,0021500613,19:24,1.0,4.0,201941,Jordan Hill,7.0,9.0,3.0,C,1.0,IND,Indiana,1610612754,2.0
3,0.0,1.0,,0.0,3.0,1.0,0.333,8.0,2.0,0.25,4.0,3.0,0.75,0021500613,16:31,0.0,1.0,203922,Glenn Robinson,-9.0,8.0,0.0,G,1.0,IND,Indiana,1610612754,0.0
4,5.0,1.0,,2.0,3.0,2.0,0.667,17.0,10.0,0.588,5.0,2.0,0.4,0021500613,31:55,0.0,4.0,101145,Monta Ellis,-5.0,24.0,2.0,G,1.0,IND,Indiana,1610612754,4.0
5,2.0,2.0,,4.0,0.0,0.0,0.0,13.0,11.0,0.846,6.0,3.0,0.5,0021500613,28:45,3.0,3.0,1626167,Myles Turner,-11.0,25.0,7.0,,1.0,IND,Indiana,1610612754,1.0
6,1.0,0.0,,4.0,4.0,1.0,0.25,5.0,2.0,0.4,8.0,7.0,0.875,0021500613,25:16,1.0,3.0,101139,CJ Miles,-3.0,12.0,5.0,,1.0,IND,Indiana,1610612754,1.0
7,7.0,0.0,,1.0,0.0,0.0,0.0,11.0,7.0,0.636,1.0,1.0,1.0,0021500613,18:02,0.0,1.0,1626202,Joe Young,6.0,15.0,1.0,,0.0,IND,Indiana,1610612754,1.0
8,2.0,2.0,,5.0,3.0,2.0,0.667,5.0,2.0,0.4,0.0,0.0,0.0,0021500613,27:35,1.0,3.0,203524,Solomon Hill,-6.0,6.0,6.0,,1.0,IND,Indiana,1610612754,1.0
9,2.0,0.0,,1.0,0.0,0.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,0021500613,16:37,1.0,2.0,201978,Chase Budinger,7.0,4.0,2.0,,1.0,IND,Indiana,1610612754,0.0
10,,,NWT - Personal Reasons                  ,,,,,,,,,,,0021500613,,,,201588,George Hill,,,,,,IND,Indiana,1610612754,
11,,,DND - Sore Left Heel                    ,,,,,,,,,,,0021500613,,,,101133,Ian Mahinmi,,,,,,IND,Indiana,1610612754,
12,,,DND - Right Ankle Sprain and Bruise     ,,,,,,,,,,,0021500613,,,,201155,Rodney Stuckey,,,,,,IND,Indiana,1610612754,
13,2.0,0.0,,2.0,4.0,1.0,0.25,11.0,6.0,0.545,10.0,10.0,1.0,0021500613,23:06,2.0,6.0,201568,Danilo Gallinari,5.0,23.0,4.0,F,2.0,DEN,Denver,1610612743,4.0
14,1.0,0.0,,3.0,0.0,0.0,0.0,7.0,5.0,0.714,5.0,3.0,0.6,0021500613,26:54,6.0,1.0,202702,Kenneth Faried,3.0,13.0,9.0,F,1.0,DEN,Denver,1610612743,0.0
15,3.0,0.0,,0.0,3.0,1.0,0.333,11.0,6.0,0.545,6.0,5.0,0.833,0021500613,24:14,2.0,2.0,203999,Nikola Jokic,4.0,18.0,2.0,C,4.0,DEN,Denver,1610612743,1.0
16,2.0,0.0,,4.0,3.0,1.0,0.333,12.0,8.0,0.667,3.0,3.0,1.0,0021500613,37:49,0.0,2.0,203914,Gary Harris,6.0,20.0,4.0,G,0.0,DEN,Denver,1610612743,2.0
17,6.0,1.0,,4.0,1.0,0.0,0.0,10.0,4.0,0.4,8.0,2.0,0.25,0021500613,36:49,0.0,5.0,1626144,Emmanuel Mudiay,4.0,10.0,4.0,G,3.0,DEN,Denver,1610612743,7.0
18,2.0,0.0,,3.0,1.0,1.0,1.0,8.0,3.0,0.375,0.0,0.0,0.0,0021500613,22:45,2.0,2.0,201589,Darrell Arthur,-1.0,7.0,5.0,,2.0,DEN,Denver,1610612743,0.0
19,6.0,1.0,,3.0,4.0,2.0,0.5,8.0,4.0,0.5,4.0,2.0,0.5,0021500613,16:34,0.0,1.0,200751,Randy Foye,1.0,12.0,3.0,,0.0,DEN,Denver,1610612743,0.0
20,0.0,1.0,,2.0,2.0,1.0,0.5,5.0,2.0,0.4,0.0,0.0,0.0,0021500613,15:21,2.0,2.0,203530,Joffrey Lauvergne,-2.0,5.0,4.0,,0.0,DEN,Denver,1610612743,1.0
21,3.0,1.0,,4.0,6.0,3.0,0.5,17.0,8.0,0.471,2.0,2.0,1.0,0021500613,31:27,2.0,3.0,203115,Will Barton,-2.0,21.0,6.0,,0.0,DEN,Denver,1610612743,1.0
22,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0021500613,5:01,1.0,2.0,203930,Sean Kilpatrick,-3.0,0.0,1.0,,0.0,DEN,Denver,1610612743,1.0
23,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500613,,,,2034,Mike Miller,,,,,,DEN,Denver,1610612743,
24,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500613,,,,2749,Jameer Nelson,,,,,,DEN,Denver,1610612743,
