,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021500613,36:00,0.294,0.0,0.333,0.1,0.412,0.429,0.207,0.188,0.16,0.235,0.125,0.12,0.318,0.216,0.107,0.375,0.267,202331,Paul George,F,IND,Indiana,1610612754,0.211
1,,0021500613,19:56,0.2,0.0,0.0,0.375,0.0,0.0,0.097,0.1,0.0,0.0,0.25,0.417,0.0,0.08,0.333,0.0,0.111,202730,Lavoy Allen,F,IND,Indiana,1610612754,0.095
2,,0021500613,19:24,0.091,0.0,0.0,0.286,0.0,0.0,0.161,0.2,0.286,0.167,0.333,0.333,0.143,0.17,0.3,0.25,0.286,201941,Jordan Hill,C,IND,Indiana,1610612754,0.192
3,,0021500613,16:31,0.0,0.5,0.5,0.0,0.429,0.25,0.333,0.154,0.4,0.429,0.0,0.077,0.375,0.216,0.0,0.2,0.0,203922,Glenn Robinson,G,IND,Indiana,1610612754,0.284
4,,0021500613,31:55,0.313,0.5,0.333,0.125,0.167,0.25,0.321,0.357,0.227,0.133,0.0,0.174,0.294,0.304,0.083,0.143,0.333,101145,Monta Ellis,G,IND,Indiana,1610612754,0.311
5,,0021500613,28:45,0.125,0.5,0.0,0.235,0.0,0.0,0.255,0.393,0.261,0.2,0.5,0.167,0.211,0.342,0.304,0.167,0.125,1626167,Myles Turner,,IND,Indiana,1610612754,0.241
6,,0021500613,25:16,0.063,0.0,0.0,0.267,0.5,0.5,0.111,0.074,0.421,0.538,0.167,0.214,0.25,0.174,0.238,0.2,0.125,101139,CJ Miles,,IND,Indiana,1610612754,0.155
7,,0021500613,18:02,0.538,0.0,0.0,0.111,0.0,0.0,0.333,0.304,0.111,0.143,0.0,0.143,0.1,0.273,0.1,0.0,0.333,1626202,Joe Young,,IND,Indiana,1610612754,0.311
8,,0021500613,27:35,0.118,0.667,0.0,0.313,0.333,0.667,0.102,0.071,0.0,0.0,0.333,0.2,0.056,0.081,0.316,0.167,0.167,203524,Solomon Hill,,IND,Indiana,1610612754,0.092
9,,0021500613,16:37,0.154,0.0,0.5,0.143,0.0,0.0,0.086,0.095,0.0,0.0,0.2,0.333,0.0,0.077,0.167,0.5,0.0,201978,Chase Budinger,,IND,Indiana,1610612754,0.077
10,NWT - Personal Reasons                  ,0021500613,,,,,,,,,,,,,,,,,,,201588,George Hill,,IND,Indiana,1610612754,0.0
11,DND - Sore Left Heel                    ,0021500613,,,,,,,,,,,,,,,,,,,101133,Ian Mahinmi,,IND,Indiana,1610612754,0.0
12,DND - Right Ankle Sprain and Bruise     ,0021500613,,,,,,,,,,,,,,,,,,,201155,Rodney Stuckey,,IND,Indiana,1610612754,0.0
13,,0021500613,23:06,0.143,0.0,0.0,0.2,0.444,0.333,0.297,0.286,0.4,0.526,0.286,0.462,0.35,0.359,0.235,0.222,0.444,201568,Danilo Gallinari,F,DEN,Denver,1610612743,0.34
14,,0021500613,26:54,0.077,0.0,0.0,0.231,0.0,0.0,0.156,0.2,0.208,0.188,0.667,0.077,0.2,0.183,0.409,0.143,0.0,202702,Kenneth Faried,F,DEN,Denver,1610612743,0.134
15,,0021500613,24:14,0.25,0.0,0.667,0.0,0.375,1.0,0.25,0.286,0.3,0.294,0.222,0.2,0.267,0.3,0.095,0.444,0.1,203999,Nikola Jokic,C,DEN,Denver,1610612743,0.233
16,,0021500613,37:49,0.111,0.0,0.0,0.222,0.188,0.167,0.174,0.216,0.097,0.125,0.0,0.095,0.174,0.192,0.133,0.0,0.143,203914,Gary Harris,G,DEN,Denver,1610612743,0.159
17,,0021500613,36:49,0.333,0.333,0.333,0.2,0.071,0.0,0.159,0.125,0.222,0.077,0.0,0.25,0.179,0.106,0.129,0.25,0.5,1626144,Emmanuel Mudiay,G,DEN,Denver,1610612743,0.221
18,,0021500613,22:45,0.167,0.0,0.25,0.25,0.077,0.2,0.163,0.13,0.0,0.0,0.222,0.154,0.0,0.113,0.238,0.4,0.0,201589,Darrell Arthur,,DEN,Denver,1610612743,0.132
19,,0021500613,16:34,0.667,0.333,0.333,0.273,0.25,0.25,0.216,0.222,0.571,0.5,0.0,0.111,0.4,0.25,0.167,0.0,0.0,200751,Randy Foye,,DEN,Denver,1610612743,0.221
20,,0021500613,15:21,0.0,1.0,0.333,0.222,0.133,0.143,0.147,0.118,0.0,0.0,0.333,0.25,0.167,0.114,0.267,0.0,0.25,203530,Joffrey Lauvergne,,DEN,Denver,1610612743,0.146
21,,0021500613,31:27,0.2,0.25,0.0,0.235,0.3,0.333,0.27,0.258,0.087,0.143,0.182,0.143,0.118,0.247,0.214,0.0,0.1,203115,Will Barton,,DEN,Denver,1610612743,0.227
22,,0021500613,5:01,0.0,0.0,0.0,0.0,0.333,0.0,0.143,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.143,0.0,0.5,203930,Sean Kilpatrick,,DEN,Denver,1610612743,0.178
23,DNP - Coach's Decision                  ,0021500613,,,,,,,,,,,,,,,,,,,2034,Mike Miller,,DEN,Denver,1610612743,0.0
24,DNP - Coach's Decision                  ,0021500613,,,,,,,,,,,,,,,,,,,2749,Jameer Nelson,,DEN,Denver,1610612743,0.0
