,AST_PCT,AST_RATIO,AST_TOV,COMMENT,DEF_RATING,DREB_PCT,EFG_PCT,GAME_ID,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT
0,0.154,23.9,0.0,,137.7,0.069,0.636,0021500624,38:13,-3.4,134.3,0.0,95.13,0.102,2772,Trevor Ariza,0.034,F,HOU,Houston,1610612745,0.0,0.705,0.153
1,0.0,0.0,0.0,,121.2,0.188,0.429,0021500624,16:47,-25.2,95.9,0.0,100.56,0.008,203991,Clint Capela,0.088,F,HOU,Houston,1610612745,0.0,0.4,0.216
2,0.143,12.5,1.0,,132.3,0.432,0.688,0021500624,45:29,-0.4,131.9,0.263,96.69,0.221,2730,Dwight Howard,0.347,C,HOU,Houston,1610612745,12.5,0.753,0.268
3,0.296,27.9,2.67,,138.6,0.086,0.5,0021500624,40:21,-18.7,119.9,0.0,97.09,0.068,201935,James Harden,0.04,G,HOU,Houston,1610612745,10.4,0.564,0.216
4,0.0,0.0,0.0,,120.9,0.0,0.0,0021500624,16:19,-8.1,112.8,0.05,96.9,-0.107,201976,Patrick Beverley,0.029,G,HOU,Houston,1610612745,33.3,0.0,0.075
5,0.143,5.9,0.33,,130.5,0.238,0.4,0021500624,19:39,-50.5,79.9,0.12,104.99,0.04,203093,Terrence Jones,0.174,,HOU,Houston,1610612745,17.6,0.382,0.31
6,0.294,56.3,5.0,,124.9,0.0,0.0,0021500624,21:59,-11.6,113.3,0.063,97.99,0.027,201951,Ty Lawson,0.028,,HOU,Houston,1610612745,11.3,0.174,0.081
7,0.231,27.3,0.0,,103.5,0.158,0.5,0021500624,20:22,7.8,111.3,0.056,106.41,0.107,201147,Corey Brewer,0.108,,HOU,Houston,1610612745,0.0,0.5,0.154
8,0.313,23.8,5.0,,123.5,0.231,0.767,0021500624,21:52,22.6,146.1,0.0,99.48,0.195,201977,Marcus Thornton,0.097,,HOU,Houston,1610612745,4.8,0.767,0.317
9,0.0,0.0,0.0,,100.0,0.0,0.0,0021500624,4:47,63.9,163.9,0.0,99.14,0.07,1626149,Montrezl Harrell,0.0,,HOU,Houston,1610612745,0.0,1.136,0.075
10,0.0,0.0,0.0,,0.0,0.0,0.0,0021500624,0:27,0.0,0.0,0.0,53.93,0.0,203909,KJ McDaniels,0.0,,HOU,Houston,1610612745,0.0,0.0,0.0
11,0.056,12.7,1.0,,131.4,0.063,0.6,0021500624,18:45,0.8,132.2,0.0,102.91,0.026,1891,Jason Terry,0.034,,HOU,Houston,1610612745,12.7,0.595,0.148
12,0.105,41.0,0.0,,140.4,0.111,1.0,0021500624,20:30,6.4,146.8,0.0,94.63,0.038,201601,Luc Mbah a Moute,0.063,F,LAC,Los Angeles,1610612746,0.0,0.868,0.068
13,0.056,8.8,0.0,,119.6,0.192,0.611,0021500624,25:57,27.7,147.3,0.0,92.09,0.066,1718,Paul Pierce,0.106,F,LAC,Los Angeles,1610612746,0.0,0.581,0.194
14,0.0,0.0,0.0,,126.0,0.342,0.857,0021500624,41:01,7.6,133.6,0.063,97.4,0.113,201599,DeAndre Jordan,0.214,C,LAC,Los Angeles,1610612746,0.0,0.76,0.123
15,0.083,7.7,2.0,,119.7,0.0,0.816,0021500624,38:30,23.4,143.1,0.031,96.37,0.168,200755,JJ Redick,0.014,G,LAC,Los Angeles,1610612746,3.9,0.871,0.289
16,0.414,33.4,2.4,,117.7,0.146,0.7,0021500624,42:31,19.1,136.8,0.0,97.67,0.185,101108,Chris Paul,0.077,G,LAC,Los Angeles,1610612746,13.9,0.738,0.262
17,0.143,14.5,0.0,,104.3,0.1,0.6,0021500624,11:30,2.8,107.1,0.25,102.64,0.189,202332,Cole Aldrich,0.182,,LAC,Los Angeles,1610612746,0.0,0.68,0.195
18,0.227,25.0,0.0,,120.0,0.0,0.567,0021500624,36:09,-1.6,118.4,0.0,100.26,0.102,2037,Jamal Crawford,0.0,,LAC,Los Angeles,1610612746,0.0,0.567,0.183
19,0.267,22.2,2.0,,107.9,0.235,0.458,0021500624,20:59,6.3,114.2,0.095,106.95,0.101,202325,Wesley Johnson,0.158,,LAC,Los Angeles,1610612746,11.1,0.458,0.254
20,0.0,0.0,0.0,,123.7,0.067,0.3,0021500624,17:24,-32.9,90.8,0.0,108.2,-0.044,203085,Austin Rivers,0.03,,LAC,Los Angeles,1610612746,16.7,0.3,0.141
21,0.1,16.7,0.33,,135.5,0.0,0.0,0021500624,10:29,-39.7,95.8,0.125,103.89,-0.074,203143,Pablo Prigioni,0.067,,LAC,Los Angeles,1610612746,50.0,0.0,0.185
22,,0.0,,DNP - Coach's Decision                  ,,,,0021500624,,,,,,,2746,Josh Smith,,,LAC,Los Angeles,1610612746,,,0.0
23,,0.0,,DNP - Coach's Decision                  ,,,,0021500624,,,,,,,202362,Lance Stephenson,,,LAC,Los Angeles,1610612746,,,0.0
24,,0.0,,DNP - Coach's Decision                  ,,,,0021500624,,,,,,,203912,CJ Wilcox,,,LAC,Los Angeles,1610612746,,,0.0
