,COMMENT,EFG_PCT,FTA_RATE,GAME_ID,MIN,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT,OPP_TOV_PCT,OREB_PCT,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TM_TOV_PCT
0,,0.386,0.25,0021500505,22:60,0.654,0.333,0.125,0.105,0.2,203960,JaKarr Sampson,F,PHI,Philadelphia,1610612755,0.123
1,,0.51,0.102,0021500505,25:36,0.682,0.386,0.167,0.093,0.231,203924,Jerami Grant,F,PHI,Philadelphia,1610612755,0.15
2,,0.402,0.171,0021500505,22:20,0.671,0.268,0.188,0.085,0.2,203457,Nerlens Noel,C,PHI,Philadelphia,1610612755,0.17
3,,0.419,0.097,0021500505,15:03,0.729,0.542,0.222,0.126,0.211,203477,Isaiah Canaan,G,PHI,Philadelphia,1610612755,0.096
4,,0.466,0.159,0021500505,23:08,0.683,0.268,0.118,0.084,0.208,202397,Ish Smith,G,PHI,Philadelphia,1610612755,0.143
5,,0.519,0.269,0021500505,28:18,0.75,0.271,0.125,0.162,0.161,203917,Nik Stauskas,,PHI,Philadelphia,1610612755,0.101
6,,0.69,0.276,0021500505,17:53,0.768,0.393,0.091,0.112,0.231,1626143,Jahlil Okafor,,PHI,Philadelphia,1610612755,0.145
7,,0.672,0.125,0021500505,17:11,0.64,0.52,0.2,0.148,0.154,203496,Robert Covington,,PHI,Philadelphia,1610612755,0.059
8,,0.629,0.114,0021500505,18:33,0.655,0.483,0.333,0.179,0.176,204456,TJ McConnell,,PHI,Philadelphia,1610612755,0.056
9,,0.5,0.267,0021500505,17:12,0.613,0.097,0.364,0.241,0.111,203088,Kendall Marshall,,PHI,Philadelphia,1610612755,0.137
10,,0.517,0.276,0021500505,16:01,0.625,0.107,0.333,0.255,0.118,201171,Carl Landry,,PHI,Philadelphia,1610612755,0.116
11,,0.517,0.207,0021500505,15:46,0.648,0.111,0.375,0.262,0.118,1626158,Richaun Holmes,,PHI,Philadelphia,1610612755,0.119
12,DND - Right eye corneal abrasion.       ,,,0021500505,,,,,,,203138,Hollis Thompson,,PHI,Philadelphia,1610612755,
13,,0.7,0.25,0021500505,22:37,0.463,0.171,0.174,0.183,0.176,201601,Luc Mbah a Moute,F,LAC,Los Angeles,1610612746,0.108
14,,0.659,0.39,0021500505,24:19,0.5,0.156,0.208,0.157,0.167,202325,Wesley Johnson,F,LAC,Los Angeles,1610612746,0.1
15,,0.716,0.333,0021500505,29:52,0.536,0.125,0.207,0.145,0.15,201599,DeAndre Jordan,C,LAC,Los Angeles,1610612746,0.098
16,,0.69,0.357,0021500505,24:07,0.512,0.163,0.174,0.176,0.176,200755,JJ Redick,G,LAC,Los Angeles,1610612746,0.099
17,,0.674,0.326,0021500505,26:02,0.49,0.143,0.222,0.163,0.158,101108,Chris Paul,G,LAC,Los Angeles,1610612746,0.092
18,,0.821,0.464,0021500505,17:56,0.544,0.235,0.19,0.082,0.0,2037,Jamal Crawford,,LAC,Los Angeles,1610612746,0.172
19,,0.659,0.268,0021500505,24:30,0.532,0.213,0.185,0.061,0.231,203085,Austin Rivers,,LAC,Los Angeles,1610612746,0.189
20,,0.686,0.286,0021500505,21:58,0.538,0.25,0.13,0.068,0.273,203143,Pablo Prigioni,,LAC,Los Angeles,1610612746,0.216
21,,0.722,0.333,0021500505,11:31,0.318,0.364,0.167,0.082,0.143,202332,Cole Aldrich,,LAC,Los Angeles,1610612746,0.234
22,,0.653,0.222,0021500505,21:14,0.463,0.25,0.16,0.069,0.25,202362,Lance Stephenson,,LAC,Los Angeles,1610612746,0.198
23,,0.469,0.125,0021500505,9:24,0.647,0.118,0.143,0.056,0.5,1626183,Branden Dawson,,LAC,Los Angeles,1610612746,0.224
24,,0.5,0.182,0021500505,6:31,0.773,0.182,0.0,0.078,0.667,2746,Josh Smith,,LAC,Los Angeles,1610612746,0.233
25,DNP - Coach's Decision                  ,,,0021500505,,,,,,,1718,Paul Pierce,,LAC,Los Angeles,1610612746,
