,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,2.0,2.0,,0021500505,22:60,0.0,13.0,15.0,22.0,3.0,0.0,203960,JaKarr Sampson,2.0,0.0,0.0,6.0,F,PHI,Philadelphia,1610612755
1,0.0,1.0,,0021500505,25:36,2.0,14.0,20.0,26.0,2.0,3.0,203924,Jerami Grant,0.0,0.0,0.0,4.0,F,PHI,Philadelphia,1610612755
2,1.0,0.0,,0021500505,22:20,2.0,14.0,20.0,26.0,2.0,3.0,203457,Nerlens Noel,6.0,7.0,2.0,10.0,C,PHI,Philadelphia,1610612755
3,0.0,1.0,,0021500505,15:03,2.0,6.0,5.0,18.0,3.0,0.0,203477,Isaiah Canaan,0.0,0.0,0.0,0.0,G,PHI,Philadelphia,1610612755
4,0.0,0.0,,0021500505,23:08,2.0,11.0,17.0,30.0,2.0,1.0,202397,Ish Smith,0.0,0.0,0.0,2.0,G,PHI,Philadelphia,1610612755
5,0.0,0.0,,0021500505,28:18,4.0,7.0,11.0,36.0,3.0,2.0,203917,Nik Stauskas,0.0,9.0,6.0,0.0,,PHI,Philadelphia,1610612755
6,0.0,0.0,,0021500505,17:53,0.0,11.0,12.0,24.0,0.0,3.0,1626143,Jahlil Okafor,2.0,0.0,6.0,18.0,,PHI,Philadelphia,1610612755
7,1.0,1.0,,0021500505,17:11,2.0,4.0,3.0,14.0,2.0,0.0,203496,Robert Covington,0.0,2.0,0.0,2.0,,PHI,Philadelphia,1610612755
8,0.0,0.0,,0021500505,18:33,4.0,6.0,2.0,14.0,2.0,2.0,204456,TJ McConnell,0.0,0.0,0.0,0.0,,PHI,Philadelphia,1610612755
9,0.0,0.0,,0021500505,17:12,4.0,10.0,7.0,10.0,0.0,0.0,203088,Kendall Marshall,0.0,0.0,0.0,0.0,,PHI,Philadelphia,1610612755
10,0.0,0.0,,0021500505,16:01,4.0,7.0,4.0,10.0,2.0,3.0,201171,Carl Landry,0.0,0.0,2.0,6.0,,PHI,Philadelphia,1610612755
11,0.0,1.0,,0021500505,15:46,4.0,7.0,4.0,10.0,0.0,0.0,1626158,Richaun Holmes,0.0,6.0,6.0,6.0,,PHI,Philadelphia,1610612755
12,,,DND - Right eye corneal abrasion.       ,0021500505,,,,,,,,203138,Hollis Thompson,,,,,,PHI,Philadelphia,1610612755
13,1.0,1.0,,0021500505,22:37,6.0,10.0,7.0,26.0,1.0,1.0,201601,Luc Mbah a Moute,0.0,4.0,2.0,6.0,F,LAC,Los Angeles,1610612746
14,2.0,0.0,,0021500505,24:19,8.0,7.0,6.0,30.0,2.0,0.0,202325,Wesley Johnson,0.0,3.0,6.0,0.0,F,LAC,Los Angeles,1610612746
15,1.0,0.0,,0021500505,29:52,10.0,10.0,9.0,36.0,2.0,5.0,201599,DeAndre Jordan,2.0,4.0,6.0,18.0,C,LAC,Los Angeles,1610612746
16,0.0,1.0,,0021500505,24:07,6.0,10.0,7.0,26.0,1.0,3.0,200755,JJ Redick,0.0,3.0,6.0,0.0,G,LAC,Los Angeles,1610612746
17,0.0,0.0,,0021500505,26:02,10.0,10.0,7.0,30.0,2.0,3.0,101108,Chris Paul,0.0,2.0,0.0,6.0,G,LAC,Los Angeles,1610612746
18,0.0,0.0,,0021500505,17:56,4.0,8.0,11.0,16.0,0.0,3.0,2037,Jamal Crawford,0.0,2.0,2.0,4.0,,LAC,Los Angeles,1610612746
19,0.0,0.0,,0021500505,24:30,4.0,14.0,15.0,28.0,1.0,1.0,203085,Austin Rivers,0.0,3.0,0.0,4.0,,LAC,Los Angeles,1610612746
20,0.0,0.0,,0021500505,21:58,0.0,14.0,15.0,24.0,2.0,0.0,203143,Pablo Prigioni,0.0,0.0,0.0,0.0,,LAC,Los Angeles,1610612746
21,2.0,1.0,,0021500505,11:31,0.0,8.0,9.0,8.0,5.0,1.0,202332,Cole Aldrich,2.0,0.0,0.0,8.0,,LAC,Los Angeles,1610612746
22,0.0,0.0,,0021500505,21:14,2.0,14.0,13.0,24.0,0.0,4.0,202362,Lance Stephenson,2.0,1.0,2.0,0.0,,LAC,Los Angeles,1610612746
23,0.0,1.0,,0021500505,9:24,0.0,9.0,7.0,12.0,0.0,0.0,1626183,Branden Dawson,0.0,0.0,0.0,2.0,,LAC,Los Angeles,1610612746
24,0.0,0.0,,0021500505,6:31,0.0,6.0,4.0,10.0,1.0,0.0,2746,Josh Smith,0.0,0.0,0.0,0.0,,LAC,Los Angeles,1610612746
25,,,DNP - Coach's Decision                  ,0021500505,,,,,,,,1718,Paul Pierce,,,,,,LAC,Los Angeles,1610612746
