,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
0,134.75427,203.65119,-203.65119,-135.76746,284.70639,154.00488,0.026,-189.46653,127.66194,0.031,98.27943,-53.69907,-0.058,82,,,Overall,2015-16,29,3966.0,-250.25793,-97.26624,97.26624,355.62969,355.62969,-386.02539,127.66194,LAC,1610612746.0,Los Angeles Clippers,-199.59843,53,0.646
0,21.27699,8.10552,-8.10552,24.31656,62.81778,38.50122,0.068,-23.30337,18.23742,0.042,24.31656,5.06595,-0.088,30,201599 - 201601 - 101108 - 1718 - 200755,"Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Pierce,Paul - Redick,JJ",Lineups,,9,375.065,-6.07914,-18.23742,18.23742,80.04201,80.04201,18.23742,2.02638,,,,2.02638,21,0.7
1,49.64631,-5.06595,5.06595,32.42208,3.03957,13.17147,0.11,-2.02638,40.5276,0.084,31.40889,4.05276,-0.168,18,201933 - 201599 - 201601 - 101108 - 200755,"Griffin,Blake - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",Lineups,,4,273.441666667,10.1319,-38.50122,38.50122,98.27943,98.27943,42.55398,3.03957,,,,-12.15828,14,0.778
2,-15.19785,7.09233,-7.09233,-48.63312,20.2638,-4.05276,-0.103,-1.01319,-25.32975,-0.078,-37.48803,-24.31656,0.071,23,202332 - 2037 - 202325 - 203143 - 203085,"Aldrich,Cole - Crawford,Jamal - Johnson,Wesley - Prigioni,Pablo - Rivers,Austin",Lineups,,9,187.153333333,-28.36932,38.50122,-38.50122,-79.02882,-79.02882,-77.00244,12.15828,,,,-20.2638,14,0.609
3,8.10552,9.11871,-9.11871,-8.10552,39.51441,13.17147,-0.002,-20.2638,12.15828,0.072,27.35613,12.15828,-0.1,29,202325 - 201599 - 201601 - 101108 - 200755,"Johnson,Wesley - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",Lineups,,6,158.09,-17.22423,-13.17147,13.17147,49.64631,49.64631,-25.32975,20.2638,,,,-20.2638,23,0.793
4,32.42208,19.25061,-19.25061,17.22423,-28.36932,-3.03957,0.108,-33.43527,25.32975,0.146,34.44846,13.17147,-0.127,16,201933 - 201599 - 101108 - 200755 - 202362,"Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ - Stephenson,Lance",Lineups,,6,155.336666667,-18.23742,-22.29018,22.29018,60.7914,60.7914,-1.01319,-7.09233,,,,-6.07914,10,0.625
5,11.14509,15.19785,-15.19785,-5.06595,29.38251,5.06595,-0.072,17.22423,21.27699,0.058,44.58036,26.34294,-0.089,36,2037 - 202325 - 201599 - 101108 - 200755,"Crawford,Jamal - Johnson,Wesley - Jordan,DeAndre - Paul,Chris - Redick,JJ",Lineups,,13,130.248333333,6.07914,-31.40889,31.40889,73.96287,73.96287,1.01319,13.17147,,,,-13.17147,23,0.639
6,12.15828,9.11871,-9.11871,-2.02638,1.01319,4.05276,0.091,11.14509,13.17147,0.048,-3.03957,-7.09233,-0.078,17,201933 - 202325 - 201599 - 101108 - 200755,"Griffin,Blake - Johnson,Wesley - Jordan,DeAndre - Paul,Chris - Redick,JJ",Lineups,,6,100.303333333,1.01319,-6.07914,6.07914,23.30337,23.30337,-1.01319,0.0,,,,-1.01319,11,0.647
7,7.09233,1.01319,-1.01319,-1.01319,8.10552,4.05276,0.021,1.01319,4.05276,0.022,7.09233,7.09233,0.042,9,201145 - 201599 - 201601 - 101108 - 200755,"Green,Jeff - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",Lineups,,3,94.89,-8.10552,-10.1319,10.1319,19.25061,19.25061,-9.11871,6.07914,,,,-14.18466,6,0.667
8,20.2638,13.17147,-13.17147,1.01319,11.14509,13.17147,0.201,-2.02638,14.18466,0.109,20.2638,5.06595,-0.095,21,2037 - 201933 - 201599 - 101108 - 200755,"Crawford,Jamal - Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ",Lineups,,9,83.7666666667,-14.18466,-12.15828,12.15828,46.60674,46.60674,-13.17147,0.0,,,,-8.10552,12,0.571
