,AST,BLK,BLKA,COURT_STATUS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT
0,134.75427,203.65119,-203.65119,,-135.76746,284.70639,154.00488,0.026,-189.46653,127.66194,0.031,98.27943,-53.69907,-0.058,82,Overall,2015-16,29,3966.0,-250.25793,-97.26624,97.26624,355.62969,355.62969,-386.02539,127.66194,LAC,1610612746,Los Angeles Clippers,-199.59843,,,53,0.646
0,-4.05276,36.47484,-36.47484,On,-56.73864,36.47484,25.32975,0.033,1.01319,16.21104,0.012,-125.63556,-78.01563,0.044,59,On/Off Court,,19,789.036666667,-70.9233,118.54323,-118.54323,-20.2638,-20.2638,-127.66194,58.76502,LAC,1610612746,Los Angeles Clippers,-57.75183,202332.0,"Aldrich, Cole",40,0.678
1,-1.01319,4.05276,-4.05276,On,-10.1319,-11.14509,-3.03957,0.018,-24.31656,-13.17147,-0.012,-27.35613,-17.22423,0.055,17,On/Off Court,,6,106.618333333,-20.2638,19.25061,-19.25061,-46.60674,-46.60674,-30.3957,-1.01319,LAC,1610612746,Los Angeles Clippers,9.11871,201965.0,"Ayres, Jeff",11,0.647
2,7.09233,114.49047,-114.49047,On,-185.41377,190.47972,67.88373,0.001,-7.09233,37.48803,0.011,93.21348,22.29018,-0.036,78,On/Off Court,,28,2104.19666667,-145.89936,-42.55398,42.55398,165.14997,165.14997,-331.31313,84.09477,LAC,1610612746,Los Angeles Clippers,-121.5828,2037.0,"Crawford, Jamal",50,0.641
3,-11.14509,1.01319,-1.01319,On,5.06595,-2.02638,1.01319,0.118,-16.21104,-8.10552,-0.003,-5.06595,0.0,0.417,6,On/Off Court,,1,28.865,-7.09233,1.01319,-1.01319,-15.19785,-15.19785,-2.02638,-6.07914,LAC,1610612746,Los Angeles Clippers,10.1319,1626183.0,"Dawson, Branden",5,0.833
4,6.07914,49.64631,-49.64631,On,-28.36932,30.3957,29.38251,0.048,-33.43527,8.10552,0.019,-49.64631,-53.69907,-0.048,27,On/Off Court,,10,709.31,-51.67269,24.31656,-24.31656,-8.10552,-8.10552,-80.04201,25.32975,LAC,1610612746,Los Angeles Clippers,-29.38251,201145.0,"Green, Jeff",17,0.63
5,124.62237,55.72545,-55.72545,On,6.07914,18.23742,29.38251,0.044,-49.64631,70.9233,0.045,105.37176,13.17147,-0.088,35,On/Off Court,,13,1170.28166667,-32.42208,-118.54323,118.54323,184.40058,184.40058,-26.34294,-12.15828,LAC,1610612746,Los Angeles Clippers,-38.50122,201933.0,"Griffin, Blake",22,0.629
6,14.18466,125.63556,-125.63556,On,-143.87298,213.78309,71.93649,-0.003,-8.10552,45.59355,0.017,2.02638,-41.54079,-0.049,79,On/Off Court,,29,1638.645,-128.67513,-4.05276,4.05276,121.5828,121.5828,-272.54811,91.1871,LAC,1610612746,Los Angeles Clippers,-114.49047,202325.0,"Johnson, Wesley",50,0.633
7,150.96531,144.88617,-144.88617,On,25.32975,130.70151,104.35857,0.043,-208.71714,145.89936,0.054,261.40302,40.5276,-0.1,76,On/Off Court,,26,2561.515,-129.68832,-240.12603,240.12603,436.68489,436.68489,-104.35857,60.7914,LAC,1610612746,Los Angeles Clippers,-133.74108,201599.0,"Jordan, DeAndre",50,0.658
8,75.98925,15.19785,-15.19785,On,50.6595,70.9233,62.81778,0.056,-142.85979,50.6595,0.052,46.60674,-9.11871,-0.074,74,On/Off Court,,26,1247.905,-56.73864,-46.60674,46.60674,155.01807,155.01807,-6.07914,39.51441,LAC,1610612746,Los Angeles Clippers,-62.81778,201601.0,"Mbah a Moute, Luc",48,0.649
